prompt_idx,step,timestep,FAI
0,0,981,16.812877655029297
0,1,961,16.55257797241211
0,2,961,16.271896362304688
0,3,941,15.568159103393555
0,4,921,15.713325500488281
0,5,901,15.814085006713867
0,6,881,15.87382698059082
0,7,861,15.865806579589844
0,8,841,15.766267776489258
0,9,821,15.559770584106445
0,10,801,15.228132247924805
0,11,781,14.831806182861328
0,12,761,14.537878036499023
0,13,741,14.305299758911133
0,14,721,14.08637809753418
0,15,701,13.894777297973633
0,16,681,13.74612045288086
0,17,661,13.637754440307617
0,18,641,13.56507396697998
0,19,621,13.52269172668457
0,20,601,13.49361801147461
0,21,581,13.476351737976074
0,22,561,13.461637496948242
0,23,541,13.454381942749023
0,24,521,13.448415756225586
0,25,501,13.448381423950195
0,26,481,13.449504852294922
0,27,461,13.450100898742676
0,28,441,13.451205253601074
0,29,421,13.45567798614502
0,30,401,13.454849243164062
0,31,381,13.451536178588867
0,32,361,13.43740463256836
0,33,341,13.414186477661133
0,34,321,13.384613037109375
0,35,301,13.348613739013672
0,36,281,13.308475494384766
0,37,261,13.271373748779297
0,38,241,13.231437683105469
0,39,221,13.197291374206543
0,40,201,13.167030334472656
0,41,181,13.128615379333496
0,42,161,13.077041625976562
0,43,141,13.010478019714355
0,44,121,12.934202194213867
0,45,101,12.836583137512207
0,46,81,12.716474533081055
0,47,61,12.576105117797852
0,48,41,12.401237487792969
0,49,21,12.152326583862305
0,50,1,11.447589874267578
1,0,981,17.85687255859375
1,1,961,18.266521453857422
1,2,961,18.458087921142578
1,3,941,17.026147842407227
1,4,921,17.031448364257812
1,5,901,17.566802978515625
1,6,881,17.524734497070312
1,7,861,17.202117919921875
1,8,841,16.894672393798828
1,9,821,16.61840057373047
1,10,801,16.352678298950195
1,11,781,16.129234313964844
1,12,761,15.916223526000977
1,13,741,15.584529876708984
1,14,721,15.209440231323242
1,15,701,15.048782348632812
1,16,681,15.02762508392334
1,17,661,15.015580177307129
1,18,641,14.971957206726074
1,19,621,14.90554428100586
1,20,601,14.816632270812988
1,21,581,14.759947776794434
1,22,561,14.745220184326172
1,23,541,14.748083114624023
1,24,521,14.730793952941895
1,25,501,14.666120529174805
1,26,481,14.546692848205566
1,27,461,14.422988891601562
1,28,441,14.357152938842773
1,29,421,14.328597068786621
1,30,401,14.313896179199219
1,31,381,14.294229507446289
1,32,361,14.273223876953125
1,33,341,14.251180648803711
1,34,321,14.236242294311523
1,35,301,14.213542938232422
1,36,281,14.178037643432617
1,37,261,14.139608383178711
1,38,241,14.107511520385742
1,39,221,14.069397926330566
1,40,201,14.027295112609863
1,41,181,13.987157821655273
1,42,161,13.95444107055664
1,43,141,13.926353454589844
1,44,121,13.899110794067383
1,45,101,13.862846374511719
1,46,81,13.818540573120117
1,47,61,13.759529113769531
1,48,41,13.696951866149902
1,49,21,13.632001876831055
1,50,1,13.402300834655762
2,0,981,16.481307983398438
2,1,961,16.457557678222656
2,2,961,16.811595916748047
2,3,941,14.864917755126953
2,4,921,15.04817008972168
2,5,901,15.09617805480957
2,6,881,15.154338836669922
2,7,861,15.165931701660156
2,8,841,15.056402206420898
2,9,821,14.94082260131836
2,10,801,14.884971618652344
2,11,781,14.866798400878906
2,12,761,14.860666275024414
2,13,741,14.82313346862793
2,14,721,14.753487586975098
2,15,701,14.67227840423584
2,16,681,14.575271606445312
2,17,661,14.470928192138672
2,18,641,14.368619918823242
2,19,621,14.28793716430664
2,20,601,14.23577880859375
2,21,581,14.213945388793945
2,22,561,14.20925235748291
2,23,541,14.206755638122559
2,24,521,14.216232299804688
2,25,501,14.233245849609375
2,26,481,14.245025634765625
2,27,461,14.23721694946289
2,28,441,14.220785140991211
2,29,421,14.212045669555664
2,30,401,14.212128639221191
2,31,381,14.22152042388916
2,32,361,14.235799789428711
2,33,341,14.253206253051758
2,34,321,14.274707794189453
2,35,301,14.304336547851562
2,36,281,14.337718963623047
2,37,261,14.369306564331055
2,38,241,14.390649795532227
2,39,221,14.39816665649414
2,40,201,14.39739990234375
2,41,181,14.387595176696777
2,42,161,14.371149063110352
2,43,141,14.351490020751953
2,44,121,14.3333740234375
2,45,101,14.326743125915527
2,46,81,14.31954574584961
2,47,61,14.303637504577637
2,48,41,14.245391845703125
2,49,21,14.109868049621582
2,50,1,13.57519817352295
3,0,981,18.130746841430664
3,1,961,18.170652389526367
3,2,961,18.44666290283203
3,3,941,16.47331428527832
3,4,921,16.532663345336914
3,5,901,16.651878356933594
3,6,881,16.78127670288086
3,7,861,16.837915420532227
3,8,841,16.79961395263672
3,9,821,15.962255477905273
3,10,801,15.667546272277832
3,11,781,15.563507080078125
3,12,761,15.43533706665039
3,13,741,15.247676849365234
3,14,721,14.987820625305176
3,15,701,14.63843059539795
3,16,681,14.400557518005371
3,17,661,14.407764434814453
3,18,641,14.412049293518066
3,19,621,14.355560302734375
3,20,601,14.229528427124023
3,21,581,14.06161880493164
3,22,561,13.876777648925781
3,23,541,13.670812606811523
3,24,521,13.463248252868652
3,25,501,13.256464958190918
3,26,481,13.102169036865234
3,27,461,13.015174865722656
3,28,441,12.96339225769043
3,29,421,12.91646957397461
3,30,401,12.866720199584961
3,31,381,12.818934440612793
3,32,361,12.772826194763184
3,33,341,12.736776351928711
3,34,321,12.703836441040039
3,35,301,12.671697616577148
3,36,281,12.63675594329834
3,37,261,12.602191925048828
3,38,241,12.559796333312988
3,39,221,12.51283073425293
3,40,201,12.4635591506958
3,41,181,12.403735160827637
3,42,161,12.334566116333008
3,43,141,12.251199722290039
3,44,121,12.154712677001953
3,45,101,12.051739692687988
3,46,81,11.940132141113281
3,47,61,11.819866180419922
3,48,41,11.684480667114258
3,49,21,11.484628677368164
3,50,1,10.850967407226562
4,0,981,16.71932029724121
4,1,961,16.722883224487305
4,2,961,16.364818572998047
4,3,941,15.876319885253906
4,4,921,15.848068237304688
4,5,901,15.060632705688477
4,6,881,13.135732650756836
4,7,861,13.090700149536133
4,8,841,13.737645149230957
4,9,821,14.34356689453125
4,10,801,13.917364120483398
4,11,781,13.907846450805664
4,12,761,13.828502655029297
4,13,741,13.644123077392578
4,14,721,13.567787170410156
4,15,701,13.606340408325195
4,16,681,13.735346794128418
4,17,661,13.84289836883545
4,18,641,13.792098999023438
4,19,621,13.750234603881836
4,20,601,13.795991897583008
4,21,581,13.927875518798828
4,22,561,14.224212646484375
4,23,541,14.546560287475586
4,24,521,14.857667922973633
4,25,501,15.003045082092285
4,26,481,15.025065422058105
4,27,461,15.025018692016602
4,28,441,15.00421142578125
4,29,421,14.974102973937988
4,30,401,14.955810546875
4,31,381,14.953621864318848
4,32,361,14.965055465698242
4,33,341,14.979265213012695
4,34,321,14.992158889770508
4,35,301,14.997371673583984
4,36,281,14.989694595336914
4,37,261,14.971357345581055
4,38,241,14.94741439819336
4,39,221,14.915155410766602
4,40,201,14.879722595214844
4,41,181,14.840253829956055
4,42,161,14.784479141235352
4,43,141,14.721092224121094
4,44,121,14.640059471130371
4,45,101,14.536919593811035
4,46,81,14.40804672241211
4,47,61,14.235345840454102
4,48,41,13.993264198303223
4,49,21,13.596118927001953
4,50,1,12.3334321975708
5,0,981,17.453086853027344
5,1,961,17.785888671875
5,2,961,18.026653289794922
5,3,941,15.77338981628418
5,4,921,15.434308052062988
5,5,901,15.228754997253418
5,6,881,15.314067840576172
5,7,861,15.33858585357666
5,8,841,15.004250526428223
5,9,821,14.940620422363281
5,10,801,14.939037322998047
5,11,781,14.924867630004883
5,12,761,14.880510330200195
5,13,741,14.83519458770752
5,14,721,14.7601957321167
5,15,701,14.588006973266602
5,16,681,14.255102157592773
5,17,661,14.266532897949219
5,18,641,14.390737533569336
5,19,621,14.546369552612305
5,20,601,14.621015548706055
5,21,581,14.631752967834473
5,22,561,14.567214965820312
5,23,541,14.488275527954102
5,24,521,14.386106491088867
5,25,501,14.307010650634766
5,26,481,14.228453636169434
5,27,461,14.134387969970703
5,28,441,14.040108680725098
5,29,421,13.946868896484375
5,30,401,13.826662063598633
5,31,381,13.723483085632324
5,32,361,13.601333618164062
5,33,341,13.472899436950684
5,34,321,13.334500312805176
5,35,301,13.206541061401367
5,36,281,13.079351425170898
5,37,261,12.953851699829102
5,38,241,12.818259239196777
5,39,221,12.678970336914062
5,40,201,12.549400329589844
5,41,181,12.410967826843262
5,42,161,12.260529518127441
5,43,141,12.113195419311523
5,44,121,11.978168487548828
5,45,101,11.903005599975586
5,46,81,11.928935050964355
5,47,61,11.688879013061523
5,48,41,11.435778617858887
5,49,21,11.080665588378906
5,50,1,10.541190147399902
6,0,981,14.131341934204102
6,1,961,14.85598373413086
6,2,961,15.41563606262207
6,3,941,14.535192489624023
6,4,921,14.693873405456543
6,5,901,14.77086067199707
6,6,881,14.865164756774902
6,7,861,15.098349571228027
6,8,841,14.821089744567871
6,9,821,14.1277437210083
6,10,801,12.497540473937988
6,11,781,12.262529373168945
6,12,761,12.34237289428711
6,13,741,12.450521469116211
6,14,721,12.620332717895508
6,15,701,12.81477165222168
6,16,681,12.97758674621582
6,17,661,13.123201370239258
6,18,641,13.244668006896973
6,19,621,13.368053436279297
6,20,601,13.500938415527344
6,21,581,13.664070129394531
6,22,561,13.829669952392578
6,23,541,13.983963012695312
6,24,521,14.097867965698242
6,25,501,14.180694580078125
6,26,481,14.234964370727539
6,27,461,14.278932571411133
6,28,441,14.326834678649902
6,29,421,14.382589340209961
6,30,401,14.438400268554688
6,31,381,14.488181114196777
6,32,361,14.529181480407715
6,33,341,14.555119514465332
6,34,321,14.56795883178711
6,35,301,14.570489883422852
6,36,281,14.566421508789062
6,37,261,14.556897163391113
6,38,241,14.544998168945312
6,39,221,14.527645111083984
6,40,201,14.5100736618042
6,41,181,14.485915184020996
6,42,161,14.445591926574707
6,43,141,14.397461891174316
6,44,121,14.347138404846191
6,45,101,14.292400360107422
6,46,81,14.235437393188477
6,47,61,14.166533470153809
6,48,41,14.0916109085083
6,49,21,13.99412727355957
6,50,1,13.603691101074219
7,0,981,17.244518280029297
7,1,961,17.556381225585938
7,2,961,17.771034240722656
7,3,941,18.15343475341797
7,4,921,17.888111114501953
7,5,901,17.916099548339844
7,6,881,17.962013244628906
7,7,861,17.92824935913086
7,8,841,17.862163543701172
7,9,821,17.8492431640625
7,10,801,17.92036247253418
7,11,781,17.941795349121094
7,12,761,17.920677185058594
7,13,741,17.99443817138672
7,14,721,17.86581039428711
7,15,701,17.471769332885742
7,16,681,16.943323135375977
7,17,661,16.321626663208008
7,18,641,15.761638641357422
7,19,621,15.436444282531738
7,20,601,15.165643692016602
7,21,581,14.940099716186523
7,22,561,14.751178741455078
7,23,541,14.600908279418945
7,24,521,14.478988647460938
7,25,501,14.385516166687012
7,26,481,14.29144287109375
7,27,461,14.190463066101074
7,28,441,14.094366073608398
7,29,421,14.006446838378906
7,30,401,13.849271774291992
7,31,381,13.702252388000488
7,32,361,13.576333999633789
7,33,341,13.459293365478516
7,34,321,13.349356651306152
7,35,301,13.24846076965332
7,36,281,13.154921531677246
7,37,261,13.069896697998047
7,38,241,12.986041069030762
7,39,221,12.897762298583984
7,40,201,12.809165954589844
7,41,181,12.722214698791504
7,42,161,12.64477252960205
7,43,141,12.569313049316406
7,44,121,12.506141662597656
7,45,101,12.451715469360352
7,46,81,12.404706954956055
7,47,61,12.36019515991211
7,48,41,12.326102256774902
7,49,21,12.299236297607422
7,50,1,12.177974700927734
8,0,981,16.41360855102539
8,1,961,16.645063400268555
8,2,961,15.518072128295898
8,3,941,15.252021789550781
8,4,921,15.59097671508789
8,5,901,15.577198028564453
8,6,881,15.585432052612305
8,7,861,15.583953857421875
8,8,841,15.554759979248047
8,9,821,15.524951934814453
8,10,801,15.516759872436523
8,11,781,15.54570198059082
8,12,761,15.63068962097168
8,13,741,15.730892181396484
8,14,721,15.845189094543457
8,15,701,15.914384841918945
8,16,681,15.972753524780273
8,17,661,15.98105239868164
8,18,641,15.911904335021973
8,19,621,15.785614013671875
8,20,601,15.634468078613281
8,21,581,15.508180618286133
8,22,561,15.362217903137207
8,23,541,15.209531784057617
8,24,521,15.097933769226074
8,25,501,15.049039840698242
8,26,481,15.038646697998047
8,27,461,15.050308227539062
8,28,441,15.08095932006836
8,29,421,15.115342140197754
8,30,401,15.14767074584961
8,31,381,15.188749313354492
8,32,361,15.246397972106934
8,33,341,15.324790000915527
8,34,321,15.402235984802246
8,35,301,15.492415428161621
8,36,281,15.581710815429688
8,37,261,15.66877555847168
8,38,241,15.741729736328125
8,39,221,15.794987678527832
8,40,201,15.844707489013672
8,41,181,15.879776000976562
8,42,161,15.897329330444336
8,43,141,15.894713401794434
8,44,121,15.893592834472656
8,45,101,15.881345748901367
8,46,81,15.862335205078125
8,47,61,15.834110260009766
8,48,41,15.78620433807373
8,49,21,15.668704986572266
8,50,1,15.052112579345703
9,0,981,15.288124084472656
9,1,961,15.586910247802734
9,2,961,14.94050407409668
9,3,941,14.320686340332031
9,4,921,14.533514022827148
9,5,901,14.934672355651855
9,6,881,15.43343734741211
9,7,861,15.580382347106934
9,8,841,15.549432754516602
9,9,821,15.48177719116211
9,10,801,15.402925491333008
9,11,781,15.370935440063477
9,12,761,15.32198429107666
9,13,741,15.313533782958984
9,14,721,15.27638053894043
9,15,701,15.209716796875
9,16,681,15.132568359375
9,17,661,15.065728187561035
9,18,641,15.042046546936035
9,19,621,15.029060363769531
9,20,601,15.019311904907227
9,21,581,15.000147819519043
9,22,561,14.972906112670898
9,23,541,14.92784309387207
9,24,521,14.887104034423828
9,25,501,14.85390853881836
9,26,481,14.839360237121582
9,27,461,14.843292236328125
9,28,441,14.858449935913086
9,29,421,14.88357162475586
9,30,401,14.896203994750977
9,31,381,14.878572463989258
9,32,361,14.852985382080078
9,33,341,14.829408645629883
9,34,321,14.818360328674316
9,35,301,14.816786766052246
9,36,281,14.82116413116455
9,37,261,14.823439598083496
9,38,241,14.817317008972168
9,39,221,14.798223495483398
9,40,201,14.772523880004883
9,41,181,14.730945587158203
9,42,161,14.684547424316406
9,43,141,14.623838424682617
9,44,121,14.54621696472168
9,45,101,14.457216262817383
9,46,81,14.348548889160156
9,47,61,14.21541976928711
9,48,41,14.03645133972168
9,49,21,13.74439811706543
9,50,1,13.021598815917969
