prompt_idx,step,timestep,FAI
0,0,981,18.315902709960938
0,1,961,18.668893814086914
0,2,961,19.000938415527344
0,3,941,19.623836517333984
0,4,921,19.77024269104004
0,5,901,19.325626373291016
0,6,881,18.450761795043945
0,7,861,18.072509765625
0,8,841,17.88152503967285
0,9,821,17.430418014526367
0,10,801,16.41458511352539
0,11,781,15.866960525512695
0,12,761,15.809094429016113
0,13,741,15.779397964477539
0,14,721,15.833358764648438
0,15,701,15.930794715881348
0,16,681,16.046710968017578
0,17,661,16.162769317626953
0,18,641,16.25688934326172
0,19,621,16.342845916748047
0,20,601,16.39944076538086
0,21,581,16.45235824584961
0,22,561,16.494369506835938
0,23,541,16.550426483154297
0,24,521,16.594287872314453
0,25,501,16.653335571289062
0,26,481,16.716690063476562
0,27,461,16.769582748413086
0,28,441,16.812332153320312
0,29,421,16.846237182617188
0,30,401,16.859298706054688
0,31,381,16.854774475097656
0,32,361,16.810222625732422
0,33,341,16.73493194580078
0,34,321,16.65929412841797
0,35,301,16.572582244873047
0,36,281,16.467626571655273
0,37,261,16.34898567199707
0,38,241,16.216217041015625
0,39,221,16.06886863708496
0,40,201,15.914238929748535
0,41,181,15.755847930908203
0,42,161,15.618124008178711
0,43,141,15.52519416809082
0,44,121,15.463968276977539
0,45,101,15.408736228942871
0,46,81,15.336406707763672
0,47,61,15.233475685119629
0,48,41,15.075833320617676
0,49,21,14.795791625976562
0,50,1,13.825597763061523
1,0,981,18.014488220214844
1,1,961,18.266996383666992
1,2,961,18.169937133789062
1,3,941,17.0362548828125
1,4,921,16.614646911621094
1,5,901,16.431018829345703
1,6,881,16.306495666503906
1,7,861,16.243793487548828
1,8,841,16.119422912597656
1,9,821,15.72501277923584
1,10,801,15.164896011352539
1,11,781,14.95609188079834
1,12,761,15.005376815795898
1,13,741,15.104677200317383
1,14,721,15.207687377929688
1,15,701,15.293025016784668
1,16,681,15.400918960571289
1,17,661,15.516393661499023
1,18,641,15.597759246826172
1,19,621,15.659698486328125
1,20,601,15.676746368408203
1,21,581,15.677864074707031
1,22,561,15.657607078552246
1,23,541,15.630226135253906
1,24,521,15.589574813842773
1,25,501,15.554214477539062
1,26,481,15.517607688903809
1,27,461,15.475458145141602
1,28,441,15.439138412475586
1,29,421,15.409797668457031
1,30,401,15.388581275939941
1,31,381,15.393656730651855
1,32,361,15.408971786499023
