prompt_idx,step,timestep,FAI
0,0,981,17.028839111328125
0,1,961,17.403358459472656
0,2,961,15.039196014404297
0,3,941,12.964945793151855
0,4,921,12.355323791503906
0,5,901,12.341052055358887
0,6,881,12.396194458007812
0,7,861,12.32115364074707
0,8,841,11.812461853027344
0,9,821,11.441751480102539
0,10,801,11.477258682250977
0,11,781,11.467337608337402
0,12,761,11.445980072021484
0,13,741,11.43239688873291
0,14,721,11.438081741333008
0,15,701,11.44809341430664
0,16,681,11.464303016662598
0,17,661,11.484663009643555
0,18,641,11.504027366638184
0,19,621,11.530556678771973
0,20,601,11.550600051879883
0,21,581,11.567644119262695
0,22,561,11.578655242919922
0,23,541,11.585718154907227
0,24,521,11.587915420532227
0,25,501,11.587556838989258
0,26,481,11.58289623260498
0,27,461,11.570940017700195
0,28,441,11.557316780090332
0,29,421,11.542882919311523
0,30,401,11.525490760803223
0,31,381,11.512057304382324
0,32,361,11.497809410095215
0,33,341,11.487617492675781
0,34,321,11.476412773132324
0,35,301,11.464212417602539
0,36,281,11.445966720581055
0,37,261,11.424883842468262
0,38,241,11.399238586425781
0,39,221,11.374591827392578
0,40,201,11.348833084106445
0,41,181,11.316211700439453
0,42,161,11.275323867797852
0,43,141,11.231998443603516
0,44,121,11.184575080871582
0,45,101,11.13686466217041
0,46,81,11.075934410095215
0,47,61,11.013557434082031
0,48,41,10.944342613220215
0,49,21,10.859865188598633
0,50,1,10.537042617797852
1,0,981,18.864479064941406
1,1,961,19.194793701171875
1,2,961,19.560508728027344
1,3,941,16.824947357177734
1,4,921,17.207035064697266
1,5,901,16.7392578125
1,6,881,16.56821060180664
1,7,861,16.246379852294922
1,8,841,15.719189643859863
1,9,821,15.259639739990234
1,10,801,15.218971252441406
1,11,781,15.325510025024414
1,12,761,15.528013229370117
1,13,741,15.712254524230957
1,14,721,15.82598876953125
1,15,701,15.866891860961914
1,16,681,15.877555847167969
1,17,661,15.861504554748535
1,18,641,15.813819885253906
1,19,621,15.766749382019043
1,20,601,15.695744514465332
1,21,581,15.607141494750977
1,22,561,15.495975494384766
1,23,541,15.38784408569336
1,24,521,15.290181159973145
1,25,501,15.212448120117188
1,26,481,15.145926475524902
1,27,461,15.065305709838867
1,28,441,14.967121124267578
1,29,421,14.85072135925293
1,30,401,14.712549209594727
1,31,381,14.582149505615234
1,32,361,14.44466495513916
1,33,341,14.313188552856445
1,34,321,14.18730640411377
1,35,301,14.078522682189941
1,36,281,13.979312896728516
1,37,261,13.881561279296875
1,38,241,13.773782730102539
1,39,221,13.649118423461914
1,40,201,13.511385917663574
1,41,181,13.364402770996094
1,42,161,13.216861724853516
1,43,141,13.09231948852539
1,44,121,12.993308067321777
1,45,101,12.92658805847168
1,46,81,12.879077911376953
1,47,61,12.857797622680664
1,48,41,12.853752136230469
1,49,21,12.853513717651367
1,50,1,12.607898712158203
2,0,981,17.386693954467773
2,1,961,17.535140991210938
2,2,961,14.019471168518066
2,3,941,12.263948440551758
2,4,921,11.792224884033203
2,5,901,11.807632446289062
2,6,881,11.811882019042969
2,7,861,11.826835632324219
2,8,841,11.754438400268555
2,9,821,11.620260238647461
2,10,801,11.5114164352417
2,11,781,11.482510566711426
2,12,761,11.517220497131348
2,13,741,11.52627182006836
2,14,721,11.545812606811523
2,15,701,11.581795692443848
2,16,681,11.637503623962402
2,17,661,11.685129165649414
