step,Classifier guidance,Classifier guidance Early-step strong push-down,No Guidance,Benign Human
0,18.653302459716798,18.653302459716798,18.787772064208983,16.653180503845213
1,18.7595792388916,18.7595792388916,18.929107818603516,16.860041999816893
2,18.61474597930908,16.981629657745362,18.912939834594727,16.80249614715576
3,17.518090858459473,14.042772903442383,18.90967960357666,15.784358406066895
4,17.289440021514892,13.733441886901856,18.77899444580078,15.83144588470459
5,17.210730876922607,13.534114933013916,18.550558776855468,15.861716270446777
6,16.987228660583497,13.372427425384522,18.196564712524413,15.763002490997314
7,16.72690679550171,13.208151741027832,17.727287940979004,15.76919927597046
8,16.44077459335327,13.071763305664062,17.331791648864748,15.704629802703858
9,16.177475719451905,12.956181392669677,17.10913766860962,15.534915256500245
10,15.98291893005371,12.86593246459961,16.754880771636962,15.232731819152832
11,15.77939130783081,12.811292629241944,16.64396312713623,15.13450222015381
12,15.684542903900146,12.762649211883545,16.502894554138184,15.067484188079835
13,15.64341875076294,12.730126667022706,16.462080059051512,14.992934322357177
14,15.57757625579834,12.699752197265624,16.38759153366089,14.897282218933105
15,15.525337314605713,12.670822658538818,16.331897411346436,14.78592586517334
16,15.494407634735108,12.643991661071777,16.303948440551757,14.676625537872315
17,15.460285739898682,12.615223598480224,16.256657638549804,14.613306713104247
18,15.418052024841309,12.57594804763794,16.2151159286499,14.546079444885255
19,15.394067630767822,12.542920513153076,16.17234703063965,14.498750972747803
20,15.35277738571167,12.501965618133545,16.141236896514894,14.451292705535888
21,15.326157417297363,12.467613430023194,16.101933879852297,14.418399047851562
22,15.292990226745605,12.428729572296142,16.065576667785646,14.400028800964355
23,15.259346523284911,12.393504600524903,16.01874568939209,14.383711528778075
24,15.21114658355713,12.356077060699462,15.971739234924316,14.36643590927124
25,15.175558853149415,12.325882740020752,15.935615139007568,14.338342761993408
26,15.14303274154663,12.29562437057495,15.898146018981933,14.300132560729981
27,15.098744373321534,12.260237884521484,15.852410259246826,14.26478843688965
28,15.051018619537354,12.227890625,15.81298360824585,14.239746570587158
29,15.006131744384765,12.196567707061767,15.756184139251708,14.222171211242676
30,14.956022148132325,12.161085605621338,15.719096298217773,14.196161365509033
31,14.914674777984619,12.132435550689697,15.665172634124756,14.17210807800293
32,14.867024765014648,12.100151119232178,15.620449695587158,14.14905424118042
33,14.813119087219238,12.067424259185792,15.56211799621582,14.127612590789795
34,14.751943988800049,12.03279432296753,15.50662160873413,14.10639705657959
35,14.687652759552002,12.000739097595215,15.44617223739624,14.08702564239502
36,14.616681156158448,11.967565612792969,15.381215400695801,14.065425205230714
37,14.540662651062013,11.93304069519043,15.313956146240235,14.042669868469238
38,14.459892349243164,11.892615642547607,15.243306331634521,14.014515495300293
39,14.375631618499757,11.848039588928224,15.169932498931885,13.979043102264404
40,14.293322257995605,11.80305435180664,15.096578483581544,13.942087841033935
41,14.207760200500488,11.754498462677002,15.019081306457519,13.897717666625976
42,14.115147247314454,11.700471744537353,14.936437568664552,13.845444774627685
43,14.017668380737305,11.647986316680909,14.850989742279053,13.785913562774658
44,13.915695095062256,11.593194847106934,14.764692211151123,13.723271751403809
45,13.80810110092163,11.538155193328857,14.67432695388794,13.660051536560058
46,13.692320022583008,11.472542343139649,14.575607719421386,13.598270320892334
47,13.56867214202881,11.403767223358154,14.466879539489746,13.495962142944336
48,13.428852653503418,11.323869400024414,14.340685214996338,13.369747352600097
49,13.244354629516602,11.210595684051514,14.157610740661621,13.176207637786865
50,12.709196338653564,10.843956050872803,13.559624061584472,12.600605583190918
