prompt_idx,step,timestep,FAI
0,0,981,19.276844024658203
0,1,961,19.520301818847656
0,2,961,19.15192222595215
0,3,941,16.761856079101562
0,4,921,15.54332160949707
0,5,901,15.801091194152832
0,6,881,16.369401931762695
0,7,861,16.548505783081055
0,8,841,16.48636245727539
0,9,821,16.454025268554688
0,10,801,16.455028533935547
0,11,781,16.45916748046875
0,12,761,16.511459350585938
0,13,741,16.540611267089844
0,14,721,16.521987915039062
0,15,701,16.422901153564453
0,16,681,16.272235870361328
0,17,661,16.09604263305664
0,18,641,15.904397010803223
0,19,621,15.734092712402344
0,20,601,15.639239311218262
0,21,581,15.563032150268555
0,22,561,15.501180648803711
0,23,541,15.42920207977295
0,24,521,15.317009925842285
0,25,501,15.187334060668945
0,26,481,15.056116104125977
0,27,461,14.932551383972168
0,28,441,14.816947937011719
0,29,421,14.717819213867188
0,30,401,14.625946044921875
0,31,381,14.52194881439209
0,32,361,14.387290954589844
0,33,341,14.28445816040039
0,34,321,14.184810638427734
0,35,301,14.09412956237793
0,36,281,14.019392013549805
0,37,261,13.960107803344727
0,38,241,13.915271759033203
0,39,221,13.874059677124023
0,40,201,13.833415985107422
0,41,181,13.788357734680176
0,42,161,13.73749828338623
0,43,141,13.677207946777344
0,44,121,13.602277755737305
0,45,101,13.513516426086426
0,46,81,13.402608871459961
0,47,61,13.265361785888672
0,48,41,13.088529586791992
0,49,21,12.83823013305664
0,50,1,11.987651824951172
1,0,981,16.201061248779297
1,1,961,16.395755767822266
1,2,961,16.005088806152344
1,3,941,15.594568252563477
1,4,921,15.776533126831055
1,5,901,15.66311264038086
1,6,881,15.555137634277344
1,7,861,15.37166976928711
1,8,841,15.168292999267578
1,9,821,14.944372177124023
1,10,801,14.730947494506836
1,11,781,14.642730712890625
1,12,761,14.482524871826172
1,13,741,14.430404663085938
1,14,721,14.421992301940918
1,15,701,14.427518844604492
1,16,681,14.425079345703125
1,17,661,14.373430252075195
1,18,641,14.303678512573242
1,19,621,14.263976097106934
1,20,601,14.211124420166016
1,21,581,14.180215835571289
1,22,561,14.130392074584961
1,23,541,14.05495834350586
1,24,521,13.99897575378418
1,25,501,13.954318046569824
1,26,481,13.907305717468262
1,27,461,13.860803604125977
1,28,441,13.817724227905273
1,29,421,13.769479751586914
1,30,401,13.715538024902344
1,31,381,13.662504196166992
1,32,361,13.598339080810547
1,33,341,13.528623580932617
1,34,321,13.461554527282715
1,35,301,13.396015167236328
1,36,281,13.325469970703125
1,37,261,13.251263618469238
1,38,241,13.1713285446167
1,39,221,13.082528114318848
1,40,201,12.995561599731445
1,41,181,12.895485877990723
1,42,161,12.786191940307617
1,43,141,12.665075302124023
1,44,121,12.520284652709961
1,45,101,12.359406471252441
1,46,81,12.182524681091309
1,47,61,12.015487670898438
1,48,41,11.827040672302246
1,49,21,11.58598518371582
1,50,1,10.62409782409668
2,0,981,15.90391731262207
2,1,961,16.719789505004883
2,2,961,17.590137481689453
2,3,941,17.418310165405273
2,4,921,17.802345275878906
2,5,901,18.481128692626953
2,6,881,16.92558479309082
2,7,861,15.969513893127441
2,8,841,15.599813461303711
2,9,821,15.607542991638184
2,10,801,15.721823692321777
2,11,781,15.891918182373047
2,12,761,16.02123260498047
2,13,741,16.115524291992188
2,14,721,16.1676025390625
2,15,701,16.214374542236328
2,16,681,16.266029357910156
2,17,661,16.316783905029297
2,18,641,16.3583984375
2,19,621,16.412521362304688
2,20,601,16.444021224975586
2,21,581,16.452251434326172
2,22,561,16.4295711517334
2,23,541,16.39092254638672
2,24,521,16.325626373291016
2,25,501,16.23130226135254
2,26,481,16.092037200927734
2,27,461,15.924257278442383
2,28,441,15.762179374694824
2,29,421,15.609269142150879
2,30,401,15.460559844970703
2,31,381,15.323044776916504
2,32,361,15.191885948181152
2,33,341,15.06572151184082
2,34,321,14.949966430664062
2,35,301,14.84841537475586
2,36,281,14.750589370727539
2,37,261,14.652711868286133
2,38,241,14.55229377746582
2,39,221,14.438968658447266
2,40,201,14.314005851745605
2,41,181,14.180471420288086
2,42,161,14.041461944580078
2,43,141,13.894309997558594
2,44,121,13.758051872253418
2,45,101,13.623384475708008
2,46,81,13.50013542175293
2,47,61,13.380138397216797
2,48,41,13.250688552856445
2,49,21,13.076797485351562
2,50,1,12.541692733764648
3,0,981,17.462894439697266
3,1,961,17.605318069458008
3,2,961,17.111160278320312
