prompt_idx,step,timestep,FAI
0,0,981,21.09384536743164
0,1,961,21.19019889831543
0,2,961,20.63965606689453
0,3,941,17.969646453857422
0,4,921,18.070091247558594
0,5,901,18.065460205078125
0,6,881,17.99799346923828
0,7,861,17.858722686767578
0,8,841,17.649904251098633
0,9,821,17.380088806152344
0,10,801,17.082870483398438
0,11,781,16.808683395385742
0,12,761,16.57631492614746
0,13,741,16.380149841308594
0,14,721,16.211381912231445
0,15,701,16.071943283081055
0,16,681,15.91248607635498
0,17,661,15.75240707397461
0,18,641,15.645456314086914
0,19,621,15.605475425720215
0,20,601,15.579627990722656
0,21,581,15.615301132202148
0,22,561,15.646844863891602
0,23,541,15.610315322875977
0,24,521,15.567954063415527
0,25,501,15.500187873840332
0,26,481,15.394796371459961
0,27,461,15.254854202270508
0,28,441,15.101523399353027
0,29,421,14.963800430297852
0,30,401,14.843950271606445
0,31,381,14.725589752197266
0,32,361,14.602733612060547
0,33,341,14.482187271118164
0,34,321,14.368986129760742
0,35,301,14.255558013916016
0,36,281,14.13463020324707
0,37,261,14.0055570602417
0,38,241,13.862634658813477
0,39,221,13.702781677246094
0,40,201,13.528820037841797
0,41,181,13.335451126098633
0,42,161,13.138633728027344
0,43,141,12.930619239807129
0,44,121,12.729937553405762
0,45,101,12.53470230102539
0,46,81,12.342244148254395
0,47,61,12.149236679077148
0,48,41,11.947587013244629
0,49,21,11.703208923339844
0,50,1,11.11015510559082
1,0,981,18.212583541870117
1,1,961,18.392528533935547
1,2,961,18.564985275268555
1,3,941,18.999237060546875
1,4,921,18.45261001586914
1,5,901,17.964393615722656
1,6,881,17.372135162353516
1,7,861,16.818010330200195
1,8,841,16.325092315673828
1,9,821,15.87045955657959
1,10,801,15.426796913146973
1,11,781,15.00593376159668
1,12,761,14.615154266357422
1,13,741,14.296987533569336
1,14,721,14.042411804199219
1,15,701,13.86501693725586
1,16,681,13.72821044921875
1,17,661,13.623652458190918
1,18,641,13.532052993774414
1,19,621,13.467434883117676
1,20,601,13.421369552612305
1,21,581,13.399059295654297
1,22,561,13.387397766113281
1,23,541,13.396963119506836
1,24,521,13.405111312866211
1,25,501,13.417484283447266
1,26,481,13.442880630493164
1,27,461,13.506637573242188
1,28,441,13.60176944732666
1,29,421,13.69655990600586
1,30,401,13.755270004272461
1,31,381,13.693038940429688
1,32,361,13.474641799926758
1,33,341,13.266003608703613
1,34,321,13.109931945800781
1,35,301,12.97631549835205
1,36,281,12.845815658569336
1,37,261,12.726255416870117
1,38,241,12.63120174407959
1,39,221,12.559220314025879
1,40,201,12.499833106994629
1,41,181,12.395923614501953
1,42,161,12.25771713256836
1,43,141,12.093743324279785
1,44,121,11.928162574768066
1,45,101,11.77147388458252
1,46,81,11.613359451293945
1,47,61,11.432662010192871
1,48,41,11.217459678649902
1,49,21,10.924569129943848
1,50,1,10.307893753051758
2,0,981,18.164487838745117
2,1,961,17.929019927978516
2,2,961,19.44515609741211
2,3,941,15.491386413574219
2,4,921,15.306909561157227
2,5,901,15.175411224365234
2,6,881,15.07374095916748
2,7,861,15.007762908935547
2,8,841,14.985933303833008
2,9,821,15.031865119934082
2,10,801,15.102005004882812
2,11,781,15.157560348510742
2,12,761,15.183284759521484
2,13,741,15.184656143188477
2,14,721,15.161887168884277
2,15,701,15.12380599975586
2,16,681,15.082510948181152
2,17,661,15.043021202087402
2,18,641,15.005826950073242
2,19,621,15.011856079101562
2,20,601,15.048443794250488
2,21,581,15.104358673095703
2,22,561,15.151810646057129
2,23,541,15.183178901672363
2,24,521,15.180012702941895
2,25,501,15.146613121032715
2,26,481,15.096195220947266
2,27,461,15.048229217529297
2,28,441,15.015680313110352
2,29,421,14.975897789001465
2,30,401,14.900074005126953
2,31,381,14.823633193969727
2,32,361,14.759283065795898
2,33,341,14.698993682861328
2,34,321,14.632991790771484
2,35,301,14.555155754089355
2,36,281,14.464072227478027
2,37,261,14.370070457458496
2,38,241,14.28302001953125
2,39,221,14.1980619430542
2,40,201,14.1181640625
2,41,181,14.046533584594727
2,42,161,13.983893394470215
2,43,141,13.933207511901855
2,44,121,13.89024543762207
2,45,101,13.83961296081543
2,46,81,13.769164085388184
2,47,61,13.663045883178711
2,48,41,13.529226303100586
2,49,21,13.357216835021973
2,50,1,12.928691864013672
3,0,981,19.565465927124023
3,1,961,18.755752563476562
3,2,961,20.48824119567871
3,3,941,17.86280059814453
3,4,921,17.6131649017334
3,5,901,17.484447479248047
3,6,881,17.603342056274414
3,7,861,17.63294792175293
3,8,841,17.502269744873047
3,9,821,17.43158721923828
3,10,801,17.42925262451172
3,11,781,17.43486976623535
3,12,761,17.42407989501953
3,13,741,17.41839599609375
3,14,721,17.395479202270508
3,15,701,17.34151268005371
3,16,681,17.240840911865234
3,17,661,17.122106552124023
3,18,641,17.01742935180664
3,19,621,16.963016510009766
3,20,601,16.920978546142578
3,21,581,16.90717315673828
3,22,561,16.895862579345703
3,23,541,16.890108108520508
3,24,521,16.88740348815918
3,25,501,16.895030975341797
3,26,481,16.88547706604004
3,27,461,16.847530364990234
3,28,441,16.788127899169922
3,29,421,16.696481704711914
3,30,401,16.561132431030273
3,31,381,16.406822204589844
3,32,361,16.23674774169922
3,33,341,16.05748176574707
3,34,321,15.865926742553711
3,35,301,15.657970428466797
3,36,281,15.437780380249023
3,37,261,15.208538055419922
3,38,241,14.979377746582031
3,39,221,14.749608993530273
3,40,201,14.517942428588867
3,41,181,14.276199340820312
3,42,161,14.027494430541992
3,43,141,13.76308536529541
3,44,121,13.504267692565918
3,45,101,13.241121292114258
3,46,81,12.985523223876953
3,47,61,12.733386993408203
