prompt_idx,step,timestep,FAI
0,0,981,19.456480026245117
0,1,961,19.494441986083984
0,2,961,20.26789093017578
0,3,941,18.28723907470703
0,4,921,17.22682762145996
0,5,901,17.237873077392578
0,6,881,17.423351287841797
0,7,861,17.583160400390625
0,8,841,17.658733367919922
0,9,821,17.633174896240234
0,10,801,17.469696044921875
0,11,781,17.19091796875
0,12,761,16.81981086730957
0,13,741,16.335433959960938
0,14,721,15.927724838256836
0,15,701,15.709434509277344
0,16,681,15.639350891113281
0,17,661,15.658768653869629
0,18,641,15.68052864074707
0,19,621,15.692381858825684
0,20,601,15.707005500793457
0,21,581,15.733531951904297
0,22,561,15.756499290466309
0,23,541,15.782403945922852
0,24,521,15.814630508422852
0,25,501,15.858738899230957
0,26,481,15.89799690246582
0,27,461,15.917034149169922
0,28,441,15.91250228881836
0,29,421,15.889837265014648
0,30,401,15.862640380859375
0,31,381,15.837336540222168
0,32,361,15.811083793640137
0,33,341,15.784797668457031
0,34,321,15.762874603271484
0,35,301,15.739742279052734
0,36,281,15.715324401855469
0,37,261,15.6959867477417
0,38,241,15.678465843200684
0,39,221,15.660219192504883
0,40,201,15.645339012145996
0,41,181,15.621284484863281
0,42,161,15.580936431884766
0,43,141,15.518521308898926
0,44,121,15.418399810791016
0,45,101,15.274428367614746
0,46,81,15.071410179138184
0,47,61,14.794317245483398
0,48,41,14.438039779663086
0,49,21,13.999692916870117
0,50,1,13.46691608428955
1,0,981,22.033981323242188
1,1,961,22.141704559326172
1,2,961,22.5572509765625
1,3,941,23.02208137512207
1,4,921,20.626937866210938
1,5,901,20.581382751464844
1,6,881,20.442943572998047
1,7,861,20.1729679107666
1,8,841,19.62584686279297
1,9,821,18.968719482421875
1,10,801,18.58352279663086
1,11,781,18.404916763305664
1,12,761,18.30002784729004
1,13,741,18.220287322998047
1,14,721,18.096298217773438
1,15,701,17.933021545410156
1,16,681,17.70834732055664
1,17,661,17.460803985595703
1,18,641,17.23065948486328
1,19,621,17.054523468017578
1,20,601,16.912385940551758
1,21,581,16.785308837890625
1,22,561,16.64409828186035
1,23,541,16.46539878845215
1,24,521,16.25069808959961
1,25,501,16.015060424804688
1,26,481,15.76571273803711
1,27,461,15.504213333129883
1,28,441,15.24679183959961
1,29,421,15.007200241088867
1,30,401,14.782085418701172
1,31,381,14.589014053344727
1,32,361,14.417582511901855
1,33,341,14.263809204101562
1,34,321,14.128519058227539
1,35,301,14.01835823059082
1,36,281,13.927827835083008
1,37,261,13.856401443481445
1,38,241,13.788949966430664
1,39,221,13.702269554138184
1,40,201,13.582294464111328
1,41,181,13.426373481750488
1,42,161,13.23231315612793
1,43,141,13.01963996887207
1,44,121,12.800924301147461
1,45,101,12.588981628417969
1,46,81,12.382596015930176
1,47,61,12.164438247680664
1,48,41,11.88862419128418
1,49,21,11.513151168823242
1,50,1,10.610190391540527
2,0,981,19.10977554321289
2,1,961,18.96885108947754
2,2,961,19.243915557861328
2,3,941,14.967926025390625
2,4,921,14.804983139038086
2,5,901,14.73888874053955
2,6,881,14.723806381225586
2,7,861,14.736798286437988
2,8,841,14.760910034179688
2,9,821,14.815534591674805
2,10,801,14.873207092285156
2,11,781,14.922771453857422
2,12,761,14.95208740234375
2,13,741,14.981952667236328
2,14,721,15.02370834350586
2,15,701,15.0855712890625
2,16,681,15.180736541748047
2,17,661,15.317462921142578
2,18,641,15.461008071899414
2,19,621,15.580450057983398
2,20,601,15.616950988769531
2,21,581,15.600282669067383
2,22,561,15.568075180053711
2,23,541,15.54483413696289
2,24,521,15.534587860107422
2,25,501,15.525463104248047
2,26,481,15.496163368225098
2,27,461,15.427988052368164
2,28,441,15.323171615600586
2,29,421,15.192237854003906
2,30,401,15.057499885559082
2,31,381,14.927757263183594
2,32,361,14.819856643676758
2,33,341,14.727731704711914
2,34,321,14.663389205932617
2,35,301,14.615230560302734
2,36,281,14.573805809020996
2,37,261,14.529624938964844
2,38,241,14.47977352142334
2,39,221,14.421106338500977
2,40,201,14.360345840454102
2,41,181,14.295389175415039
2,42,161,14.218170166015625
2,43,141,14.125375747680664
2,44,121,14.017086029052734
2,45,101,13.89206600189209
2,46,81,13.751148223876953
2,47,61,13.587902069091797
2,48,41,13.402711868286133
2,49,21,13.15230941772461
2,50,1,12.520118713378906
3,0,981,20.44499969482422
3,1,961,20.314077377319336
3,2,961,18.631885528564453
3,3,941,17.43187713623047
3,4,921,16.579971313476562
3,5,901,16.00918960571289
3,6,881,15.92154598236084
3,7,861,15.806110382080078
3,8,841,15.8694429397583
3,9,821,15.989694595336914
3,10,801,16.14398956298828
