prompt_idx,step,timestep,FAI
0,0,981,18.682838439941406
0,1,961,18.69495391845703
0,2,961,17.63245964050293
0,3,941,15.860055923461914
0,4,921,15.028068542480469
0,5,901,13.933210372924805
0,6,881,13.207296371459961
0,7,861,12.819269180297852
0,8,841,13.266802787780762
0,9,821,13.634063720703125
0,10,801,13.605780601501465
0,11,781,13.269054412841797
0,12,761,12.587833404541016
0,13,741,12.228521347045898
0,14,721,12.20519733428955
0,15,701,12.239547729492188
0,16,681,12.271111488342285
0,17,661,12.260278701782227
0,18,641,12.22736644744873
0,19,621,12.187501907348633
0,20,601,12.132904052734375
0,21,581,12.073431968688965
0,22,561,12.009510040283203
0,23,541,11.95671272277832
0,24,521,11.932060241699219
0,25,501,11.939425468444824
0,26,481,11.960771560668945
0,27,461,12.001120567321777
0,28,441,12.057753562927246
0,29,421,12.12392520904541
0,30,401,12.200817108154297
0,31,381,12.284832000732422
0,32,361,12.374212265014648
0,33,341,12.4595308303833
0,34,321,12.548742294311523
0,35,301,12.635668754577637
0,36,281,12.719250679016113
0,37,261,12.807907104492188
0,38,241,12.895879745483398
0,39,221,12.969048500061035
0,40,201,13.01947021484375
0,41,181,13.053966522216797
0,42,161,13.063928604125977
0,43,141,13.064634323120117
0,44,121,13.070333480834961
0,45,101,13.060382843017578
0,46,81,13.049928665161133
0,47,61,13.04695987701416
0,48,41,13.05596923828125
0,49,21,13.131370544433594
0,50,1,13.563942909240723
1,0,981,18.9709415435791
1,1,961,18.946157455444336
1,2,961,18.234230041503906
1,3,941,18.13836097717285
1,4,921,17.518110275268555
1,5,901,17.426280975341797
1,6,881,17.26553726196289
1,7,861,16.81148338317871
1,8,841,16.6209659576416
1,9,821,16.37143325805664
1,10,801,16.098670959472656
1,11,781,15.829906463623047
1,12,761,15.62387752532959
1,13,741,15.380637168884277
1,14,721,15.144231796264648
1,15,701,14.944129943847656
1,16,681,14.808313369750977
1,17,661,14.725492477416992
1,18,641,14.661739349365234
1,19,621,14.621246337890625
1,20,601,14.561927795410156
1,21,581,14.52950382232666
1,22,561,14.497800827026367
1,23,541,14.503373146057129
1,24,521,14.521064758300781
1,25,501,14.563350677490234
1,26,481,14.597558975219727
1,27,461,14.60813045501709
1,28,441,14.610218048095703
1,29,421,14.60389518737793
1,30,401,14.573851585388184
1,31,381,14.533854484558105
1,32,361,14.471761703491211
1,33,341,14.388628005981445
1,34,321,14.293355941772461
1,35,301,14.19367504119873
1,36,281,14.073991775512695
1,37,261,13.919696807861328
1,38,241,13.753963470458984
1,39,221,13.605756759643555
1,40,201,13.483570098876953
1,41,181,13.39208984375
1,42,161,13.326286315917969
1,43,141,13.282212257385254
1,44,121,13.255002975463867
1,45,101,13.246143341064453
1,46,81,13.255865097045898
1,47,61,13.2866792678833
1,48,41,13.319246292114258
1,49,21,13.341209411621094
1,50,1,13.05453872680664
2,0,981,17.873924255371094
2,1,961,18.218948364257812
2,2,961,17.165565490722656
2,3,941,17.336997985839844
2,4,921,16.098316192626953
2,5,901,15.540597915649414
2,6,881,15.072553634643555
2,7,861,15.369524002075195
2,8,841,15.899024963378906
2,9,821,15.902786254882812
2,10,801,15.277502059936523
2,11,781,14.654064178466797
2,12,761,14.355813026428223
2,13,741,14.39853286743164
2,14,721,14.26723575592041
2,15,701,14.108112335205078
2,16,681,13.969781875610352
2,17,661,13.865547180175781
2,18,641,13.742753028869629
2,19,621,13.716520309448242
2,20,601,13.841715812683105
2,21,581,13.9779634475708
2,22,561,14.068827629089355
2,23,541,14.119946479797363
2,24,521,14.1444091796875
2,25,501,14.186275482177734
2,26,481,14.225404739379883
2,27,461,14.238192558288574
2,28,441,14.228565216064453
2,29,421,14.216718673706055
2,30,401,14.183584213256836
2,31,381,14.146774291992188
2,32,361,14.121512413024902
2,33,341,14.10112476348877
2,34,321,14.082015037536621
2,35,301,14.052766799926758
2,36,281,14.024494171142578
2,37,261,13.993059158325195
2,38,241,13.95281982421875
2,39,221,13.910492897033691
2,40,201,13.872814178466797
2,41,181,13.83469009399414
2,42,161,13.786870002746582
2,43,141,13.728805541992188
2,44,121,13.657327651977539
2,45,101,13.566822052001953
2,46,81,13.460479736328125
2,47,61,13.361175537109375
2,48,41,13.268318176269531
2,49,21,13.130350112915039
2,50,1,12.220173835754395
3,0,981,17.92236328125
3,1,961,17.888511657714844
3,2,961,17.694326400756836
3,3,941,15.35074520111084
3,4,921,13.602617263793945
3,5,901,12.781473159790039
3,6,881,12.731658935546875
3,7,861,12.607463836669922
3,8,841,12.573139190673828
3,9,821,12.582792282104492
3,10,801,12.681455612182617
3,11,781,12.904511451721191
3,12,761,13.164018630981445
3,13,741,13.526243209838867
3,14,721,13.899663925170898
3,15,701,14.188614845275879
3,16,681,14.434185981750488
3,17,661,14.59096908569336
3,18,641,14.549722671508789
3,19,621,14.42719841003418
3,20,601,14.239374160766602
3,21,581,14.007509231567383
3,22,561,13.757755279541016
3,23,541,13.522218704223633
3,24,521,13.305591583251953
3,25,501,13.110733985900879
3,26,481,12.932214736938477
3,27,461,12.762445449829102
3,28,441,12.611345291137695
3,29,421,12.472735404968262
3,30,401,12.343175888061523
3,31,381,12.242179870605469
3,32,361,12.16158390045166
3,33,341,12.10244083404541
3,34,321,12.057296752929688
3,35,301,12.002033233642578
3,36,281,11.926369667053223
3,37,261,11.848602294921875
3,38,241,11.802831649780273
3,39,221,11.775803565979004
3,40,201,11.763483047485352
3,41,181,11.765734672546387
3,42,161,11.778650283813477
3,43,141,11.792861938476562
3,44,121,11.808355331420898
3,45,101,11.815189361572266
3,46,81,11.810440063476562
3,47,61,11.810842514038086
3,48,41,11.81395435333252
3,49,21,11.790431022644043
3,50,1,11.57370662689209
4,0,981,18.04595947265625
4,1,961,17.981647491455078
