prompt_idx,step,timestep,FAI
0,0,981,18.682838439941406
0,1,961,18.69495391845703
0,2,961,17.963308334350586
0,3,941,18.28432846069336
0,4,921,16.80007553100586
0,5,901,16.143566131591797
0,6,881,16.238422393798828
0,7,861,16.501256942749023
0,8,841,16.01251220703125
0,9,821,15.242116928100586
0,10,801,14.597021102905273
0,11,781,14.364785194396973
0,12,761,14.23270320892334
0,13,741,14.119511604309082
0,14,721,13.997676849365234
0,15,701,13.85621166229248
0,16,681,13.732131958007812
0,17,661,13.663568496704102
0,18,641,13.588813781738281
0,19,621,13.549541473388672
0,20,601,13.541753768920898
0,21,581,13.542601585388184
0,22,561,13.520742416381836
0,23,541,13.482388496398926
0,24,521,13.426349639892578
0,25,501,13.378738403320312
0,26,481,13.33224105834961
0,27,461,13.279455184936523
0,28,441,13.236649513244629
0,29,421,13.18899917602539
0,30,401,13.128888130187988
0,31,381,13.092020034790039
0,32,361,13.06189250946045
0,33,341,13.045950889587402
0,34,321,13.034027099609375
0,35,301,13.024543762207031
0,36,281,13.016801834106445
0,37,261,13.007280349731445
0,38,241,12.99400520324707
0,39,221,12.981995582580566
0,40,201,12.978496551513672
0,41,181,12.977827072143555
0,42,161,12.958686828613281
0,43,141,12.956918716430664
0,44,121,12.96019172668457
0,45,101,12.970234870910645
0,46,81,12.954505920410156
0,47,61,12.922635078430176
0,48,41,12.845767974853516
0,49,21,12.707011222839355
0,50,1,12.340015411376953
1,0,981,18.9709415435791
1,1,961,18.946157455444336
1,2,961,18.236217498779297
1,3,941,17.911209106445312
1,4,921,17.68196678161621
1,5,901,17.78378677368164
1,6,881,18.162145614624023
1,7,861,18.355876922607422
1,8,841,17.681812286376953
1,9,821,17.373191833496094
1,10,801,17.328136444091797
1,11,781,17.164701461791992
1,12,761,16.96051788330078
1,13,741,16.781414031982422
1,14,721,16.663970947265625
1,15,701,16.525461196899414
1,16,681,16.407726287841797
1,17,661,16.290300369262695
1,18,641,16.133563995361328
1,19,621,15.95392894744873
1,20,601,15.702150344848633
1,21,581,15.380881309509277
1,22,561,15.018471717834473
1,23,541,14.702905654907227
1,24,521,14.457026481628418
1,25,501,14.295806884765625
1,26,481,14.192021369934082
1,27,461,14.10560131072998
1,28,441,14.012495040893555
1,29,421,13.904352188110352
1,30,401,13.787032127380371
1,31,381,13.69088363647461
1,32,361,13.61945915222168
1,33,341,13.572833061218262
1,34,321,13.53882122039795
1,35,301,13.514620780944824
1,36,281,13.487792015075684
1,37,261,13.446699142456055
1,38,241,13.391498565673828
1,39,221,13.33835220336914
1,40,201,13.296825408935547
1,41,181,13.254568099975586
1,42,161,13.211559295654297
1,43,141,13.174549102783203
1,44,121,13.141185760498047
1,45,101,13.107233047485352
1,46,81,13.04948616027832
1,47,61,12.953807830810547
1,48,41,12.798859596252441
1,49,21,12.51779556274414
1,50,1,11.767341613769531
2,0,981,17.873924255371094
2,1,961,18.218948364257812
2,2,961,18.077442169189453
2,3,941,16.248828887939453
2,4,921,15.389874458312988
2,5,901,15.485828399658203
2,6,881,15.664074897766113
2,7,861,15.939396858215332
2,8,841,16.250568389892578
2,9,821,16.173999786376953
2,10,801,15.390114784240723
2,11,781,15.16075325012207
2,12,761,15.199814796447754
2,13,741,15.213122367858887
2,14,721,15.120633125305176
2,15,701,14.980758666992188
2,16,681,14.800748825073242
2,17,661,14.556102752685547
2,18,641,14.253985404968262
2,19,621,13.946518898010254
2,20,601,13.781108856201172
2,21,581,13.701375961303711
2,22,561,13.633865356445312
2,23,541,13.563426971435547
2,24,521,13.490863800048828
2,25,501,13.434120178222656
2,26,481,13.388076782226562
2,27,461,13.343955039978027
2,28,441,13.309797286987305
2,29,421,13.285505294799805
2,30,401,13.261297225952148
2,31,381,13.255489349365234
2,32,361,13.253241539001465
2,33,341,13.251493453979492
2,34,321,13.244754791259766
2,35,301,13.233318328857422
2,36,281,13.211318969726562
2,37,261,13.184849739074707
2,38,241,13.147066116333008
2,39,221,13.099982261657715
2,40,201,13.044544219970703
2,41,181,12.984339714050293
2,42,161,12.91249942779541
2,43,141,12.838695526123047
2,44,121,12.761756896972656
2,45,101,12.682130813598633
2,46,81,12.602570533752441
2,47,61,12.520207405090332
2,48,41,12.431601524353027
2,49,21,12.314701080322266
2,50,1,11.737311363220215
3,0,981,17.92236328125
3,1,961,17.888511657714844
3,2,961,17.507274627685547
3,3,941,17.167190551757812
3,4,921,17.446495056152344
3,5,901,16.65365219116211
3,6,881,16.408687591552734
3,7,861,15.919958114624023
3,8,841,15.166448593139648
3,9,821,14.921789169311523
3,10,801,14.849295616149902
3,11,781,14.726190567016602
3,12,761,14.613834381103516
3,13,741,14.511198043823242
3,14,721,14.411663055419922
3,15,701,14.298412322998047
3,16,681,14.197303771972656
3,17,661,14.101613998413086
3,18,641,14.001543998718262
3,19,621,13.93403148651123
3,20,601,13.863126754760742
3,21,581,13.82132339477539
3,22,561,13.785417556762695
3,23,541,13.777774810791016
3,24,521,13.764165878295898
3,25,501,13.761597633361816
3,26,481,13.762182235717773
3,27,461,13.755041122436523
3,28,441,13.748847961425781
3,29,421,13.754150390625
3,30,401,13.72205638885498
3,31,381,13.68136215209961
3,32,361,13.6400728225708
3,33,341,13.621038436889648
3,34,321,13.62313461303711
3,35,301,13.623998641967773
3,36,281,13.613882064819336
3,37,261,13.598677635192871
3,38,241,13.573260307312012
3,39,221,13.540382385253906
3,40,201,13.510889053344727
3,41,181,13.479141235351562
3,42,161,13.43449878692627
3,43,141,13.383174896240234
3,44,121,13.3271484375
3,45,101,13.259550094604492
3,46,81,13.176056861877441
3,47,61,13.065303802490234
3,48,41,12.916874885559082
3,49,21,12.692283630371094
3,50,1,12.071039199829102
4,0,981,18.04595947265625
4,1,961,17.981647491455078
