prompt_idx,step,timestep,FAI
0,0,981,18.682838439941406
0,1,961,18.69495391845703
0,2,961,18.15032958984375
0,3,941,18.584625244140625
0,4,921,18.20486068725586
0,5,901,17.49365234375
0,6,881,17.828142166137695
0,7,861,17.170822143554688
0,8,841,15.661765098571777
0,9,821,15.590930938720703
0,10,801,15.81070327758789
0,11,781,15.723018646240234
0,12,761,15.539175033569336
0,13,741,15.33365535736084
0,14,721,15.135509490966797
0,15,701,14.990354537963867
0,16,681,14.880850791931152
0,17,661,14.730411529541016
0,18,641,14.605091094970703
0,19,621,14.556190490722656
0,20,601,14.50547981262207
0,21,581,14.459161758422852
0,22,561,14.36703109741211
0,23,541,14.255218505859375
0,24,521,14.164188385009766
0,25,501,14.105487823486328
0,26,481,14.05677604675293
0,27,461,14.003898620605469
0,28,441,13.934383392333984
0,29,421,13.847314834594727
0,30,401,13.778087615966797
0,31,381,13.744132995605469
0,32,361,13.705582618713379
0,33,341,13.653668403625488
0,34,321,13.589665412902832
0,35,301,13.535152435302734
0,36,281,13.48666763305664
0,37,261,13.4359130859375
0,38,241,13.389928817749023
0,39,221,13.338203430175781
0,40,201,13.287149429321289
0,41,181,13.234310150146484
0,42,161,13.180617332458496
0,43,141,13.130422592163086
0,44,121,13.073846817016602
0,45,101,13.017789840698242
0,46,81,12.943143844604492
0,47,61,12.869599342346191
0,48,41,12.797460556030273
0,49,21,12.725711822509766
0,50,1,12.521614074707031
1,0,981,18.9709415435791
1,1,961,18.946157455444336
1,2,961,18.25954818725586
1,3,941,18.171531677246094
1,4,921,17.820167541503906
1,5,901,17.845312118530273
1,6,881,17.973194122314453
1,7,861,18.165687561035156
1,8,841,18.42184066772461
1,9,821,18.754371643066406
1,10,801,19.071746826171875
1,11,781,19.242450714111328
1,12,761,19.249568939208984
1,13,741,19.194814682006836
1,14,721,18.886137008666992
1,15,701,18.396747589111328
1,16,681,17.9423828125
1,17,661,17.542463302612305
1,18,641,17.201580047607422
1,19,621,16.941165924072266
1,20,601,16.689517974853516
1,21,581,16.444461822509766
1,22,561,16.200199127197266
1,23,541,15.971156120300293
1,24,521,15.782537460327148
1,25,501,15.637068748474121
1,26,481,15.519204139709473
1,27,461,15.405805587768555
1,28,441,15.305622100830078
1,29,421,15.218088150024414
1,30,401,15.125163078308105
1,31,381,15.03242301940918
1,32,361,14.925607681274414
1,33,341,14.803689002990723
1,34,321,14.671152114868164
1,35,301,14.53447151184082
1,36,281,14.40219497680664
1,37,261,14.275325775146484
1,38,241,14.142306327819824
1,39,221,13.988862991333008
1,40,201,13.812406539916992
1,41,181,13.639069557189941
1,42,161,13.494955062866211
1,43,141,13.380125045776367
1,44,121,13.260211944580078
1,45,101,13.133186340332031
1,46,81,13.010566711425781
1,47,61,12.887357711791992
1,48,41,12.751773834228516
1,49,21,12.572565078735352
1,50,1,12.116043090820312
2,0,981,17.873924255371094
2,1,961,18.218948364257812
2,2,961,18.103469848632812
2,3,941,17.325096130371094
2,4,921,16.4247989654541
2,5,901,16.2835636138916
2,6,881,16.362762451171875
2,7,861,16.54424285888672
2,8,841,16.618696212768555
2,9,821,16.550052642822266
2,10,801,16.520376205444336
2,11,781,16.533790588378906
2,12,761,16.506587982177734
2,13,741,16.394765853881836
2,14,721,16.199119567871094
2,15,701,15.956233978271484
2,16,681,15.774133682250977
2,17,661,15.559874534606934
2,18,641,15.227994918823242
2,19,621,14.876028060913086
2,20,601,14.570228576660156
2,21,581,14.406389236450195
2,22,561,14.29024600982666
2,23,541,14.191654205322266
2,24,521,14.077664375305176
2,25,501,13.948331832885742
2,26,481,13.791397094726562
2,27,461,13.609357833862305
2,28,441,13.441875457763672
2,29,421,13.308572769165039
2,30,401,13.202810287475586
2,31,381,13.132694244384766
2,32,361,13.077871322631836
2,33,341,13.024181365966797
2,34,321,12.968453407287598
2,35,301,12.903236389160156
2,36,281,12.824262619018555
2,37,261,12.741378784179688
2,38,241,12.65430736541748
2,39,221,12.56477165222168
2,40,201,12.475314140319824
2,41,181,12.389850616455078
2,42,161,12.304133415222168
2,43,141,12.22305679321289
2,44,121,12.155317306518555
2,45,101,12.093713760375977
2,46,81,12.049593925476074
2,47,61,12.011497497558594
2,48,41,11.979419708251953
2,49,21,11.939273834228516
2,50,1,11.720342636108398
3,0,981,17.92236328125
3,1,961,17.888511657714844
3,2,961,17.6658878326416
3,3,941,17.440288543701172
3,4,921,17.223346710205078
3,5,901,16.849966049194336
3,6,881,16.456695556640625
3,7,861,16.128616333007812
3,8,841,15.890890121459961
3,9,821,15.707633018493652
3,10,801,15.73805046081543
3,11,781,15.723796844482422
3,12,761,15.676576614379883
3,13,741,15.546516418457031
3,14,721,15.360770225524902
3,15,701,15.076850891113281
3,16,681,14.800872802734375
3,17,661,14.586973190307617
3,18,641,14.369586944580078
3,19,621,14.212108612060547
3,20,601,14.08209228515625
3,21,581,14.020135879516602
3,22,561,13.985102653503418
3,23,541,13.983793258666992
3,24,521,13.961923599243164
3,25,501,13.9441556930542
3,26,481,13.92674446105957
3,27,461,13.904048919677734
3,28,441,13.88973617553711
3,29,421,13.881278991699219
3,30,401,13.874462127685547
3,31,381,13.887237548828125
3,32,361,13.908807754516602
3,33,341,13.945343971252441
3,34,321,13.992945671081543
3,35,301,14.038063049316406
3,36,281,14.067536354064941
3,37,261,14.079151153564453
3,38,241,14.064823150634766
3,39,221,14.038046836853027
3,40,201,14.012563705444336
3,41,181,13.995383262634277
3,42,161,13.973361015319824
3,43,141,13.937179565429688
3,44,121,13.901573181152344
3,45,101,13.861583709716797
3,46,81,13.811944961547852
3,47,61,13.732385635375977
3,48,41,13.614970207214355
3,49,21,13.418977737426758
3,50,1,12.866485595703125
4,0,981,18.04595947265625
4,1,961,17.981647491455078
