prompt_idx,step,timestep,FAI
0,0,981,18.682838439941406
0,1,961,18.69495391845703
0,2,961,17.675823211669922
0,3,941,15.83320426940918
0,4,921,15.16232681274414
0,5,901,13.631889343261719
0,6,881,14.325845718383789
0,7,861,14.278257369995117
0,8,841,14.328808784484863
0,9,821,14.577483177185059
0,10,801,14.793909072875977
0,11,781,14.978386878967285
0,12,761,15.237678527832031
0,13,741,15.481640815734863
0,14,721,15.643412590026855
0,15,701,15.741742134094238
0,16,681,15.763153076171875
0,17,661,15.692319869995117
0,18,641,15.548495292663574
0,19,621,15.38723087310791
0,20,601,15.230962753295898
0,21,581,15.065563201904297
0,22,561,14.892321586608887
0,23,541,14.676126480102539
0,24,521,14.462366104125977
0,25,501,14.260546684265137
0,26,481,14.070218086242676
0,27,461,13.919445037841797
0,28,441,13.804750442504883
0,29,421,13.722942352294922
0,30,401,13.670623779296875
0,31,381,13.629791259765625
0,32,361,13.613447189331055
0,33,341,13.60409164428711
0,34,321,13.600048065185547
0,35,301,13.57859992980957
0,36,281,13.5153169631958
0,37,261,13.422157287597656
0,38,241,13.311680793762207
0,39,221,13.189724922180176
0,40,201,13.069076538085938
0,41,181,12.953811645507812
0,42,161,12.840658187866211
0,43,141,12.732192993164062
0,44,121,12.633951187133789
0,45,101,12.578813552856445
0,46,81,12.587259292602539
0,47,61,12.568863868713379
0,48,41,12.414024353027344
0,49,21,12.255546569824219
0,50,1,12.289244651794434
1,0,981,18.9709415435791
1,1,961,18.946157455444336
1,2,961,18.253673553466797
1,3,941,18.15408706665039
1,4,921,17.740468978881836
1,5,901,17.814807891845703
1,6,881,18.065139770507812
1,7,861,18.496536254882812
1,8,841,18.530397415161133
1,9,821,18.128969192504883
1,10,801,17.686569213867188
1,11,781,17.49517250061035
1,12,761,17.369333267211914
1,13,741,17.239788055419922
1,14,721,17.1260986328125
1,15,701,16.989490509033203
1,16,681,16.840850830078125
1,17,661,16.685606002807617
1,18,641,16.527381896972656
1,19,621,16.408733367919922
1,20,601,16.279998779296875
1,21,581,16.17905044555664
1,22,561,16.0882568359375
1,23,541,16.013427734375
1,24,521,15.943500518798828
1,25,501,15.892232894897461
1,26,481,15.819635391235352
1,27,461,15.657184600830078
1,28,441,15.398653030395508
1,29,421,15.11732292175293
1,30,401,14.85099983215332
1,31,381,14.642244338989258
1,32,361,14.505338668823242
1,33,341,14.440742492675781
1,34,321,14.428348541259766
1,35,301,14.436975479125977
1,36,281,14.464727401733398
1,37,261,14.496173858642578
1,38,241,14.518621444702148
1,39,221,14.522313117980957
1,40,201,14.502333641052246
1,41,181,14.461385726928711
1,42,161,14.40121078491211
1,43,141,14.327362060546875
1,44,121,14.245157241821289
1,45,101,14.156529426574707
1,46,81,14.059946060180664
1,47,61,13.931015014648438
1,48,41,13.736454010009766
1,49,21,13.4161958694458
1,50,1,12.70137882232666
2,0,981,17.873924255371094
2,1,961,18.218948364257812
2,2,961,17.296541213989258
2,3,941,17.260047912597656
2,4,921,16.019760131835938
2,5,901,15.990743637084961
2,6,881,16.24209976196289
2,7,861,15.880475044250488
2,8,841,15.618499755859375
2,9,821,15.912004470825195
2,10,801,16.409259796142578
2,11,781,16.686920166015625
2,12,761,16.681774139404297
2,13,741,16.546716690063477
2,14,721,16.440185546875
2,15,701,16.427955627441406
2,16,681,16.542314529418945
2,17,661,16.719091415405273
2,18,641,16.6699161529541
2,19,621,16.593969345092773
2,20,601,16.486820220947266
2,21,581,16.39059829711914
2,22,561,16.302570343017578
2,23,541,16.238279342651367
2,24,521,16.17268943786621
2,25,501,16.11268424987793
2,26,481,16.048437118530273
2,27,461,15.92690658569336
2,28,441,15.767770767211914
2,29,421,15.589303016662598
2,30,401,15.39195442199707
2,31,381,15.122633934020996
2,32,361,14.64518928527832
2,33,341,14.186895370483398
2,34,321,13.83460807800293
2,35,301,13.579779624938965
2,36,281,13.37858772277832
2,37,261,13.215664863586426
2,38,241,13.075677871704102
2,39,221,12.9515380859375
2,40,201,12.85136604309082
2,41,181,12.758036613464355
2,42,161,12.671555519104004
2,43,141,12.593609809875488
2,44,121,12.519580841064453
2,45,101,12.446731567382812
2,46,81,12.364480972290039
2,47,61,12.284656524658203
2,48,41,12.199820518493652
2,49,21,12.112275123596191
2,50,1,11.778936386108398
3,0,981,17.92236328125
3,1,961,17.888511657714844
3,2,961,17.507614135742188
3,3,941,15.339582443237305
3,4,921,14.1517333984375
3,5,901,13.37495231628418
3,6,881,13.619380950927734
3,7,861,13.882404327392578
3,8,841,13.610631942749023
3,9,821,13.308272361755371
3,10,801,13.325822830200195
3,11,781,13.033002853393555
3,12,761,13.053813934326172
3,13,741,13.036331176757812
3,14,721,13.094867706298828
3,15,701,13.143636703491211
3,16,681,13.202119827270508
3,17,661,13.232481956481934
3,18,641,13.210197448730469
3,19,621,13.145026206970215
3,20,601,13.029109954833984
3,21,581,12.856634140014648
3,22,561,12.61421012878418
3,23,541,12.398154258728027
3,24,521,12.237297058105469
3,25,501,12.155120849609375
3,26,481,12.165779113769531
3,27,461,12.101062774658203
3,28,441,11.988141059875488
3,29,421,11.893369674682617
3,30,401,11.818671226501465
3,31,381,11.7883939743042
3,32,361,11.780742645263672
3,33,341,11.791471481323242
3,34,321,11.815149307250977
3,35,301,11.84676742553711
3,36,281,11.879598617553711
3,37,261,11.910224914550781
3,38,241,11.9346923828125
3,39,221,11.956584930419922
3,40,201,11.977444648742676
3,41,181,11.990557670593262
3,42,161,11.989175796508789
3,43,141,11.966203689575195
3,44,121,11.918248176574707
3,45,101,11.852361679077148
3,46,81,11.767162322998047
3,47,61,11.661233901977539
3,48,41,11.525426864624023
3,49,21,11.355802536010742
3,50,1,11.09154224395752
4,0,981,18.04595947265625
4,1,961,17.981647491455078
