prompt_idx,step,timestep,FAI
0,0,981,18.682838439941406
0,1,961,18.69495391845703
0,2,961,17.924270629882812
0,3,941,17.89989471435547
0,4,921,18.166929244995117
0,5,901,17.776668548583984
0,6,881,17.403465270996094
0,7,861,16.74567985534668
0,8,841,16.33672332763672
0,9,821,16.338092803955078
0,10,801,16.263147354125977
0,11,781,16.194841384887695
0,12,761,16.243743896484375
0,13,741,16.314800262451172
0,14,721,16.39950942993164
0,15,701,16.481401443481445
0,16,681,16.57190704345703
0,17,661,16.66092300415039
0,18,641,16.73321533203125
0,19,621,16.824756622314453
0,20,601,16.89463233947754
0,21,581,16.972702026367188
0,22,561,17.037887573242188
0,23,541,17.09386444091797
0,24,521,17.12405014038086
0,25,501,17.149932861328125
0,26,481,17.156774520874023
0,27,461,17.13298797607422
0,28,441,17.087289810180664
0,29,421,17.03789710998535
0,30,401,16.983728408813477
0,31,381,16.947998046875
0,32,361,16.921764373779297
0,33,341,16.90286636352539
0,34,321,16.875211715698242
0,35,301,16.826047897338867
0,36,281,16.745948791503906
0,37,261,16.648433685302734
0,38,241,16.549644470214844
0,39,221,16.452049255371094
0,40,201,16.365070343017578
0,41,181,16.27263641357422
0,42,161,16.178329467773438
0,43,141,16.079696655273438
0,44,121,15.963977813720703
0,45,101,15.836735725402832
0,46,81,15.66738510131836
0,47,61,15.437723159790039
0,48,41,15.13216781616211
0,49,21,14.681467056274414
0,50,1,13.771661758422852
1,0,981,17.551895141601562
1,1,961,17.450645446777344
1,2,961,17.037582397460938
1,3,941,16.759540557861328
1,4,921,16.268722534179688
1,5,901,15.365697860717773
1,6,881,15.198185920715332
1,7,861,15.072708129882812
1,8,841,14.838295936584473
1,9,821,14.59290885925293
1,10,801,14.407057762145996
1,11,781,14.300704002380371
1,12,761,14.231771469116211
1,13,741,14.193291664123535
1,14,721,14.18382453918457
1,15,701,14.191930770874023
1,16,681,14.210552215576172
1,17,661,14.228447914123535
1,18,641,14.23649787902832
1,19,621,14.250709533691406
1,20,601,14.30368423461914
1,21,581,14.359259605407715
1,22,561,14.401926040649414
1,23,541,14.432991027832031
1,24,521,14.41736888885498
1,25,501,14.35966682434082
1,26,481,14.282235145568848
1,27,461,14.196121215820312
1,28,441,14.095436096191406
1,29,421,13.979009628295898
1,30,401,13.858582496643066
1,31,381,13.744006156921387
1,32,361,13.636468887329102
1,33,341,13.529947280883789
1,34,321,13.439878463745117
1,35,301,13.402641296386719
1,36,281,13.391453742980957
1,37,261,13.351856231689453
1,38,241,13.289518356323242
1,39,221,13.231306076049805
1,40,201,13.18164348602295
1,41,181,13.121731758117676
1,42,161,13.054651260375977
1,43,141,12.99504280090332
1,44,121,12.950263977050781
1,45,101,12.920232772827148
1,46,81,12.890670776367188
1,47,61,12.85323715209961
1,48,41,12.778792381286621
1,49,21,12.596827507019043
1,50,1,11.844820022583008
2,0,981,17.747943878173828
2,1,961,17.879474639892578
2,2,961,17.54899787902832
2,3,941,17.606380462646484
2,4,921,17.903085708618164
2,5,901,18.455242156982422
2,6,881,18.12356948852539
2,7,861,16.703704833984375
2,8,841,16.454666137695312
2,9,821,16.37761116027832
2,10,801,16.21225357055664
2,11,781,16.054443359375
2,12,761,15.97586727142334
2,13,741,15.989786148071289
2,14,721,16.066572189331055
2,15,701,16.16360092163086
2,16,681,16.23705291748047
2,17,661,16.273176193237305
2,18,641,16.27876853942871
2,19,621,16.29817008972168
2,20,601,16.251937866210938
2,21,581,16.21096420288086
2,22,561,16.197751998901367
2,23,541,16.20016860961914
2,24,521,16.188453674316406
2,25,501,16.18604850769043
2,26,481,16.184972763061523
2,27,461,16.181011199951172
2,28,441,16.179656982421875
2,29,421,16.172832489013672
2,30,401,16.143016815185547
2,31,381,16.092939376831055
2,32,361,15.985414505004883
2,33,341,15.827859878540039
2,34,321,15.665460586547852
2,35,301,15.514732360839844
2,36,281,15.36750316619873
2,37,261,15.227910995483398
2,38,241,15.093057632446289
2,39,221,14.975194931030273
2,40,201,14.881292343139648
2,41,181,14.797687530517578
2,42,161,14.727411270141602
2,43,141,14.672551155090332
2,44,121,14.634014129638672
2,45,101,14.605215072631836
2,46,81,14.542434692382812
2,47,61,14.387046813964844
2,48,41,14.173741340637207
2,49,21,13.89411735534668
2,50,1,13.055728912353516
3,0,981,19.620620727539062
3,1,961,19.97681999206543
3,2,961,19.838882446289062
3,3,941,20.114660263061523
3,4,921,20.410165786743164
3,5,901,20.638477325439453
3,6,881,20.50900650024414
3,7,861,20.147056579589844
3,8,841,19.662010192871094
3,9,821,19.189289093017578
3,10,801,18.8794002532959
3,11,781,18.736915588378906
3,12,761,18.761486053466797
3,13,741,18.86502456665039
3,14,721,19.061267852783203
3,15,701,19.22179412841797
3,16,681,19.31511688232422
3,17,661,19.3775634765625
3,18,641,19.404743194580078
3,19,621,19.39969825744629
3,20,601,19.36911392211914
3,21,581,19.32590103149414
3,22,561,19.273361206054688
3,23,541,19.20749282836914
3,24,521,19.12853240966797
3,25,501,19.036165237426758
3,26,481,18.919776916503906
3,27,461,18.783281326293945
3,28,441,18.626354217529297
3,29,421,18.450408935546875
3,30,401,18.267534255981445
3,31,381,18.083763122558594
3,32,361,17.90888214111328
3,33,341,17.743017196655273
3,34,321,17.5856990814209
3,35,301,17.429603576660156
3,36,281,17.265155792236328
3,37,261,17.098793029785156
3,38,241,16.918663024902344
3,39,221,16.73153305053711
3,40,201,16.543102264404297
3,41,181,16.34674835205078
3,42,161,16.14499282836914
3,43,141,15.93116569519043
3,44,121,15.706785202026367
3,45,101,15.46568489074707
3,46,81,15.206819534301758
3,47,61,14.930756568908691
3,48,41,14.643414497375488
3,49,21,14.30588150024414
3,50,1,13.581501007080078
4,0,981,17.87844467163086
4,1,961,18.102344512939453
