prompt_idx,step,timestep,FAI
0,0,981,19.45703125
0,1,961,19.495468139648438
0,2,961,20.270217895507812
0,3,941,18.284826278686523
0,4,921,17.226821899414062
0,5,901,17.237773895263672
0,6,881,17.42375373840332
0,7,861,17.585243225097656
0,8,841,17.660505294799805
0,9,821,17.634864807128906
0,10,801,17.470733642578125
0,11,781,17.1921329498291
0,12,761,16.820043563842773
0,13,741,16.33603286743164
0,14,721,15.928349494934082
0,15,701,15.711013793945312
0,16,681,15.640201568603516
0,17,661,15.659106254577637
0,18,641,15.679826736450195
0,19,621,15.69029426574707
0,20,601,15.701459884643555
0,21,581,15.726673126220703
0,22,561,15.748372077941895
0,23,541,15.771463394165039
0,24,521,15.800630569458008
0,25,501,15.841545104980469
0,26,481,15.87704086303711
0,27,461,15.893392562866211
0,28,441,15.88545036315918
0,29,421,15.859573364257812
0,30,401,15.832383155822754
0,31,381,15.808683395385742
0,32,361,15.783555030822754
0,33,341,15.758918762207031
0,34,321,15.738252639770508
0,35,301,15.714262962341309
0,36,281,15.689766883850098
0,37,261,15.670379638671875
0,38,241,15.651704788208008
0,39,221,15.633514404296875
0,40,201,15.620694160461426
0,41,181,15.600345611572266
0,42,161,15.564645767211914
0,43,141,15.509495735168457
0,44,121,15.413604736328125
0,45,101,15.274321556091309
0,46,81,15.075693130493164
0,47,61,14.810968399047852
0,48,41,14.476829528808594
0,49,21,14.072174072265625
0,50,1,13.576122283935547
1,0,981,19.111011505126953
1,1,961,22.27532386779785
1,2,961,22.601144790649414
1,3,941,23.220993041992188
1,4,921,20.492582321166992
1,5,901,20.287216186523438
1,6,881,20.02105712890625
1,7,861,19.73773956298828
1,8,841,19.437267303466797
1,9,821,19.1800594329834
1,10,801,18.92400360107422
1,11,781,18.687650680541992
1,12,761,18.459365844726562
1,13,741,18.3574161529541
1,14,721,18.26305389404297
1,15,701,18.210269927978516
1,16,681,18.246137619018555
1,17,661,18.184444427490234
1,18,641,17.926307678222656
1,19,621,17.60542869567871
1,20,601,17.174182891845703
1,21,581,16.740928649902344
1,22,561,16.370203018188477
1,23,541,16.019683837890625
1,24,521,15.669157981872559
1,25,501,15.326803207397461
1,26,481,14.984489440917969
1,27,461,14.633867263793945
1,28,441,14.281006813049316
1,29,421,13.933197975158691
1,30,401,13.590414047241211
1,31,381,13.287256240844727
1,32,361,13.014628410339355
1,33,341,12.770559310913086
1,34,321,12.555465698242188
1,35,301,12.35804557800293
1,36,281,12.174246788024902
1,37,261,12.007503509521484
1,38,241,11.853065490722656
1,39,221,11.705236434936523
1,40,201,11.56871223449707
1,41,181,11.441643714904785
1,42,161,11.323219299316406
1,43,141,11.22332763671875
1,44,121,11.144109725952148
1,45,101,11.083950996398926
1,46,81,11.01432991027832
1,47,61,10.911506652832031
1,48,41,10.758886337280273
1,49,21,10.536323547363281
1,50,1,10.011360168457031
2,0,981,17.605257034301758
2,1,961,19.646286010742188
2,2,961,19.240877151489258
2,3,941,15.004148483276367
2,4,921,14.771137237548828
2,5,901,14.700492858886719
2,6,881,14.699808120727539
2,7,861,14.726358413696289
2,8,841,14.750005722045898
2,9,821,14.778261184692383
2,10,801,14.800799369812012
2,11,781,14.816404342651367
2,12,761,14.81882381439209
2,13,741,14.818685531616211
2,14,721,14.825854301452637
2,15,701,14.845120429992676
2,16,681,14.902935028076172
2,17,661,15.018674850463867
2,18,641,15.172697067260742
2,19,621,15.353669166564941
2,20,601,15.489261627197266
2,21,581,15.556930541992188
2,22,561,15.562474250793457
2,23,541,15.529040336608887
2,24,521,15.46320915222168
2,25,501,15.375675201416016
2,26,481,15.26294994354248
2,27,461,15.123793601989746
2,28,441,14.967554092407227
2,29,421,14.804926872253418
2,30,401,14.651556968688965
2,31,381,14.50895881652832
2,32,361,14.382925033569336
2,33,341,14.270061492919922
2,34,321,14.179784774780273
2,35,301,14.101851463317871
2,36,281,14.034601211547852
2,37,261,13.9716796875
2,38,241,13.900498390197754
2,39,221,13.816147804260254
2,40,201,13.727378845214844
2,41,181,13.633618354797363
2,42,161,13.530708312988281
2,43,141,13.419149398803711
2,44,121,13.3046875
2,45,101,13.185586929321289
2,46,81,13.061752319335938
2,47,61,12.925891876220703
2,48,41,12.782326698303223
2,49,21,12.579042434692383
2,50,1,11.97355842590332
3,0,981,19.74950408935547
3,1,961,20.73656463623047
3,2,961,19.046709060668945
3,3,941,17.31283187866211
3,4,921,16.733745574951172
3,5,901,15.711088180541992
3,6,881,15.273489952087402
