prompt_idx,step,timestep,FAI
0,0,981,18.783958435058594
0,1,961,18.898645401000977
0,2,961,19.175235748291016
0,3,941,19.58371925354004
0,4,921,20.263954162597656
0,5,901,20.281208038330078
0,6,881,19.96639633178711
0,7,861,19.725366592407227
0,8,841,19.46131706237793
0,9,821,19.172252655029297
0,10,801,18.83315658569336
0,11,781,18.456727981567383
0,12,761,18.07737922668457
0,13,741,17.783222198486328
0,14,721,17.541915893554688
0,15,701,17.316232681274414
0,16,681,17.05230140686035
0,17,661,16.78569793701172
0,18,641,16.50902557373047
0,19,621,16.23900032043457
0,20,601,15.858301162719727
0,21,581,15.355856895446777
0,22,561,14.913097381591797
0,23,541,14.550408363342285
0,24,521,14.247408866882324
0,25,501,13.990225791931152
0,26,481,13.7965726852417
0,27,461,13.685433387756348
0,28,441,13.64736270904541
0,29,421,13.658102989196777
0,30,401,13.703512191772461
0,31,381,13.76788330078125
0,32,361,13.737375259399414
0,33,341,13.596598625183105
0,34,321,13.43371295928955
0,35,301,13.333417892456055
0,36,281,13.292320251464844
0,37,261,13.281671524047852
0,38,241,13.27415657043457
0,39,221,13.249601364135742
0,40,201,13.203214645385742
0,41,181,13.135913848876953
0,42,161,13.052029609680176
0,43,141,12.957788467407227
0,44,121,12.842859268188477
0,45,101,12.684678077697754
0,46,81,12.483604431152344
0,47,61,12.247284889221191
0,48,41,11.973176002502441
0,49,21,11.639791488647461
0,50,1,10.968999862670898
1,0,981,19.198606491088867
1,1,961,22.29283905029297
1,2,961,22.42052459716797
1,3,941,22.701732635498047
1,4,921,23.072059631347656
1,5,901,23.32585334777832
1,6,881,23.35011100769043
1,7,861,23.102794647216797
1,8,841,22.56378746032715
1,9,821,22.070655822753906
1,10,801,21.457523345947266
1,11,781,20.73461151123047
1,12,761,20.034183502197266
1,13,741,19.276817321777344
1,14,721,18.721778869628906
1,15,701,18.371572494506836
1,16,681,18.022945404052734
1,17,661,17.64906883239746
1,18,641,17.30299949645996
1,19,621,16.982261657714844
1,20,601,16.63582992553711
1,21,581,16.329811096191406
1,22,561,16.100418090820312
1,23,541,15.950806617736816
1,24,521,15.859155654907227
1,25,501,15.850162506103516
1,26,481,15.792301177978516
1,27,461,15.717338562011719
1,28,441,15.65485954284668
1,29,421,15.596118927001953
1,30,401,15.514272689819336
1,31,381,15.400407791137695
1,32,361,15.248651504516602
1,33,341,15.041980743408203
1,34,321,14.78973388671875
1,35,301,14.508024215698242
1,36,281,14.196358680725098
1,37,261,13.868663787841797
1,38,241,13.53473949432373
1,39,221,13.218317031860352
1,40,201,12.928382873535156
1,41,181,12.67363166809082
1,42,161,12.449569702148438
1,43,141,12.254829406738281
1,44,121,12.077947616577148
1,45,101,11.899589538574219
1,46,81,11.713181495666504
1,47,61,11.5226469039917
1,48,41,11.328885078430176
1,49,21,11.117230415344238
1,50,1,10.561075210571289
2,0,981,17.690959930419922
2,1,961,19.599132537841797
2,2,961,20.100507736206055
2,3,941,18.913055419921875
2,4,921,17.609161376953125
2,5,901,16.760360717773438
2,6,881,16.11553192138672
2,7,861,15.691394805908203
2,8,841,15.437034606933594
2,9,821,15.325998306274414
2,10,801,15.28735637664795
2,11,781,15.312875747680664
2,12,761,15.384742736816406
2,13,741,15.499774932861328
2,14,721,15.629789352416992
2,15,701,15.741384506225586
2,16,681,15.83598804473877
2,17,661,15.903258323669434
2,18,641,15.927783012390137
2,19,621,15.937315940856934
2,20,601,15.908637046813965
2,21,581,15.866025924682617
2,22,561,15.810110092163086
2,23,541,15.740891456604004
2,24,521,15.658666610717773
2,25,501,15.57575798034668
2,26,481,15.498357772827148
2,27,461,15.42682933807373
2,28,441,15.381738662719727
2,29,421,15.345956802368164
2,30,401,15.32836627960205
2,31,381,15.325374603271484
2,32,361,15.345559120178223
2,33,341,15.396052360534668
2,34,321,15.478597640991211
2,35,301,15.572300910949707
2,36,281,15.671599388122559
2,37,261,15.772348403930664
2,38,241,15.857224464416504
2,39,221,15.916115760803223
2,40,201,15.964070320129395
