prompt_idx,step,timestep,FAI
0,0,981,18.783958435058594
0,1,961,18.898645401000977
0,2,961,19.17379379272461
0,3,941,19.57689666748047
0,4,921,20.254621505737305
0,5,901,20.283100128173828
0,6,881,19.97405433654785
0,7,861,19.73870086669922
0,8,841,19.483196258544922
0,9,821,19.2059326171875
0,10,801,18.878681182861328
0,11,781,18.513736724853516
0,12,761,18.145336151123047
0,13,741,17.86992645263672
0,14,721,17.659589767456055
0,15,701,17.472814559936523
0,16,681,17.246337890625
0,17,661,17.000747680664062
0,18,641,16.73879623413086
0,19,621,16.490875244140625
0,20,601,16.159231185913086
0,21,581,15.68881607055664
0,22,561,15.236627578735352
0,23,541,14.882732391357422
0,24,521,14.60560417175293
0,25,501,14.373246192932129
0,26,481,14.204891204833984
0,27,461,14.152812957763672
0,28,441,14.234088897705078
0,29,421,14.384988784790039
0,30,401,14.494272232055664
0,31,381,14.413262367248535
0,32,361,14.10955810546875
0,33,341,13.713764190673828
0,34,321,13.400663375854492
0,35,301,13.17208480834961
0,36,281,12.99195671081543
0,37,261,12.831855773925781
0,38,241,12.697272300720215
0,39,221,12.5862398147583
0,40,201,12.492354393005371
0,41,181,12.400398254394531
0,42,161,12.306608200073242
0,43,141,12.211187362670898
0,44,121,12.092828750610352
0,45,101,11.925551414489746
0,46,81,11.720909118652344
0,47,61,11.494440078735352
0,48,41,11.257614135742188
0,49,21,11.001344680786133
0,50,1,10.47994613647461
1,0,981,21.66396713256836
1,1,961,22.22577667236328
1,2,961,22.376850128173828
1,3,941,22.67873764038086
1,4,921,23.038333892822266
1,5,901,23.302783966064453
1,6,881,23.365747451782227
1,7,861,23.23300552368164
1,8,841,22.85466766357422
1,9,821,22.52983856201172
1,10,801,22.19711685180664
1,11,781,21.572933197021484
1,12,761,20.698213577270508
1,13,741,19.746536254882812
1,14,721,18.73879623413086
1,15,701,18.043258666992188
1,16,681,17.658164978027344
1,17,661,17.31985855102539
1,18,641,16.969703674316406
1,19,621,16.654361724853516
1,20,601,16.34754180908203
1,21,581,16.099018096923828
1,22,561,15.90432357788086
1,23,541,15.768901824951172
1,24,521,15.676143646240234
1,25,501,15.629175186157227
1,26,481,15.608531951904297
1,27,461,15.554607391357422
1,28,441,15.49152660369873
1,29,421,15.429216384887695
1,30,401,15.342371940612793
1,31,381,15.22177505493164
1,32,361,15.057069778442383
1,33,341,14.830022811889648
1,34,321,14.526975631713867
1,35,301,14.173042297363281
1,36,281,13.77714729309082
1,37,261,13.377344131469727
1,38,241,12.991851806640625
1,39,221,12.64219856262207
1,40,201,12.33161735534668
1,41,181,12.056696891784668
1,42,161,11.811030387878418
1,43,141,11.586196899414062
1,44,121,11.376840591430664
1,45,101,11.182064056396484
1,46,81,10.987497329711914
1,47,61,10.785917282104492
1,48,41,10.579898834228516
1,49,21,10.35871696472168
1,50,1,9.81683349609375
2,0,981,19.597036361694336
2,1,961,19.299625396728516
2,2,961,19.940486907958984
2,3,941,18.867416381835938
2,4,921,17.621047973632812
2,5,901,16.833301544189453
2,6,881,16.247596740722656
2,7,861,15.864298820495605
2,8,841,15.603597640991211
2,9,821,15.474740982055664
2,10,801,15.416738510131836
2,11,781,15.42658519744873
2,12,761,15.490903854370117
2,13,741,15.610040664672852
2,14,721,15.758440017700195
2,15,701,15.903877258300781
2,16,681,16.04943084716797
2,17,661,16.16704559326172
2,18,641,16.23302459716797
2,19,621,16.25469207763672
2,20,601,16.205379486083984
2,21,581,16.110382080078125
2,22,561,15.98259162902832
2,23,541,15.84380054473877
2,24,521,15.711212158203125
2,25,501,15.60264778137207
2,26,481,15.526009559631348
2,27,461,15.47169303894043
2,28,441,15.458247184753418
2,29,421,15.471891403198242
2,30,401,15.524150848388672
2,31,381,15.594085693359375
2,32,361,15.657278060913086
2,33,341,15.698532104492188
2,34,321,15.719341278076172
2,35,301,15.698332786560059
2,36,281,15.684452056884766
2,37,261,15.657858848571777
2,38,241,15.63481616973877
2,39,221,15.620536804199219
2,40,201,15.6243257522583
