prompt_idx,step,timestep,FAI
0,0,981,17.418737411499023
0,1,961,17.737503051757812
0,2,961,17.492746353149414
0,3,941,14.673820495605469
0,4,921,14.218462944030762
0,5,901,13.776628494262695
0,6,881,13.652839660644531
0,7,861,14.443155288696289
0,8,841,14.00886344909668
0,9,821,13.358587265014648
0,10,801,12.416297912597656
0,11,781,12.109842300415039
0,12,761,12.789066314697266
0,13,741,13.024157524108887
0,14,721,13.215559005737305
0,15,701,13.341592788696289
0,16,681,13.406122207641602
0,17,661,13.421001434326172
0,18,641,13.40471076965332
0,19,621,13.405550003051758
0,20,601,13.408821105957031
0,21,581,13.418174743652344
0,22,561,13.414247512817383
0,23,541,13.4052734375
0,24,521,13.380352020263672
0,25,501,13.35417366027832
0,26,481,13.323616027832031
0,27,461,13.284257888793945
0,28,441,13.24134635925293
0,29,421,13.202018737792969
0,30,401,13.156814575195312
0,31,381,13.121866226196289
0,32,361,13.08590030670166
0,33,341,13.056782722473145
0,34,321,13.031917572021484
0,35,301,13.015134811401367
0,36,281,13.007251739501953
0,37,261,13.009635925292969
0,38,241,13.020895004272461
0,39,221,13.037891387939453
0,40,201,13.052367210388184
0,41,181,13.054073333740234
0,42,161,13.044798851013184
0,43,141,13.028045654296875
0,44,121,12.999326705932617
0,45,101,12.962435722351074
0,46,81,12.896818161010742
0,47,61,12.801918029785156
0,48,41,12.683055877685547
0,49,21,12.50827407836914
0,50,1,12.165897369384766
1,0,981,19.380996704101562
1,1,961,19.706871032714844
1,2,961,19.78317642211914
1,3,941,19.573566436767578
1,4,921,18.55896759033203
1,5,901,18.6108341217041
1,6,881,18.70771598815918
1,7,861,18.872947692871094
1,8,841,18.844036102294922
1,9,821,18.722728729248047
1,10,801,18.60517692565918
1,11,781,17.827362060546875
1,12,761,17.869688034057617
1,13,741,17.910869598388672
1,14,721,17.950115203857422
1,15,701,17.93627166748047
1,16,681,17.86267852783203
1,17,661,17.75702667236328
1,18,641,17.635522842407227
1,19,621,17.52817153930664
1,20,601,17.40195083618164
1,21,581,17.278722763061523
1,22,561,17.150583267211914
1,23,541,17.029075622558594
1,24,521,16.926227569580078
1,25,501,16.84841537475586
1,26,481,16.792638778686523
1,27,461,16.758514404296875
1,28,441,16.723167419433594
1,29,421,16.66460609436035
1,30,401,16.589763641357422
1,31,381,16.531225204467773
1,32,361,16.454524993896484
1,33,341,16.363391876220703
1,34,321,16.257511138916016
1,35,301,16.152725219726562
1,36,281,16.041263580322266
1,37,261,15.922958374023438
1,38,241,15.787226676940918
1,39,221,15.630985260009766
1,40,201,15.451530456542969
1,41,181,15.242790222167969
1,42,161,15.013340950012207
1,43,141,14.790242195129395
1,44,121,14.594619750976562
1,45,101,14.438705444335938
1,46,81,14.303048133850098
1,47,61,14.191465377807617
1,48,41,14.062021255493164
1,49,21,13.816041946411133
1,50,1,13.241864204406738
2,0,981,18.087291717529297
2,1,961,18.24445152282715
2,2,961,17.49701690673828
2,3,941,14.361711502075195
2,4,921,14.324250221252441
2,5,901,14.678522109985352
2,6,881,15.459358215332031
2,7,861,15.8775634765625
2,8,841,15.845945358276367
2,9,821,15.894194602966309
2,10,801,15.618574142456055
2,11,781,14.968828201293945
2,12,761,15.308707237243652
2,13,741,14.995540618896484
2,14,721,14.958281517028809
2,15,701,14.924894332885742
2,16,681,14.898550033569336
2,17,661,14.870373725891113
2,18,641,14.837862014770508
2,19,621,14.831130981445312
2,20,601,14.822822570800781
2,21,581,14.8280029296875
2,22,561,14.840351104736328
2,23,541,14.855661392211914
2,24,521,14.848751068115234
2,25,501,14.82450008392334
2,26,481,14.780640602111816
2,27,461,14.716340065002441
2,28,441,14.637978553771973
2,29,421,14.550634384155273
2,30,401,14.455306053161621
2,31,381,14.357163429260254
2,32,361,14.254011154174805
2,33,341,14.147317886352539
2,34,321,14.037759780883789
2,35,301,13.917498588562012
2,36,281,13.785140991210938
2,37,261,13.652154922485352
2,38,241,13.505470275878906
2,39,221,13.355655670166016
2,40,201,13.209778785705566
2,41,181,13.071625709533691
2,42,161,12.933145523071289
2,43,141,12.802164077758789
2,44,121,12.680473327636719
2,45,101,12.53780746459961
2,46,81,12.378454208374023
2,47,61,12.194681167602539
2,48,41,11.985532760620117
2,49,21,11.716629028320312
2,50,1,11.189966201782227
3,0,981,19.016529083251953
3,1,961,18.791908264160156
3,2,961,17.096019744873047
3,3,941,16.51065444946289
3,4,921,16.2913818359375
3,5,901,14.722604751586914
3,6,881,13.988633155822754
3,7,861,13.523651123046875
3,8,841,13.225004196166992
3,9,821,13.037324905395508
3,10,801,12.890851974487305
3,11,781,12.75636100769043
3,12,761,12.654769897460938
3,13,741,12.725385665893555
3,14,721,13.04168701171875
3,15,701,13.435779571533203
3,16,681,13.417688369750977
3,17,661,13.126782417297363
3,18,641,12.793413162231445
3,19,621,12.497353553771973
3,20,601,12.265533447265625
3,21,581,12.102035522460938
3,22,561,12.008064270019531
3,23,541,11.954017639160156
3,24,521,11.924118041992188
3,25,501,11.908437728881836
3,26,481,11.898726463317871
3,27,461,11.889686584472656
3,28,441,11.886191368103027
3,29,421,11.889028549194336
3,30,401,11.887372016906738
3,31,381,11.889978408813477
3,32,361,11.885734558105469
3,33,341,11.872689247131348
3,34,321,11.850069046020508
3,35,301,11.811203002929688
3,36,281,11.756111145019531
3,37,261,11.686525344848633
3,38,241,11.608954429626465
3,39,221,11.529752731323242
3,40,201,11.453207015991211
3,41,181,11.376792907714844
3,42,161,11.294435501098633
3,43,141,11.197381973266602
3,44,121,11.090470314025879
3,45,101,10.968914985656738
3,46,81,10.832473754882812
3,47,61,10.667529106140137
3,48,41,10.470149993896484
3,49,21,10.207063674926758
3,50,1,9.613768577575684
4,0,981,19.77288055419922
4,1,961,19.732898712158203
4,2,961,19.30884552001953
4,3,941,19.52705955505371
4,4,921,19.785980224609375
4,5,901,19.709300994873047
4,6,881,19.66756820678711
4,7,861,19.60947608947754
4,8,841,19.16684913635254
4,9,821,18.262699127197266
4,10,801,17.11044692993164
4,11,781,16.544105529785156
4,12,761,16.11334991455078
4,13,741,15.724754333496094
4,14,721,15.514169692993164
4,15,701,15.210899353027344
4,16,681,14.878568649291992
4,17,661,14.641337394714355
4,18,641,14.52621841430664
4,19,621,14.520902633666992
4,20,601,14.540139198303223
4,21,581,14.595017433166504
4,22,561,14.65522575378418
4,23,541,14.706907272338867
4,24,521,14.742195129394531
4,25,501,14.772663116455078
4,26,481,14.776029586791992
4,27,461,14.740270614624023
4,28,441,14.664026260375977
4,29,421,14.565668106079102
4,30,401,14.44320297241211
4,31,381,14.300129890441895
4,32,361,14.1370267868042
4,33,341,13.95994758605957
4,34,321,13.772119522094727
4,35,301,13.574604034423828
4,36,281,13.366113662719727
4,37,261,13.151171684265137
4,38,241,12.936849594116211
4,39,221,12.72683334350586
4,40,201,12.527575492858887
4,41,181,12.342448234558105
4,42,161,12.175559043884277
4,43,141,12.024089813232422
4,44,121,11.885621070861816
4,45,101,11.749664306640625
4,46,81,11.61587142944336
4,47,61,11.469765663146973
4,48,41,11.297819137573242
4,49,21,11.058653831481934
4,50,1,10.559642791748047
