prompt_idx,step,timestep,FAI
0,0,981,18.444358825683594
0,1,961,18.72844886779785
0,2,961,18.602191925048828
0,3,941,15.741557121276855
0,4,921,14.793973922729492
0,5,901,14.465065002441406
0,6,881,14.212194442749023
0,7,861,14.605798721313477
0,8,841,14.605368614196777
0,9,821,13.782596588134766
0,10,801,13.374662399291992
0,11,781,12.368549346923828
0,12,761,12.441795349121094
0,13,741,13.015748977661133
0,14,721,13.190526962280273
0,15,701,13.329718589782715
0,16,681,13.437955856323242
0,17,661,13.497198104858398
0,18,641,13.503212928771973
0,19,621,13.48193645477295
0,20,601,13.428247451782227
0,21,581,13.379225730895996
0,22,561,13.335338592529297
0,23,541,13.31701946258545
0,24,521,13.30369758605957
0,25,501,13.304988861083984
0,26,481,13.308709144592285
0,27,461,13.307100296020508
0,28,441,13.303596496582031
0,29,421,13.298286437988281
0,30,401,13.272515296936035
0,31,381,13.23900318145752
0,32,361,13.189543724060059
0,33,341,13.144614219665527
0,34,321,13.10611343383789
0,35,301,13.086219787597656
0,36,281,13.088658332824707
0,37,261,13.11906623840332
0,38,241,13.17319393157959
0,39,221,13.2001371383667
0,40,201,13.19003677368164
0,41,181,13.156213760375977
0,42,161,13.106117248535156
0,43,141,13.042545318603516
0,44,121,12.964958190917969
0,45,101,12.885530471801758
0,46,81,12.787002563476562
0,47,61,12.67301082611084
0,48,41,12.531441688537598
0,49,21,12.31124496459961
0,50,1,11.98210334777832
1,0,981,19.5511417388916
1,1,961,19.8851318359375
1,2,961,20.13255500793457
1,3,941,19.770549774169922
1,4,921,18.555532455444336
1,5,901,18.570064544677734
1,6,881,18.582881927490234
1,7,861,18.675052642822266
1,8,841,18.690521240234375
1,9,821,18.493980407714844
1,10,801,18.334373474121094
1,11,781,18.429874420166016
1,12,761,18.25906753540039
1,13,741,17.701168060302734
1,14,721,17.359952926635742
1,15,701,17.079355239868164
1,16,681,16.861282348632812
1,17,661,16.701801300048828
1,18,641,16.57250213623047
1,19,621,16.42841148376465
1,20,601,16.27862548828125
1,21,581,16.17243194580078
1,22,561,16.055683135986328
1,23,541,15.93799114227295
1,24,521,15.821635246276855
1,25,501,15.724964141845703
1,26,481,15.638461112976074
1,27,461,15.546686172485352
1,28,441,15.449910163879395
1,29,421,15.349594116210938
1,30,401,15.232566833496094
1,31,381,15.118437767028809
1,32,361,14.997241973876953
1,33,341,14.874377250671387
1,34,321,14.747617721557617
1,35,301,14.624095916748047
1,36,281,14.496574401855469
1,37,261,14.366353034973145
1,38,241,14.23293399810791
1,39,221,14.098272323608398
1,40,201,13.972180366516113
1,41,181,13.854728698730469
1,42,161,13.743315696716309
1,43,141,13.648107528686523
1,44,121,13.57288932800293
1,45,101,13.517061233520508
1,46,81,13.479063034057617
1,47,61,13.471138954162598
1,48,41,13.505681037902832
1,49,21,13.58655834197998
1,50,1,13.747079849243164
2,0,981,18.655746459960938
2,1,961,18.852184295654297
2,2,961,17.736297607421875
2,3,941,14.396034240722656
2,4,921,14.288902282714844
2,5,901,14.605239868164062
2,6,881,15.181631088256836
2,7,861,15.760141372680664
2,8,841,15.80080795288086
2,9,821,15.79835033416748
2,10,801,15.821868896484375
2,11,781,14.83043098449707
2,12,761,14.782571792602539
2,13,741,15.28528881072998
2,14,721,15.196487426757812
2,15,701,15.07954216003418
2,16,681,15.025200843811035
2,17,661,14.942072868347168
2,18,641,14.86260986328125
2,19,621,14.814306259155273
2,20,601,14.774109840393066
2,21,581,14.75560188293457
2,22,561,14.74075698852539
2,23,541,14.714820861816406
2,24,521,14.654134750366211
2,25,501,14.573424339294434
2,26,481,14.467039108276367
2,27,461,14.343684196472168
2,28,441,14.224090576171875
2,29,421,14.118459701538086
2,30,401,14.025693893432617
2,31,381,13.94667911529541
2,32,361,13.877492904663086
2,33,341,13.806836128234863
2,34,321,13.741363525390625
2,35,301,13.674650192260742
2,36,281,13.600414276123047
2,37,261,13.521064758300781
2,38,241,13.42648696899414
2,39,221,13.322710990905762
2,40,201,13.215024948120117
2,41,181,13.112525939941406
2,42,161,13.016731262207031
2,43,141,12.9281005859375
2,44,121,12.84488582611084
2,45,101,12.745906829833984
2,46,81,12.637307167053223
2,47,61,12.505280494689941
2,48,41,12.351966857910156
2,49,21,12.162002563476562
2,50,1,11.805767059326172
3,0,981,19.85826873779297
3,1,961,19.65155029296875
3,2,961,18.01055145263672
3,3,941,17.22879409790039
3,4,921,16.65654945373535
3,5,901,15.637310028076172
3,6,881,15.076696395874023
3,7,861,14.5601806640625
3,8,841,14.226279258728027
3,9,821,14.040888786315918
3,10,801,13.94094467163086
3,11,781,13.88771915435791
3,12,761,13.863604545593262
3,13,741,13.891298294067383
3,14,721,13.904094696044922
3,15,701,13.884023666381836
3,16,681,13.769882202148438
3,17,661,13.598926544189453
3,18,641,13.40285873413086
3,19,621,13.193136215209961
3,20,601,12.991117477416992
3,21,581,12.816686630249023
3,22,561,12.705081939697266
3,23,541,12.618311882019043
3,24,521,12.571335792541504
3,25,501,12.550445556640625
3,26,481,12.54483699798584
3,27,461,12.543872833251953
3,28,441,12.549507141113281
3,29,421,12.552740097045898
3,30,401,12.55117416381836
3,31,381,12.541040420532227
3,32,361,12.518978118896484
3,33,341,12.48090934753418
3,34,321,12.434747695922852
3,35,301,12.381650924682617
3,36,281,12.325410842895508
3,37,261,12.275275230407715
3,38,241,12.233146667480469
3,39,221,12.199999809265137
3,40,201,12.1807861328125
3,41,181,12.159028053283691
3,42,161,12.137053489685059
3,43,141,12.107769012451172
3,44,121,12.068948745727539
3,45,101,12.017913818359375
3,46,81,11.937460899353027
3,47,61,11.834222793579102
3,48,41,11.698892593383789
3,49,21,11.471988677978516
3,50,1,10.834880828857422
4,0,981,20.005325317382812
4,1,961,19.85955047607422
4,2,961,19.56247329711914
4,3,941,19.968971252441406
4,4,921,20.349838256835938
4,5,901,20.415361404418945
4,6,881,20.22528076171875
4,7,861,19.75692367553711
4,8,841,18.64740753173828
4,9,821,17.439899444580078
4,10,801,16.581378936767578
4,11,781,15.798513412475586
4,12,761,14.527876853942871
4,13,741,13.532075881958008
4,14,721,13.201478958129883
4,15,701,13.11796760559082
4,16,681,13.097431182861328
4,17,661,13.055673599243164
4,18,641,13.008882522583008
4,19,621,12.98562240600586
4,20,601,12.962669372558594
4,21,581,12.96160888671875
4,22,561,12.970069885253906
4,23,541,12.94785213470459
4,24,521,12.883291244506836
4,25,501,12.822416305541992
4,26,481,12.769237518310547
4,27,461,12.736431121826172
4,28,441,12.71854019165039
4,29,421,12.69345760345459
4,30,401,12.672635078430176
4,31,381,12.655529022216797
4,32,361,12.630483627319336
4,33,341,12.59662914276123
4,34,321,12.558035850524902
4,35,301,12.51791000366211
4,36,281,12.479866981506348
4,37,261,12.446788787841797
4,38,241,12.406859397888184
4,39,221,12.36141586303711
4,40,201,12.318634033203125
4,41,181,12.264963150024414
4,42,161,12.197811126708984
4,43,141,12.11421012878418
4,44,121,12.018131256103516
4,45,101,11.90754508972168
4,46,81,11.779616355895996
4,47,61,11.620380401611328
4,48,41,11.419174194335938
4,49,21,11.139358520507812
4,50,1,10.597890853881836
5,0,981,15.850204467773438
5,1,961,15.790275573730469
5,2,961,16.338899612426758
5,3,941,16.490196228027344
5,4,921,15.815337181091309
5,5,901,15.629287719726562
5,6,881,15.61907958984375
5,7,861,15.551149368286133
5,8,841,15.270722389221191
5,9,821,15.002074241638184
5,10,801,14.646268844604492
5,11,781,14.534292221069336
5,12,761,14.760933876037598
5,13,741,14.717935562133789
5,14,721,14.528486251831055
5,15,701,14.261858940124512
5,16,681,14.077691078186035
5,17,661,13.988351821899414
5,18,641,13.886067390441895
5,19,621,13.767267227172852
5,20,601,13.657140731811523
5,21,581,13.597640037536621
5,22,561,13.576366424560547
5,23,541,13.578502655029297
5,24,521,13.573893547058105
5,25,501,13.55964469909668
5,26,481,13.514254570007324
5,27,461,13.429780960083008
5,28,441,13.348484992980957
5,29,421,13.277267456054688
5,30,401,13.210369110107422
5,31,381,13.15881061553955
5,32,361,13.112459182739258
5,33,341,13.077085494995117
5,34,321,13.053495407104492
5,35,301,13.041824340820312
5,36,281,13.04143238067627
5,37,261,13.05433464050293
5,38,241,13.077154159545898
5,39,221,13.108543395996094
5,40,201,13.138059616088867
5,41,181,13.156412124633789
5,42,161,13.1622314453125
5,43,141,13.155261039733887
5,44,121,13.135869979858398
5,45,101,13.097315788269043
5,46,81,13.029922485351562
5,47,61,12.921485900878906
5,48,41,12.74789047241211
5,49,21,12.481401443481445
5,50,1,11.864059448242188
6,0,981,20.205608367919922
6,1,961,20.298097610473633
6,2,961,20.61847496032715
6,3,941,19.7243709564209
6,4,921,19.023162841796875
6,5,901,18.785091400146484
6,6,881,18.671335220336914
6,7,861,18.673473358154297
6,8,841,18.70818328857422
6,9,821,18.80023193359375
6,10,801,18.840953826904297
6,11,781,18.74802017211914
6,12,761,18.38445281982422
6,13,741,17.940994262695312
6,14,721,17.552608489990234
6,15,701,17.294931411743164
6,16,681,17.028457641601562
6,17,661,16.632190704345703
6,18,641,16.165950775146484
6,19,621,15.58730697631836
6,20,601,14.973627090454102
6,21,581,14.528278350830078
6,22,561,14.242033958435059
6,23,541,14.012682914733887
6,24,521,13.813335418701172
6,25,501,13.62832260131836
6,26,481,13.461268424987793
6,27,461,13.31683349609375
6,28,441,13.202082633972168
6,29,421,13.109071731567383
6,30,401,13.023908615112305
6,31,381,12.945825576782227
6,32,361,12.84832763671875
6,33,341,12.734054565429688
6,34,321,12.603178977966309
6,35,301,12.464851379394531
6,36,281,12.322274208068848
6,37,261,12.193464279174805
6,38,241,12.081963539123535
6,39,221,11.983081817626953
6,40,201,11.896963119506836
6,41,181,11.810758590698242
6,42,161,11.717571258544922
6,43,141,11.615697860717773
6,44,121,11.501883506774902
6,45,101,11.381404876708984
6,46,81,11.246297836303711
6,47,61,11.094677925109863
6,48,41,10.914812088012695
6,49,21,10.678693771362305
6,50,1,10.189315795898438
7,0,981,17.261459350585938
7,1,961,17.23407745361328
7,2,961,16.816869735717773
7,3,941,15.741281509399414
7,4,921,15.4761962890625
7,5,901,15.496660232543945
7,6,881,15.45943832397461
7,7,861,14.9061918258667
7,8,841,14.245879173278809
7,9,821,11.870391845703125
7,10,801,11.377015113830566
7,11,781,11.394172668457031
7,12,761,11.481459617614746
7,13,741,11.548233032226562
7,14,721,11.585847854614258
7,15,701,11.620731353759766
7,16,681,11.652368545532227
7,17,661,11.682698249816895
7,18,641,11.706993103027344
7,19,621,11.743907928466797
7,20,601,11.774267196655273
7,21,581,11.80290699005127
7,22,561,11.820570945739746
7,23,541,11.824155807495117
7,24,521,11.816536903381348
7,25,501,11.804275512695312
7,26,481,11.785994529724121
7,27,461,11.756393432617188
7,28,441,11.718133926391602
7,29,421,11.681463241577148
7,30,401,11.637372016906738
7,31,381,11.585222244262695
7,32,361,11.524605751037598
7,33,341,11.452117919921875
7,34,321,11.375836372375488
7,35,301,11.296684265136719
7,36,281,11.218427658081055
7,37,261,11.144786834716797
7,38,241,11.077892303466797
7,39,221,11.013240814208984
7,40,201,10.945863723754883
7,41,181,10.87036418914795
7,42,161,10.78250503540039
7,43,141,10.676286697387695
7,44,121,10.5554838180542
7,45,101,10.411905288696289
7,46,81,10.24951171875
7,47,61,10.059294700622559
7,48,41,9.835012435913086
7,49,21,9.541464805603027
7,50,1,8.920132637023926
8,0,981,20.765287399291992
8,1,961,20.669593811035156
8,2,961,21.241270065307617
8,3,941,18.604564666748047
8,4,921,18.6376953125
8,5,901,18.68817138671875
8,6,881,18.541072845458984
8,7,861,18.117368698120117
8,8,841,17.35420036315918
8,9,821,16.856456756591797
8,10,801,16.218124389648438
8,11,781,15.92050552368164
8,12,761,15.959714889526367
8,13,741,16.063690185546875
8,14,721,16.130550384521484
8,15,701,16.16644859313965
8,16,681,16.170297622680664
8,17,661,16.156742095947266
8,18,641,16.142160415649414
8,19,621,16.15996551513672
8,20,601,16.1876220703125
8,21,581,16.231891632080078
8,22,561,16.28306007385254
8,23,541,16.343128204345703
8,24,521,16.38665771484375
8,25,501,16.42696762084961
8,26,481,16.453231811523438
8,27,461,16.450437545776367
8,28,441,16.431922912597656
8,29,421,16.399879455566406
8,30,401,16.371662139892578
8,31,381,16.347782135009766
8,32,361,16.306720733642578
8,33,341,16.247760772705078
8,34,321,16.17395782470703
8,35,301,16.09836769104004
8,36,281,16.02758026123047
8,37,261,15.975563049316406
8,38,241,15.945381164550781
8,39,221,15.924581527709961
8,40,201,15.895654678344727
8,41,181,15.8499174118042
8,42,161,15.793368339538574
8,43,141,15.731353759765625
8,44,121,15.668496131896973
8,45,101,15.605484962463379
8,46,81,15.547855377197266
8,47,61,15.49804401397705
8,48,41,15.442523956298828
8,49,21,15.34360122680664
8,50,1,14.596841812133789
9,0,981,21.865646362304688
9,1,961,22.191904067993164
9,2,961,21.47371482849121
9,3,941,19.147878646850586
9,4,921,18.850074768066406
9,5,901,18.52701187133789
9,6,881,18.198198318481445
9,7,861,17.92958641052246
9,8,841,17.66657257080078
9,9,821,17.57029914855957
9,10,801,17.76592445373535
9,11,781,17.541288375854492
9,12,761,17.290943145751953
9,13,741,17.0156307220459
9,14,721,16.744674682617188
9,15,701,16.532325744628906
9,16,681,16.435760498046875
9,17,661,16.43021011352539
9,18,641,16.449562072753906
9,19,621,16.495269775390625
9,20,601,16.550065994262695
9,21,581,16.584957122802734
9,22,561,16.445600509643555
9,23,541,16.053306579589844
9,24,521,15.811430931091309
9,25,501,15.73181438446045
9,26,481,15.695453643798828
9,27,461,15.59376335144043
9,28,441,15.384180068969727
9,29,421,15.153969764709473
9,30,401,14.929173469543457
9,31,381,14.709451675415039
9,32,361,14.487396240234375
9,33,341,14.252962112426758
9,34,321,14.002203941345215
9,35,301,13.716697692871094
9,36,281,13.39071273803711
9,37,261,13.032266616821289
9,38,241,12.667278289794922
9,39,221,12.311851501464844
9,40,201,11.973995208740234
9,41,181,11.662628173828125
9,42,161,11.379948616027832
9,43,141,11.125646591186523
9,44,121,10.900161743164062
9,45,101,10.692851066589355
9,46,81,10.510442733764648
9,47,61,10.347589492797852
9,48,41,10.195298194885254
9,49,21,10.044206619262695
9,50,1,9.711228370666504
10,0,981,21.077903747558594
10,1,961,21.100065231323242
10,2,961,21.157581329345703
10,3,941,19.87541961669922
10,4,921,19.748241424560547
10,5,901,19.479022979736328
10,6,881,18.821908950805664
10,7,861,18.223949432373047
10,8,841,17.857755661010742
10,9,821,17.791948318481445
10,10,801,17.85992431640625
10,11,781,17.927230834960938
10,12,761,17.99639892578125
10,13,741,18.09140396118164
10,14,721,17.946094512939453
10,15,701,17.784420013427734
10,16,681,17.66246795654297
10,17,661,17.527610778808594
10,18,641,17.36467170715332
10,19,621,17.241748809814453
10,20,601,17.105850219726562
10,21,581,16.978118896484375
10,22,561,16.858078002929688
10,23,541,16.757312774658203
10,24,521,16.649799346923828
10,25,501,16.5601806640625
10,26,481,16.467052459716797
10,27,461,16.343494415283203
10,28,441,16.21681785583496
10,29,421,16.082195281982422
10,30,401,15.920524597167969
10,31,381,15.780959129333496
10,32,361,15.624517440795898
10,33,341,15.469552040100098
10,34,321,15.310224533081055
10,35,301,15.16196060180664
10,36,281,15.020697593688965
10,37,261,14.885628700256348
10,38,241,14.753316879272461
10,39,221,14.62874984741211
10,40,201,14.513687133789062
10,41,181,14.404523849487305
10,42,161,14.295703887939453
10,43,141,14.186203002929688
10,44,121,14.080728530883789
10,45,101,13.967361450195312
10,46,81,13.852890014648438
10,47,61,13.724651336669922
10,48,41,13.585304260253906
10,49,21,13.408599853515625
10,50,1,13.10820198059082
11,0,981,20.27481460571289
11,1,961,20.230640411376953
11,2,961,19.832523345947266
11,3,941,17.7686767578125
11,4,921,17.31501579284668
11,5,901,17.657726287841797
11,6,881,16.397602081298828
11,7,861,15.91293716430664
11,8,841,15.767066955566406
11,9,821,15.88797378540039
11,10,801,15.02005386352539
11,11,781,14.564301490783691
11,12,761,14.007702827453613
11,13,741,13.755812644958496
11,14,721,13.849063873291016
11,15,701,13.750593185424805
11,16,681,13.646747589111328
11,17,661,13.571829795837402
11,18,641,13.519678115844727
11,19,621,13.492841720581055
11,20,601,13.464847564697266
11,21,581,13.448270797729492
11,22,561,13.428248405456543
11,23,541,13.412248611450195
11,24,521,13.386651992797852
11,25,501,13.364460945129395
11,26,481,13.339742660522461
11,27,461,13.300378799438477
11,28,441,13.25719165802002
11,29,421,13.206527709960938
11,30,401,13.142295837402344
11,31,381,13.081354141235352
11,32,361,13.011457443237305
11,33,341,12.94216251373291
11,34,321,12.86572265625
11,35,301,12.787696838378906
11,36,281,12.70652961730957
11,37,261,12.619574546813965
11,38,241,12.524641036987305
11,39,221,12.422586441040039
11,40,201,12.312899589538574
11,41,181,12.191596031188965
11,42,161,12.066545486450195
11,43,141,11.948318481445312
11,44,121,11.840926170349121
11,45,101,11.760847091674805
11,46,81,11.706666946411133
11,47,61,11.68081283569336
11,48,41,11.66404914855957
11,49,21,11.642654418945312
11,50,1,11.661544799804688
12,0,981,16.70587921142578
12,1,961,16.551536560058594
12,2,961,20.18003273010254
12,3,941,18.115612030029297
12,4,921,19.652679443359375
12,5,901,19.5981388092041
12,6,881,19.555404663085938
12,7,861,19.322017669677734
12,8,841,18.67831802368164
12,9,821,17.33211326599121
12,10,801,16.252227783203125
12,11,781,15.51974868774414
12,12,761,14.952226638793945
12,13,741,14.5506591796875
12,14,721,14.211587905883789
12,15,701,13.955353736877441
12,16,681,13.836429595947266
12,17,661,13.809242248535156
12,18,641,13.78437614440918
12,19,621,13.746509552001953
12,20,601,13.676992416381836
12,21,581,13.775324821472168
12,22,561,13.920093536376953
12,23,541,13.971385955810547
12,24,521,13.937885284423828
12,25,501,13.80757999420166
12,26,481,13.601393699645996
12,27,461,13.360992431640625
12,28,441,13.0635404586792
12,29,421,12.729768753051758
12,30,401,12.426345825195312
12,31,381,12.204362869262695
12,32,361,12.032869338989258
12,33,341,11.867515563964844
12,34,321,11.707141876220703
12,35,301,11.548951148986816
12,36,281,11.39642333984375
12,37,261,11.254617691040039
12,38,241,11.128647804260254
12,39,221,11.024725914001465
