prompt_idx,step,timestep,FAI
0,0,981,8.439447402954102
0,1,961,8.529590606689453
0,2,961,8.511385917663574
0,3,941,8.563573837280273
0,4,921,8.6111421585083
0,5,901,8.660077095031738
0,6,881,8.711273193359375
0,7,861,8.752643585205078
0,8,841,8.791482925415039
0,9,821,8.830047607421875
0,10,801,8.872734069824219
0,11,781,8.917983055114746
0,12,761,8.969907760620117
0,13,741,9.028867721557617
0,14,721,9.095964431762695
0,15,701,9.169319152832031
0,16,681,9.248832702636719
0,17,661,9.332196235656738
0,18,641,9.42054557800293
0,19,621,9.513282775878906
0,20,601,9.60495376586914
0,21,581,9.693293571472168
0,22,561,9.774984359741211
0,23,541,9.850544929504395
0,24,521,9.925329208374023
0,25,501,9.999439239501953
0,26,481,10.071414947509766
0,27,461,10.143998146057129
0,28,441,10.21662712097168
0,29,421,10.285623550415039
0,30,401,10.354151725769043
0,31,381,10.420401573181152
0,32,361,10.485109329223633
0,33,341,10.548051834106445
0,34,321,10.613227844238281
0,35,301,10.677906036376953
0,36,281,10.741732597351074
0,37,261,10.804040908813477
0,38,241,10.863500595092773
0,39,221,10.918609619140625
0,40,201,10.969598770141602
0,41,181,11.01430892944336
0,42,161,11.052032470703125
0,43,141,11.081428527832031
0,44,121,11.10400104522705
0,45,101,11.116849899291992
0,46,81,11.11838150024414
0,47,61,11.107691764831543
0,48,41,11.079299926757812
0,49,21,11.019054412841797
0,50,1,10.814685821533203
1,0,981,9.415008544921875
1,1,961,9.480470657348633
1,2,961,9.48257827758789
1,3,941,9.536504745483398
1,4,921,9.596704483032227
1,5,901,9.651126861572266
1,6,881,9.705452919006348
1,7,861,9.750673294067383
1,8,841,9.790884017944336
1,9,821,9.8226318359375
1,10,801,9.850723266601562
1,11,781,9.872636795043945
1,12,761,9.894173622131348
1,13,741,9.910995483398438
1,14,721,9.925549507141113
1,15,701,9.937786102294922
1,16,681,9.950042724609375
1,17,661,9.96217155456543
1,18,641,9.974833488464355
1,19,621,9.987054824829102
1,20,601,9.999616622924805
1,21,581,10.011561393737793
1,22,561,10.021570205688477
1,23,541,10.031058311462402
1,24,521,10.044563293457031
1,25,501,10.060586929321289
1,26,481,10.07772159576416
1,27,461,10.101996421813965
1,28,441,10.135025024414062
1,29,421,10.173222541809082
1,30,401,10.22174072265625
1,31,381,10.277077674865723
1,32,361,10.339155197143555
1,33,341,10.403889656066895
1,34,321,10.470575332641602
1,35,301,10.536831855773926
1,36,281,10.601656913757324
1,37,261,10.664745330810547
1,38,241,10.723889350891113
1,39,221,10.779924392700195
1,40,201,10.832889556884766
1,41,181,10.881534576416016
1,42,161,10.925651550292969
1,43,141,10.96277141571045
1,44,121,10.995845794677734
1,45,101,11.020904541015625
1,46,81,11.036428451538086
1,47,61,11.042924880981445
1,48,41,11.035035133361816
1,49,21,11.003928184509277
1,50,1,10.872610092163086
2,0,981,9.520187377929688
2,1,961,9.584573745727539
2,2,961,9.589332580566406
2,3,941,9.681926727294922
2,4,921,9.751632690429688
2,5,901,9.818246841430664
2,6,881,9.895336151123047
2,7,861,9.974722862243652
2,8,841,10.06495189666748
2,9,821,10.155477523803711
2,10,801,10.242205619812012
2,11,781,10.31277847290039
2,12,761,10.367595672607422
2,13,741,10.402814865112305
2,14,721,10.423221588134766
2,15,701,10.435297012329102
2,16,681,10.443977355957031
2,17,661,10.451967239379883
2,18,641,10.462421417236328
2,19,621,10.475621223449707
2,20,601,10.494742393493652
2,21,581,10.519590377807617
2,22,561,10.547809600830078
2,23,541,10.57811450958252
2,24,521,10.617091178894043
2,25,501,10.662418365478516
2,26,481,10.713018417358398
2,27,461,10.772632598876953
2,28,441,10.839889526367188
2,29,421,10.910192489624023
2,30,401,10.98751449584961
2,31,381,11.06827163696289
2,32,361,11.152107238769531
2,33,341,11.237161636352539
2,34,321,11.325303077697754
2,35,301,11.41433334350586
2,36,281,11.501596450805664
2,37,261,11.588376998901367
2,38,241,11.67291259765625
2,39,221,11.753475189208984
2,40,201,11.829400062561035
2,41,181,11.898296356201172
2,42,161,11.960245132446289
2,43,141,12.012487411499023
2,44,121,12.057241439819336
2,45,101,12.091537475585938
2,46,81,12.113388061523438
2,47,61,12.124650955200195
2,48,41,12.122552871704102
2,49,21,12.10267448425293
2,50,1,12.000373840332031
3,0,981,9.11782455444336
3,1,961,9.180891990661621
3,2,961,9.200494766235352
3,3,941,9.297334671020508
3,4,921,9.369028091430664
3,5,901,9.426950454711914
3,6,881,9.488072395324707
3,7,861,9.54428482055664
3,8,841,9.603013038635254
3,9,821,9.660330772399902
3,10,801,9.71855354309082
3,11,781,9.769347190856934
3,12,761,9.814066886901855
3,13,741,9.851783752441406
3,14,721,9.88621711730957
3,15,701,9.919261932373047
3,16,681,9.95083999633789
3,17,661,9.978939056396484
3,18,641,10.004661560058594
3,19,621,10.02747917175293
3,20,601,10.049680709838867
3,21,581,10.072187423706055
3,22,561,10.094160079956055
3,23,541,10.11475944519043
3,24,521,10.138447761535645
3,25,501,10.165916442871094
3,26,481,10.192919731140137
3,27,461,10.222774505615234
3,28,441,10.257601737976074
3,29,421,10.294763565063477
3,30,401,10.338294982910156
3,31,381,10.385238647460938
3,32,361,10.437108993530273
3,33,341,10.49050521850586
3,34,321,10.546354293823242
3,35,301,10.603414535522461
3,36,281,10.658585548400879
3,37,261,10.712406158447266
3,38,241,10.764013290405273
3,39,221,10.811319351196289
3,40,201,10.853875160217285
3,41,181,10.890857696533203
3,42,161,10.921199798583984
3,43,141,10.943903923034668
3,44,121,10.961660385131836
3,45,101,10.970478057861328
3,46,81,10.969976425170898
3,47,61,10.960657119750977
3,48,41,10.939995765686035
3,49,21,10.903388977050781
3,50,1,10.794318199157715
4,0,981,9.338531494140625
4,1,961,9.39406681060791
4,2,961,9.46580696105957
4,3,941,9.609766006469727
4,4,921,9.695266723632812
4,5,901,9.789045333862305
4,6,881,9.887636184692383
