prompt_idx,step,timestep,FAI
0,0,981,18.249555587768555
0,1,961,18.426963806152344
0,2,961,18.834747314453125
0,3,941,17.81784439086914
0,4,921,16.90744400024414
0,5,901,17.064647674560547
0,6,881,17.16867446899414
0,7,861,17.329776763916016
0,8,841,17.529346466064453
0,9,821,17.749006271362305
0,10,801,17.923154830932617
0,11,781,18.140836715698242
0,12,761,18.497873306274414
0,13,741,18.615541458129883
0,14,721,18.520923614501953
0,15,701,18.26597785949707
0,16,681,17.50191879272461
0,17,661,16.967485427856445
0,18,641,16.76738929748535
0,19,621,16.681377410888672
0,20,601,16.596895217895508
0,21,581,16.54822540283203
0,22,561,16.545955657958984
0,23,541,16.57921028137207
0,24,521,16.63483238220215
0,25,501,16.680988311767578
0,26,481,16.68909454345703
0,27,461,16.695756912231445
0,28,441,16.73548126220703
0,29,421,16.78374671936035
0,30,401,16.825576782226562
0,31,381,16.856212615966797
0,32,361,16.834712982177734
0,33,341,16.762287139892578
0,34,321,16.651531219482422
0,35,301,16.505416870117188
0,36,281,16.321802139282227
0,37,261,16.11347770690918
0,38,241,15.890365600585938
0,39,221,15.662628173828125
0,40,201,15.441581726074219
0,41,181,15.223085403442383
0,42,161,15.01017951965332
0,43,141,14.800993919372559
0,44,121,14.589844703674316
0,45,101,14.36880874633789
0,46,81,14.137114524841309
0,47,61,13.885662078857422
0,48,41,13.591010093688965
0,49,21,13.15284538269043
0,50,1,12.062325477600098
1,0,981,19.57046127319336
1,1,961,19.747215270996094
1,2,961,20.131240844726562
1,3,941,20.972963333129883
1,4,921,19.550962448120117
1,5,901,19.607593536376953
1,6,881,19.34185791015625
1,7,861,18.86522674560547
1,8,841,18.396160125732422
1,9,821,18.108970642089844
1,10,801,18.03423309326172
1,11,781,18.055503845214844
1,12,761,18.0692195892334
1,13,741,18.02570915222168
1,14,721,17.931074142456055
1,15,701,17.76854133605957
1,16,681,17.517112731933594
1,17,661,17.258865356445312
1,18,641,17.085433959960938
1,19,621,17.031768798828125
1,20,601,16.970623016357422
1,21,581,16.885143280029297
1,22,561,16.780641555786133
1,23,541,16.662673950195312
1,24,521,16.521400451660156
1,25,501,16.36406707763672
1,26,481,16.185443878173828
1,27,461,15.991697311401367
1,28,441,15.793530464172363
1,29,421,15.601554870605469
1,30,401,15.418317794799805
1,31,381,15.260974884033203
1,32,361,15.126803398132324
1,33,341,15.010843276977539
1,34,321,14.914787292480469
1,35,301,14.818254470825195
1,36,281,14.709546089172363
1,37,261,14.584162712097168
1,38,241,14.429122924804688
1,39,221,14.241482734680176
1,40,201,14.038891792297363
1,41,181,13.837920188903809
1,42,161,13.651946067810059
1,43,141,13.49292278289795
1,44,121,13.368762016296387
1,45,101,13.283088684082031
1,46,81,13.218289375305176
1,47,61,13.130683898925781
1,48,41,12.996824264526367
1,49,21,12.80698299407959
1,50,1,12.319670677185059
2,0,981,19.177379608154297
2,1,961,19.24336814880371
2,2,961,19.082279205322266
2,3,941,15.090564727783203
2,4,921,14.984482765197754
2,5,901,15.041629791259766
2,6,881,15.189324378967285
2,7,861,15.370716094970703
2,8,841,15.548375129699707
2,9,821,15.731337547302246
2,10,801,15.896052360534668
2,11,781,16.056682586669922
2,12,761,16.196876525878906
2,13,741,16.318275451660156
2,14,721,16.390209197998047
2,15,701,16.410417556762695
2,16,681,16.41701889038086
2,17,661,16.421607971191406
2,18,641,16.40857696533203
2,19,621,16.43184471130371
2,20,601,16.43932342529297
2,21,581,16.44479751586914
2,22,561,16.428226470947266
2,23,541,16.40049934387207
2,24,521,16.3582706451416
2,25,501,16.323020935058594
2,26,481,16.284971237182617
2,27,461,16.24884605407715
2,28,441,16.21654510498047
2,29,421,16.182369232177734
2,30,401,16.138200759887695
2,31,381,16.07910919189453
2,32,361,16.000112533569336
2,33,341,15.901924133300781
2,34,321,15.793180465698242
2,35,301,15.679183006286621
2,36,281,15.56447982788086
2,37,261,15.455013275146484
2,38,241,15.355237007141113
2,39,221,15.267208099365234
2,40,201,15.195021629333496
2,41,181,15.125349044799805
2,42,161,15.056583404541016
2,43,141,14.979059219360352
2,44,121,14.896072387695312
2,45,101,14.794197082519531
2,46,81,14.664974212646484
2,47,61,14.472723007202148
2,48,41,14.208123207092285
2,49,21,13.83518123626709
2,50,1,13.170093536376953
3,0,981,19.24652671813965
3,1,961,19.040206909179688
3,2,961,17.30573272705078
3,3,941,16.57549285888672
3,4,921,16.35122299194336
3,5,901,14.828214645385742
3,6,881,14.109037399291992
3,7,861,13.632783889770508
3,8,841,13.33123779296875
3,9,821,13.150742530822754
3,10,801,13.020999908447266
3,11,781,12.922852516174316
3,12,761,12.927154541015625
3,13,741,13.237630844116211
3,14,721,13.84698486328125
3,15,701,14.37399959564209
3,16,681,14.386468887329102
3,17,661,14.22992992401123
3,18,641,14.017122268676758
3,19,621,13.76272201538086
3,20,601,13.511775970458984
3,21,581,13.25929069519043
3,22,561,13.04034423828125
3,23,541,12.842473983764648
3,24,521,12.703173637390137
3,25,501,12.60170841217041
3,26,481,12.525370597839355
3,27,461,12.459620475769043
3,28,441,12.40540599822998
3,29,421,12.361882209777832
3,30,401,12.321881294250488
3,31,381,12.296588897705078
3,32,361,12.272884368896484
3,33,341,12.251527786254883
3,34,321,12.226813316345215
3,35,301,12.194555282592773
3,36,281,12.150812149047852
3,37,261,12.090713500976562
3,38,241,12.012709617614746
3,39,221,11.924820899963379
3,40,201,11.830443382263184
3,41,181,11.723875999450684
3,42,161,11.609145164489746
3,43,141,11.482535362243652
3,44,121,11.348240852355957
3,45,101,11.200739860534668
3,46,81,11.038768768310547
3,47,61,10.849820137023926
3,48,41,10.626302719116211
3,49,21,10.344893455505371
3,50,1,9.816158294677734
4,0,981,20.92073631286621
4,1,961,20.8145751953125
4,2,961,20.380657196044922
4,3,941,20.756805419921875
4,4,921,21.155750274658203
4,5,901,21.1561279296875
4,6,881,20.882007598876953
4,7,861,20.426610946655273
4,8,841,19.363664627075195
4,9,821,17.91299057006836
4,10,801,16.8638916015625
4,11,781,15.78158187866211
4,12,761,14.32124137878418
4,13,741,13.662322044372559
4,14,721,13.540056228637695
4,15,701,13.53851318359375
4,16,681,13.547661781311035
4,17,661,13.56634521484375
4,18,641,13.596237182617188
4,19,621,13.623495101928711
4,20,601,13.62637996673584
4,21,581,13.622760772705078
4,22,561,13.599372863769531
4,23,541,13.537277221679688
4,24,521,13.43729305267334
4,25,501,13.334500312805176
4,26,481,13.222515106201172
4,27,461,13.127174377441406
4,28,441,13.055209159851074
4,29,421,12.99812126159668
4,30,401,12.960611343383789
4,31,381,12.939950942993164
4,32,361,12.91878890991211
4,33,341,12.892627716064453
4,34,321,12.84770393371582
4,35,301,12.773392677307129
4,36,281,12.686100006103516
4,37,261,12.605527877807617
4,38,241,12.531454086303711
4,39,221,12.475553512573242
4,40,201,12.444418907165527
4,41,181,12.407336235046387
4,42,161,12.35943603515625
4,43,141,12.290116310119629
4,44,121,12.202327728271484
4,45,101,12.10769271850586
4,46,81,12.006998062133789
4,47,61,11.889017105102539
4,48,41,11.73201847076416
4,49,21,11.463905334472656
4,50,1,10.856953620910645
5,0,981,16.177326202392578
5,1,961,16.13152313232422
5,2,961,16.929365158081055
5,3,941,16.699800491333008
5,4,921,15.878153800964355
5,5,901,15.255757331848145
5,6,881,14.740270614624023
5,7,861,14.446122169494629
5,8,841,14.313558578491211
5,9,821,14.310379028320312
5,10,801,14.364594459533691
5,11,781,14.436361312866211
5,12,761,14.530998229980469
5,13,741,14.606283187866211
5,14,721,14.667214393615723
5,15,701,14.70892333984375
5,16,681,14.739508628845215
5,17,661,14.71434211730957
5,18,641,14.609160423278809
5,19,621,14.484134674072266
5,20,601,14.358866691589355
5,21,581,14.27212142944336
5,22,561,14.1859130859375
5,23,541,14.083919525146484
5,24,521,13.96359920501709
5,25,501,13.847740173339844
5,26,481,13.718487739562988
5,27,461,13.575716018676758
5,28,441,13.430807113647461
5,29,421,13.29102897644043
5,30,401,13.144943237304688
5,31,381,13.009153366088867
5,32,361,12.871074676513672
5,33,341,12.733128547668457
5,34,321,12.594231605529785
5,35,301,12.456762313842773
5,36,281,12.325115203857422
5,37,261,12.202472686767578
5,38,241,12.09211540222168
5,39,221,11.986825942993164
5,40,201,11.891674041748047
5,41,181,11.801695823669434
5,42,161,11.719667434692383
5,43,141,11.641860961914062
5,44,121,11.568168640136719
5,45,101,11.495818138122559
5,46,81,11.419410705566406
5,47,61,11.342164993286133
5,48,41,11.266097068786621
5,49,21,11.190632820129395
5,50,1,10.997714042663574
6,0,981,18.42751693725586
6,1,961,18.816051483154297
6,2,961,19.23570442199707
6,3,941,19.92902374267578
6,4,921,19.591032028198242
6,5,901,19.535186767578125
6,6,881,19.401926040649414
6,7,861,19.163490295410156
6,8,841,18.75252914428711
6,9,821,18.28194808959961
6,10,801,17.779117584228516
6,11,781,17.30282974243164
6,12,761,16.80474090576172
6,13,741,16.354793548583984
6,14,721,15.915304183959961
6,15,701,15.538538932800293
6,16,681,15.27145004272461
6,17,661,15.156145095825195
6,18,641,15.12553596496582
6,19,621,15.0477294921875
6,20,601,14.852351188659668
6,21,581,14.504581451416016
6,22,561,14.02396011352539
6,23,541,13.668330192565918
6,24,521,13.480660438537598
6,25,501,13.401634216308594
6,26,481,13.32219123840332
6,27,461,13.221051216125488
6,28,441,13.121990203857422
6,29,421,13.03481674194336
6,30,401,12.957090377807617
6,31,381,12.857571601867676
6,32,361,12.756765365600586
6,33,341,12.684465408325195
6,34,321,12.626432418823242
6,35,301,12.571004867553711
6,36,281,12.549540519714355
6,37,261,12.628583908081055
6,38,241,12.73282241821289
6,39,221,12.770652770996094
6,40,201,12.768040657043457
6,41,181,12.743417739868164
6,42,161,12.727954864501953
6,43,141,12.74465560913086
6,44,121,12.69212818145752
6,45,101,12.583687782287598
6,46,81,12.480318069458008
6,47,61,12.370725631713867
6,48,41,12.237247467041016
6,49,21,12.04053020477295
6,50,1,11.441244125366211
7,0,981,17.112247467041016
7,1,961,17.091564178466797
7,2,961,16.665380477905273
7,3,941,15.789027214050293
7,4,921,15.537282943725586
7,5,901,15.549516677856445
7,6,881,15.50510025024414
7,7,861,14.953012466430664
7,8,841,14.249053955078125
7,9,821,11.764175415039062
7,10,801,11.352197647094727
7,11,781,11.379039764404297
7,12,761,11.468952178955078
7,13,741,11.536057472229004
7,14,721,11.57357120513916
7,15,701,11.603099822998047
7,16,681,11.631529808044434
7,17,661,11.659175872802734
7,18,641,11.683389663696289
7,19,621,11.720453262329102
7,20,601,11.753214836120605
7,21,581,11.786174774169922
7,22,561,11.807366371154785
7,23,541,11.812337875366211
7,24,521,11.80416488647461
7,25,501,11.79025650024414
7,26,481,11.77428913116455
7,27,461,11.747686386108398
7,28,441,11.704829216003418
7,29,421,11.653453826904297
7,30,401,11.598747253417969
7,31,381,11.545207977294922
7,32,361,11.494340896606445
7,33,341,11.438663482666016
7,34,321,11.378580093383789
7,35,301,11.310945510864258
7,36,281,11.238418579101562
7,37,261,11.164482116699219
7,38,241,11.093515396118164
7,39,221,11.019699096679688
7,40,201,10.940946578979492
7,41,181,10.853680610656738
7,42,161,10.754833221435547
7,43,141,10.643857955932617
7,44,121,10.52025032043457
7,45,101,10.378501892089844
7,46,81,10.217594146728516
7,47,61,10.029938697814941
7,48,41,9.807907104492188
7,49,21,9.521078109741211
7,50,1,8.894533157348633
8,0,981,20.471694946289062
8,1,961,20.42778778076172
8,2,961,20.90233039855957
8,3,941,18.98113250732422
8,4,921,18.90463638305664
8,5,901,18.89102554321289
8,6,881,18.777496337890625
8,7,861,18.624679565429688
8,8,841,18.438278198242188
8,9,821,18.280696868896484
8,10,801,18.129287719726562
8,11,781,17.982032775878906
8,12,761,17.83769989013672
8,13,741,17.7063045501709
8,14,721,17.58049774169922
8,15,701,17.466064453125
8,16,681,17.41822052001953
8,17,661,17.448204040527344
8,18,641,17.483905792236328
8,19,621,17.495418548583984
8,20,601,17.40292739868164
8,21,581,17.18879508972168
8,22,561,16.780200958251953
8,23,541,16.238346099853516
8,24,521,15.805879592895508
8,25,501,15.432026863098145
8,26,481,15.096508026123047
8,27,461,14.831209182739258
8,28,441,14.600057601928711
8,29,421,14.412527084350586
8,30,401,14.25460433959961
8,31,381,14.119264602661133
8,32,361,14.007109642028809
8,33,341,13.888367652893066
8,34,321,13.820725440979004
8,35,301,13.787498474121094
8,36,281,13.753509521484375
8,37,261,13.710494041442871
8,38,241,13.632852554321289
8,39,221,13.49853515625
8,40,201,13.311922073364258
8,41,181,13.114436149597168
8,42,161,12.94172477722168
8,43,141,12.776885986328125
8,44,121,12.625866889953613
8,45,101,12.485135078430176
8,46,81,12.367670059204102
8,47,61,12.246740341186523
8,48,41,12.108739852905273
8,49,21,11.927248001098633
8,50,1,11.408249855041504
9,0,981,21.545364379882812
9,1,961,21.922910690307617
9,2,961,21.334583282470703
9,3,941,19.254220962524414
9,4,921,19.187604904174805
9,5,901,19.128332138061523
9,6,881,19.060365676879883
9,7,861,19.004474639892578
9,8,841,18.978649139404297
9,9,821,18.94641876220703
9,10,801,18.859004974365234
9,11,781,18.607177734375
9,12,761,18.51021385192871
9,13,741,17.860292434692383
9,14,721,16.738067626953125
9,15,701,16.411575317382812
9,16,681,16.308956146240234
9,17,661,16.240936279296875
9,18,641,16.16205406188965
9,19,621,16.04010581970215
9,20,601,15.892168045043945
9,21,581,15.66285228729248
9,22,561,15.38219928741455
9,23,541,15.013397216796875
9,24,521,14.633920669555664
9,25,501,14.272382736206055
9,26,481,13.926061630249023
9,27,461,13.555370330810547
9,28,441,13.188605308532715
9,29,421,12.831144332885742
9,30,401,12.486019134521484
9,31,381,12.188064575195312
9,32,361,11.905546188354492
9,33,341,11.638212203979492
9,34,321,11.403053283691406
9,35,301,11.21090030670166
9,36,281,11.070012092590332
9,37,261,10.964555740356445
9,38,241,10.866222381591797
9,39,221,10.748985290527344
9,40,201,10.609302520751953
9,41,181,10.46983528137207
9,42,161,10.35451889038086
9,43,141,10.26749038696289
9,44,121,10.212434768676758
9,45,101,10.17802906036377
9,46,81,10.169473648071289
9,47,61,10.174203872680664
9,48,41,10.180692672729492
9,49,21,10.153290748596191
9,50,1,9.888586044311523
10,0,981,21.613540649414062
10,1,961,21.77540397644043
10,2,961,21.712100982666016
10,3,941,20.453018188476562
10,4,921,19.93863296508789
10,5,901,19.415271759033203
10,6,881,18.705829620361328
10,7,861,18.170005798339844
10,8,841,17.786792755126953
10,9,821,17.46112060546875
10,10,801,17.178380966186523
10,11,781,16.971492767333984
10,12,761,16.852630615234375
10,13,741,16.811195373535156
10,14,721,16.79587173461914
10,15,701,16.763614654541016
10,16,681,16.728391647338867
10,17,661,16.674129486083984
10,18,641,16.580358505249023
10,19,621,16.4732608795166
10,20,601,16.330177307128906
10,21,581,16.19912338256836
10,22,561,16.080333709716797
10,23,541,15.952677726745605
10,24,521,15.825117111206055
10,25,501,15.724693298339844
10,26,481,15.630537986755371
10,27,461,15.555377006530762
10,28,441,15.515563011169434
10,29,421,15.50926399230957
10,30,401,15.515199661254883
10,31,381,15.51921558380127
10,32,361,15.49145793914795
10,33,341,15.412467956542969
10,34,321,15.30459213256836
10,35,301,15.18531322479248
10,36,281,15.074514389038086
10,37,261,14.972006797790527
10,38,241,14.859888076782227
10,39,221,14.718748092651367
10,40,201,14.54615592956543
10,41,181,14.342453956604004
10,42,161,14.121567726135254
10,43,141,13.893798828125
10,44,121,13.668190956115723
10,45,101,13.443394660949707
10,46,81,13.216135025024414
10,47,61,12.971711158752441
10,48,41,12.687446594238281
10,49,21,12.300792694091797
10,50,1,11.401063919067383
11,0,981,20.769142150878906
11,1,961,20.883007049560547
11,2,961,20.903705596923828
11,3,941,20.22852897644043
11,4,921,19.381458282470703
11,5,901,19.53047752380371
11,6,881,19.329151153564453
11,7,861,19.15134620666504
11,8,841,18.954524993896484
11,9,821,18.844215393066406
11,10,801,18.890003204345703
11,11,781,19.176496505737305
11,12,761,19.463699340820312
11,13,741,19.58098602294922
11,14,721,19.166683197021484
11,15,701,18.235816955566406
11,16,681,17.19864845275879
11,17,661,16.167373657226562
11,18,641,15.364835739135742
11,19,621,14.910170555114746
11,20,601,14.776643753051758
11,21,581,14.792320251464844
11,22,561,14.83720588684082
11,23,541,14.889436721801758
11,24,521,14.923017501831055
11,25,501,14.930370330810547
11,26,481,14.915770530700684
11,27,461,14.912705421447754
11,28,441,14.925802230834961
11,29,421,14.951311111450195
11,30,401,14.97834300994873
11,31,381,15.00257682800293
11,32,361,14.99703598022461
11,33,341,14.943941116333008
11,34,321,14.844213485717773
11,35,301,14.706448554992676
11,36,281,14.550714492797852
11,37,261,14.401327133178711
11,38,241,14.265572547912598
11,39,221,14.138530731201172
11,40,201,14.023162841796875
11,41,181,13.942741394042969
11,42,161,13.88160228729248
11,43,141,13.823409080505371
11,44,121,13.779468536376953
11,45,101,13.697206497192383
11,46,81,13.605607032775879
11,47,61,13.482962608337402
11,48,41,13.320380210876465
11,49,21,13.000211715698242
11,50,1,12.146003723144531
12,0,981,16.820600509643555
12,1,961,16.61708641052246
12,2,961,19.443130493164062
12,3,941,18.62354278564453
12,4,921,19.05604362487793
12,5,901,19.221363067626953
12,6,881,18.92685317993164
12,7,861,18.372554779052734
12,8,841,17.82337188720703
12,9,821,17.12796401977539
12,10,801,16.237327575683594
12,11,781,15.646841049194336
12,12,761,15.01779556274414
12,13,741,14.43978500366211
12,14,721,14.162809371948242
12,15,701,14.079452514648438
12,16,681,14.072437286376953
12,17,661,14.031381607055664
12,18,641,13.970762252807617
12,19,621,13.910547256469727
12,20,601,13.847732543945312
12,21,581,13.7678861618042
12,22,561,13.656173706054688
12,23,541,13.528871536254883
12,24,521,13.398773193359375
12,25,501,13.272871971130371
12,26,481,13.146333694458008
12,27,461,13.029193878173828
12,28,441,12.920949935913086
12,29,421,12.829298973083496
12,30,401,12.747459411621094
12,31,381,12.683984756469727
12,32,361,12.628759384155273
12,33,341,12.576828956604004
12,34,321,12.523101806640625
12,35,301,12.469778060913086
12,36,281,12.409608840942383
12,37,261,12.34633731842041
12,38,241,12.277050971984863
12,39,221,12.201886177062988
12,40,201,12.123374938964844
12,41,181,12.042245864868164
12,42,161,11.958621978759766
12,43,141,11.876812934875488
12,44,121,11.803455352783203
12,45,101,11.733261108398438
12,46,81,11.675976753234863
12,47,61,11.635704040527344
12,48,41,11.627199172973633
12,49,21,11.658742904663086
12,50,1,11.537464141845703
13,0,981,19.943952560424805
13,1,961,19.890090942382812
13,2,961,20.86037826538086
13,3,941,19.73922348022461
13,4,921,19.267379760742188
13,5,901,18.851974487304688
13,6,881,18.333972930908203
13,7,861,17.83245849609375
13,8,841,17.394241333007812
13,9,821,17.022354125976562
13,10,801,16.631916046142578
13,11,781,16.291767120361328
13,12,761,16.178565979003906
13,13,741,16.108360290527344
13,14,721,15.983087539672852
13,15,701,15.780014038085938
13,16,681,15.517709732055664
13,17,661,15.256511688232422
13,18,641,15.031577110290527
13,19,621,14.877152442932129
13,20,601,14.76287841796875
13,21,581,14.684988021850586
13,22,561,14.620061874389648
13,23,541,14.522788047790527
13,24,521,14.327014923095703
13,25,501,14.12034797668457
13,26,481,13.959178924560547
13,27,461,13.796182632446289
13,28,441,13.633222579956055
13,29,421,13.483505249023438
13,30,401,13.348245620727539
13,31,381,13.227811813354492
13,32,361,13.115438461303711
13,33,341,13.009050369262695
13,34,321,12.910876274108887
13,35,301,12.815346717834473
13,36,281,12.709197998046875
13,37,261,12.584842681884766
13,38,241,12.442312240600586
13,39,221,12.2938814163208
13,40,201,12.148528099060059
13,41,181,12.006378173828125
13,42,161,11.875072479248047
13,43,141,11.752074241638184
13,44,121,11.641563415527344
13,45,101,11.537078857421875
13,46,81,11.433552742004395
13,47,61,11.328105926513672
13,48,41,11.218027114868164
13,49,21,11.088696479797363
13,50,1,10.841913223266602
14,0,981,18.58769416809082
14,1,961,18.763988494873047
14,2,961,18.67681312561035
