prompt_idx,step,timestep,FAI
0,0,981,6.917903423309326
0,1,961,7.175056457519531
0,2,961,7.1650004386901855
0,3,941,7.187565803527832
0,4,921,7.375249862670898
0,5,901,7.580386638641357
0,6,881,7.7576727867126465
0,7,861,7.981059551239014
0,8,841,8.22149658203125
0,9,821,8.261350631713867
0,10,801,8.25361442565918
0,11,781,8.294675827026367
0,12,761,8.343445777893066
0,13,741,8.364965438842773
0,14,721,8.346435546875
0,15,701,8.3371000289917
0,16,681,8.35031509399414
0,17,661,8.361553192138672
0,18,641,8.3316650390625
0,19,621,8.319314956665039
0,20,601,8.368868827819824
0,21,581,8.456926345825195
0,22,561,8.560138702392578
0,23,541,8.637720108032227
0,24,521,8.682785034179688
0,25,501,8.712255477905273
0,26,481,8.728736877441406
0,27,461,8.739557266235352
0,28,441,8.751358032226562
0,29,421,8.773027420043945
0,30,401,8.815205574035645
0,31,381,8.87297248840332
0,32,361,8.940702438354492
0,33,341,9.004585266113281
0,34,321,9.063424110412598
0,35,301,9.1121187210083
0,36,281,9.14775562286377
0,37,261,9.172258377075195
0,38,241,9.18486213684082
0,39,221,9.18983268737793
0,40,201,9.189079284667969
0,41,181,9.191792488098145
0,42,161,9.187446594238281
0,43,141,9.1810302734375
0,44,121,9.159282684326172
0,45,101,9.114328384399414
0,46,81,9.032856941223145
0,47,61,8.910490989685059
0,48,41,8.74903678894043
0,49,21,8.51795482635498
0,50,1,8.15548324584961
1,0,981,12.654541015625
1,1,961,7.270769119262695
1,2,961,7.325523376464844
1,3,941,7.523736953735352
1,4,921,7.886833190917969
1,5,901,8.323518753051758
1,6,881,8.810192108154297
1,7,861,9.080418586730957
1,8,841,9.397708892822266
1,9,821,9.970420837402344
1,10,801,10.534357070922852
1,11,781,10.722423553466797
1,12,761,10.712701797485352
1,13,741,10.626359939575195
1,14,721,10.469613075256348
1,15,701,10.290019989013672
1,16,681,10.160186767578125
1,17,661,10.042098999023438
1,18,641,9.96963119506836
1,19,621,9.985018730163574
1,20,601,10.030451774597168
1,21,581,10.084207534790039
1,22,561,10.127845764160156
1,23,541,10.17144775390625
1,24,521,10.230680465698242
1,25,501,10.290908813476562
1,26,481,10.345592498779297
1,27,461,10.393472671508789
1,28,441,10.435516357421875
1,29,421,10.472192764282227
1,30,401,10.493999481201172
1,31,381,10.492019653320312
1,32,361,10.462822914123535
1,33,341,10.409292221069336
1,34,321,10.33835506439209
1,35,301,10.258570671081543
1,36,281,10.17739486694336
1,37,261,10.09791374206543
1,38,241,10.020177841186523
1,39,221,9.94189453125
1,40,201,9.86685562133789
1,41,181,9.79332160949707
1,42,161,9.72077751159668
1,43,141,9.650354385375977
1,44,121,9.586294174194336
1,45,101,9.519533157348633
1,46,81,9.44764518737793
1,47,61,9.352302551269531
1,48,41,9.213545799255371
1,49,21,8.984335899353027
1,50,1,8.43163013458252
2,0,981,13.031608581542969
2,1,961,6.856344223022461
2,2,961,6.874192714691162
2,3,941,7.114142417907715
2,4,921,7.473803997039795
2,5,901,7.921204566955566
2,6,881,8.3284912109375
2,7,861,8.745136260986328
2,8,841,8.842208862304688
2,9,821,8.967864990234375
2,10,801,9.222607612609863
2,11,781,9.40585708618164
2,12,761,9.589874267578125
2,13,741,9.794792175292969
2,14,721,9.981775283813477
2,15,701,10.112577438354492
2,16,681,10.183295249938965
2,17,661,10.252187728881836
2,18,641,10.33857536315918
2,19,621,10.435127258300781
2,20,601,10.531843185424805
2,21,581,10.626708030700684
2,22,561,10.725268363952637
2,23,541,10.819791793823242
2,24,521,10.911233901977539
2,25,501,10.99662971496582
2,26,481,11.06578540802002
2,27,461,11.114124298095703
2,28,441,11.145734786987305
2,29,421,11.156319618225098
2,30,401,11.156177520751953
2,31,381,11.14547348022461
2,32,361,11.128290176391602
2,33,341,11.10560417175293
2,34,321,11.079158782958984
2,35,301,11.046063423156738
2,36,281,11.001062393188477
2,37,261,10.945430755615234
2,38,241,10.879182815551758
2,39,221,10.801923751831055
2,40,201,10.722535133361816
2,41,181,10.639566421508789
2,42,161,10.555071830749512
2,43,141,10.471904754638672
2,44,121,10.39463996887207
2,45,101,10.308366775512695
2,46,81,10.213501930236816
2,47,61,10.110292434692383
2,48,41,9.995614051818848
2,49,21,9.819084167480469
2,50,1,9.163589477539062
3,0,981,11.956160545349121
3,1,961,6.482876777648926
3,2,961,6.6190080642700195
3,3,941,6.795254707336426
3,4,921,6.965942859649658
3,5,901,7.282221794128418
3,6,881,7.576686859130859
3,7,861,7.90546989440918
3,8,841,8.178365707397461
3,9,821,8.42180347442627
3,10,801,8.718513488769531
3,11,781,9.033644676208496
3,12,761,9.331533432006836
3,13,741,9.795456886291504
3,14,721,10.041349411010742
3,15,701,10.049484252929688
3,16,681,9.893260955810547
3,17,661,9.70569896697998
3,18,641,9.555758476257324
3,19,621,9.45429801940918
3,20,601,9.407283782958984
3,21,581,9.395817756652832
3,22,561,9.409355163574219
3,23,541,9.434253692626953
3,24,521,9.471397399902344
3,25,501,9.507492065429688
3,26,481,9.540204048156738
3,27,461,9.573284149169922
3,28,441,9.599530220031738
3,29,421,9.6209716796875
3,30,401,9.64133071899414
3,31,381,9.660984992980957
3,32,361,9.684250831604004
3,33,341,9.707650184631348
3,34,321,9.733787536621094
3,35,301,9.761627197265625
3,36,281,9.79041576385498
3,37,261,9.81971549987793
3,38,241,9.847408294677734
3,39,221,9.87087345123291
3,40,201,9.891573905944824
3,41,181,9.9039888381958
3,42,161,9.906322479248047
3,43,141,9.891990661621094
3,44,121,9.866436004638672
3,45,101,9.822725296020508
3,46,81,9.763236999511719
3,47,61,9.679929733276367
3,48,41,9.562471389770508
3,49,21,9.364049911499023
3,50,1,8.708352088928223
4,0,981,14.962833404541016
4,1,961,7.035102844238281
4,2,961,7.212021827697754
4,3,941,7.756669044494629
4,4,921,8.527475357055664
4,5,901,9.251615524291992
4,6,881,9.89424991607666
4,7,861,10.38644790649414
4,8,841,10.610162734985352
4,9,821,10.67780876159668
4,10,801,10.690914154052734
4,11,781,10.668835639953613
4,12,761,10.633726119995117
4,13,741,10.546182632446289
4,14,721,10.432525634765625
4,15,701,10.332768440246582
4,16,681,10.306920051574707
4,17,661,10.350152969360352
4,18,641,10.379218101501465
4,19,621,10.377498626708984
4,20,601,10.325044631958008
4,21,581,10.245187759399414
4,22,561,10.129454612731934
4,23,541,9.983227729797363
4,24,521,9.854208946228027
4,25,501,9.749544143676758
4,26,481,9.658601760864258
4,27,461,9.594788551330566
4,28,441,9.579513549804688
4,29,421,9.627549171447754
4,30,401,9.721084594726562
4,31,381,9.830547332763672
4,32,361,9.915180206298828
4,33,341,9.96084213256836
4,34,321,9.971094131469727
4,35,301,9.958846092224121
4,36,281,9.93126392364502
4,37,261,9.89345932006836
4,38,241,9.847429275512695
4,39,221,9.799448013305664
4,40,201,9.75157642364502
4,41,181,9.704312324523926
4,42,161,9.653963088989258
4,43,141,9.601956367492676
4,44,121,9.549253463745117
4,45,101,9.491168975830078
4,46,81,9.423564910888672
4,47,61,9.338031768798828
4,48,41,9.214941024780273
4,49,21,8.990488052368164
4,50,1,8.109725952148438
5,0,981,11.363160133361816
5,1,961,6.60060453414917
5,2,961,6.674551010131836
5,3,941,6.9118266105651855
5,4,921,7.1452155113220215
5,5,901,7.380356788635254
5,6,881,7.626714706420898
5,7,861,7.904553413391113
5,8,841,8.464219093322754
5,9,821,8.644762992858887
5,10,801,8.757488250732422
5,11,781,8.874933242797852
5,12,761,9.029056549072266
5,13,741,9.199023246765137
5,14,721,9.362006187438965
5,15,701,9.503023147583008
5,16,681,9.637364387512207
5,17,661,9.765300750732422
5,18,641,9.869141578674316
5,19,621,9.955741882324219
5,20,601,9.980598449707031
5,21,581,9.954025268554688
5,22,561,9.900238990783691
5,23,541,9.845212936401367
5,24,521,9.777816772460938
5,25,501,9.717815399169922
5,26,481,9.665518760681152
5,27,461,9.629164695739746
5,28,441,9.595295906066895
5,29,421,9.510664939880371
5,30,401,9.388574600219727
5,31,381,9.28632926940918
5,32,361,9.27322006225586
5,33,341,9.307127952575684
5,34,321,9.362181663513184
5,35,301,9.431681632995605
5,36,281,9.506473541259766
5,37,261,9.5857572555542
5,38,241,9.667115211486816
5,39,221,9.754106521606445
5,40,201,9.850187301635742
5,41,181,9.945413589477539
5,42,161,10.03830337524414
5,43,141,10.128145217895508
5,44,121,10.207351684570312
5,45,101,10.29343032836914
5,46,81,10.368570327758789
5,47,61,10.431218147277832
5,48,41,10.490425109863281
5,49,21,10.524945259094238
5,50,1,10.30569076538086
6,0,981,13.409076690673828
6,1,961,6.502466678619385
6,2,961,6.585216999053955
6,3,941,6.929325103759766
6,4,921,7.286635398864746
6,5,901,7.610486030578613
6,6,881,7.925148010253906
6,7,861,8.27309799194336
6,8,841,8.663796424865723
6,9,821,9.000027656555176
6,10,801,9.208723068237305
6,11,781,9.397217750549316
6,12,761,9.4703369140625
6,13,741,9.495368957519531
6,14,721,9.579965591430664
6,15,701,9.629823684692383
6,16,681,9.615971565246582
6,17,661,9.577901840209961
6,18,641,9.506086349487305
6,19,621,9.432292938232422
6,20,601,9.384151458740234
6,21,581,9.357934951782227
6,22,561,9.347175598144531
6,23,541,9.33024787902832
6,24,521,9.307209968566895
6,25,501,9.272275924682617
6,26,481,9.2296142578125
6,27,461,9.184659957885742
6,28,441,9.139015197753906
6,29,421,9.0989351272583
6,30,401,9.066972732543945
6,31,381,9.044950485229492
6,32,361,9.032882690429688
6,33,341,9.022910118103027
6,34,321,9.019826889038086
6,35,301,9.023001670837402
6,36,281,9.030197143554688
6,37,261,9.041019439697266
6,38,241,9.05202865600586
6,39,221,9.056356430053711
6,40,201,9.057125091552734
6,41,181,9.050994873046875
6,42,161,9.036626815795898
6,43,141,9.010988235473633
6,44,121,8.973453521728516
6,45,101,8.923087120056152
6,46,81,8.85672378540039
6,47,61,8.76508903503418
6,48,41,8.641191482543945
6,49,21,8.44393539428711
6,50,1,7.780877113342285
7,0,981,11.648139953613281
7,1,961,6.904260635375977
7,2,961,6.867932319641113
7,3,941,7.111389636993408
7,4,921,7.379398345947266
7,5,901,7.745728492736816
7,6,881,8.165313720703125
7,7,861,8.403419494628906
7,8,841,8.501965522766113
7,9,821,8.507116317749023
7,10,801,8.556034088134766
7,11,781,8.704290390014648
7,12,761,8.843446731567383
7,13,741,8.8554105758667
7,14,721,8.88458251953125
7,15,701,8.916027069091797
7,16,681,8.931034088134766
7,17,661,9.06496524810791
7,18,641,9.248770713806152
7,19,621,9.336753845214844
