prompt_idx,step,timestep,FAI
0,0,981,14.727679252624512
0,1,961,15.135818481445312
0,2,961,15.161619186401367
0,3,941,15.49603271484375
0,4,921,15.822601318359375
0,5,901,16.100826263427734
0,6,881,16.244009017944336
0,7,861,16.107723236083984
0,8,841,15.286674499511719
0,9,821,14.95553207397461
0,10,801,14.530916213989258
0,11,781,14.071320533752441
0,12,761,13.77951431274414
0,13,741,13.857094764709473
0,14,721,12.753191947937012
0,15,701,12.109050750732422
0,16,681,12.085216522216797
0,17,661,12.465181350708008
0,18,641,12.45781135559082
0,19,621,12.618773460388184
0,20,601,12.760610580444336
0,21,581,12.940738677978516
0,22,561,13.085329055786133
0,23,541,13.207113265991211
0,24,521,13.278862953186035
0,25,501,13.356121063232422
0,26,481,13.382406234741211
0,27,461,13.393351554870605
0,28,441,13.422204971313477
0,29,421,13.474189758300781
0,30,401,13.50808048248291
0,31,381,13.547121047973633
0,32,361,13.57177734375
0,33,341,13.585214614868164
0,34,321,13.582549095153809
0,35,301,13.565132141113281
0,36,281,13.533445358276367
0,37,261,13.491847038269043
0,38,241,13.439801216125488
0,39,221,13.378061294555664
0,40,201,13.311735153198242
0,41,181,13.23686408996582
0,42,161,13.161056518554688
0,43,141,13.084807395935059
0,44,121,13.002788543701172
0,45,101,12.9197998046875
0,46,81,12.822593688964844
0,47,61,12.705078125
0,48,41,12.560508728027344
0,49,21,12.357626914978027
0,50,1,11.773487091064453
1,0,981,16.058486938476562
1,1,961,14.711629867553711
1,2,961,14.741579055786133
1,3,941,14.776618957519531
1,4,921,14.856315612792969
1,5,901,14.955331802368164
1,6,881,15.041816711425781
1,7,861,15.239518165588379
1,8,841,15.371583938598633
1,9,821,15.465229988098145
1,10,801,15.611939430236816
1,11,781,15.927047729492188
1,12,761,16.27880096435547
1,13,741,16.598407745361328
1,14,721,16.914344787597656
1,15,701,17.153249740600586
1,16,681,17.09685707092285
1,17,661,17.374265670776367
1,18,641,17.322132110595703
1,19,621,17.177654266357422
1,20,601,17.005149841308594
1,21,581,16.75821304321289
1,22,561,16.564176559448242
1,23,541,16.32172966003418
1,24,521,16.135250091552734
1,25,501,15.984481811523438
1,26,481,15.890352249145508
1,27,461,15.841564178466797
1,28,441,15.81054973602295
1,29,421,15.779516220092773
1,30,401,15.757438659667969
1,31,381,15.759441375732422
1,32,361,15.777666091918945
1,33,341,15.834772109985352
1,34,321,15.849466323852539
1,35,301,15.911279678344727
1,36,281,16.012065887451172
1,37,261,16.140214920043945
1,38,241,16.273784637451172
1,39,221,16.367210388183594
1,40,201,16.44992446899414
1,41,181,16.540355682373047
1,42,161,16.660240173339844
1,43,141,16.817718505859375
1,44,121,16.976343154907227
1,45,101,17.116504669189453
1,46,81,17.19591522216797
1,47,61,17.21767807006836
1,48,41,17.193954467773438
1,49,21,17.087156295776367
1,50,1,16.38536834716797
2,0,981,18.046253204345703
2,1,961,16.33310317993164
2,2,961,16.38555908203125
2,3,941,16.516937255859375
2,4,921,16.604108810424805
2,5,901,16.757816314697266
2,6,881,17.025447845458984
2,7,861,17.433483123779297
2,8,841,17.759037017822266
2,9,821,17.2580509185791
2,10,801,16.93722152709961
2,11,781,16.762191772460938
2,12,761,16.674388885498047
2,13,741,16.739482879638672
2,14,721,16.93840789794922
2,15,701,17.01308822631836
2,16,681,17.14447784423828
2,17,661,17.22966194152832
2,18,641,17.26755714416504
2,19,621,17.308013916015625
2,20,601,17.323265075683594
2,21,581,17.379459381103516
2,22,561,17.476806640625
2,23,541,17.599485397338867
2,24,521,17.63784408569336
2,25,501,17.69999885559082
2,26,481,17.705501556396484
2,27,461,17.645469665527344
2,28,441,17.52560043334961
2,29,421,17.377487182617188
2,30,401,17.231285095214844
2,31,381,17.1154842376709
2,32,361,17.079509735107422
2,33,341,17.0352840423584
2,34,321,16.96317481994629
2,35,301,16.878692626953125
2,36,281,16.771604537963867
2,37,261,16.666027069091797
2,38,241,16.5364990234375
2,39,221,16.398202896118164
2,40,201,16.25396728515625
2,41,181,16.099760055541992
2,42,161,15.941000938415527
2,43,141,15.786466598510742
2,44,121,15.650790214538574
2,45,101,15.53857707977295
2,46,81,15.44692611694336
2,47,61,15.370610237121582
2,48,41,15.304519653320312
2,49,21,15.213516235351562
2,50,1,14.743265151977539
3,0,981,19.09629249572754
3,1,961,17.50301742553711
3,2,961,17.556663513183594
3,3,941,17.84617042541504
3,4,921,18.223445892333984
3,5,901,18.628372192382812
3,6,881,19.07168960571289
3,7,861,19.263843536376953
3,8,841,19.056819915771484
3,9,821,18.91274642944336
3,10,801,18.450950622558594
3,11,781,17.812625885009766
3,12,761,16.501686096191406
3,13,741,16.45526695251465
3,14,721,15.82923412322998
3,15,701,15.882223129272461
3,16,681,15.604948043823242
3,17,661,15.574674606323242
3,18,641,15.52242660522461
3,19,621,15.528009414672852
3,20,601,15.538274765014648
3,21,581,15.544861793518066
3,22,561,15.546107292175293
3,23,541,15.547533988952637
3,24,521,15.552875518798828
3,25,501,15.585095405578613
3,26,481,15.649065017700195
3,27,461,15.739084243774414
3,28,441,15.787161827087402
3,29,421,15.826342582702637
3,30,401,15.884368896484375
3,31,381,15.920044898986816
3,32,361,15.968328475952148
3,33,341,15.948806762695312
