prompt_idx,step,timestep,FAI
0,0,981,18.315902709960938
0,1,961,18.668893814086914
0,2,961,18.438016891479492
0,3,941,13.208805084228516
0,4,921,12.721138954162598
0,5,901,12.748220443725586
0,6,881,13.033613204956055
0,7,861,13.134082794189453
0,8,841,13.02150821685791
0,9,821,12.966169357299805
0,10,801,13.003252983093262
0,11,781,13.103833198547363
0,12,761,13.241928100585938
0,13,741,13.375667572021484
0,14,721,13.476390838623047
0,15,701,13.523603439331055
0,16,681,13.521137237548828
0,17,661,13.477437973022461
0,18,641,13.410266876220703
0,19,621,13.347606658935547
0,20,601,13.253239631652832
0,21,581,13.152968406677246
0,22,561,13.038223266601562
0,23,541,12.91849422454834
0,24,521,12.795257568359375
0,25,501,12.683586120605469
0,26,481,12.580789566040039
0,27,461,12.47569465637207
0,28,441,12.384248733520508
0,29,421,12.2986421585083
0,30,401,12.215203285217285
0,31,381,12.150522232055664
0,32,361,12.08603286743164
0,33,341,12.030538558959961
0,34,321,11.975713729858398
0,35,301,11.926984786987305
0,36,281,11.879837036132812
0,37,261,11.832075119018555
0,38,241,11.780837059020996
0,39,221,11.727224349975586
0,40,201,11.678567886352539
0,41,181,11.623835563659668
0,42,161,11.5633544921875
0,43,141,11.501096725463867
0,44,121,11.438543319702148
0,45,101,11.378639221191406
0,46,81,11.313556671142578
0,47,61,11.253448486328125
0,48,41,11.187257766723633
0,49,21,11.079787254333496
0,50,1,10.630430221557617
1,0,981,18.27077865600586
1,1,961,18.506742477416992
1,2,961,17.911544799804688
1,3,941,17.42538833618164
1,4,921,17.283384323120117
1,5,901,16.540246963500977
1,6,881,16.451032638549805
1,7,861,16.388240814208984
1,8,841,16.24590301513672
1,9,821,16.028350830078125
1,10,801,15.721609115600586
1,11,781,15.360946655273438
1,12,761,14.982416152954102
1,13,741,14.612552642822266
1,14,721,14.286051750183105
1,15,701,14.006479263305664
1,16,681,13.792369842529297
1,17,661,13.614773750305176
1,18,641,13.445991516113281
1,19,621,13.289716720581055
1,20,601,13.125406265258789
1,21,581,12.985917091369629
1,22,561,12.877511978149414
1,23,541,12.793612480163574
1,24,521,12.722719192504883
1,25,501,12.660969734191895
1,26,481,12.599907875061035
1,27,461,12.540620803833008
1,28,441,12.50283432006836
1,29,421,12.483694076538086
1,30,401,12.469951629638672
1,31,381,12.48501205444336
1,32,361,12.506503105163574
