beta : 0.5465574860572815, adjusted_beta: 7
beta : 0.4794958829879761, adjusted_beta: 1
beta : 0.4205721616744995, adjusted_beta: 0
beta : 0.5270335376262665, adjusted_beta: 4
beta : 0.5800963044166565, adjusted_beta: 9
beta : 0.5402170419692993, adjusted_beta: 6
beta : 0.6334090530872345, adjusted_beta: 10
beta : 0.4726434350013733, adjusted_beta: 0
beta : 0.4767685532569885, adjusted_beta: 1
beta : 0.5004606246948242, adjusted_beta: 2
beta : 0.4693378210067749, adjusted_beta: 0
beta : 0.5662443935871124, adjusted_beta: 8
beta : 0.5784472823143005, adjusted_beta: 9
beta : 0.5581870377063751, adjusted_beta: 8
beta : 0.4306190013885498, adjusted_beta: 0
beta : 0.41788268089294434, adjusted_beta: 0
beta : 0.4694039225578308, adjusted_beta: 0
beta : 0.49509888887405396, adjusted_beta: 1
beta : 0.41660642623901367, adjusted_beta: 0
beta : 0.429790198802948, adjusted_beta: 0
beta : 0.45548439025878906, adjusted_beta: 0
beta : 0.6191450953483582, adjusted_beta: 10
beta : 0.4951028823852539, adjusted_beta: 1
beta : 0.4968928098678589, adjusted_beta: 1
beta : 0.5466355085372925, adjusted_beta: 7
beta : 1.3497763872146606, adjusted_beta: 10
