beta : 0.5540675222873688, adjusted_beta: 7
beta : 0.4805442690849304, adjusted_beta: 1
beta : 0.4211427569389343, adjusted_beta: 0
beta : 0.5405979752540588, adjusted_beta: 6
beta : 0.5937587916851044, adjusted_beta: 10
beta : 0.5466417074203491, adjusted_beta: 7
beta : 0.6530194878578186, adjusted_beta: 10
beta : 0.4842783808708191, adjusted_beta: 1
beta : 0.483254075050354, adjusted_beta: 1
beta : 0.4995076060295105, adjusted_beta: 2
beta : 0.4715747833251953, adjusted_beta: 0
beta : 0.5647213459014893, adjusted_beta: 8
beta : 0.5826691687107086, adjusted_beta: 9
beta : 0.563061535358429, adjusted_beta: 8
beta : 0.4347078204154968, adjusted_beta: 0
beta : 0.42452651262283325, adjusted_beta: 0
beta : 0.4804117679595947, adjusted_beta: 1
beta : 0.49669623374938965, adjusted_beta: 1
beta : 0.42125076055526733, adjusted_beta: 0
beta : 0.43287569284439087, adjusted_beta: 0
beta : 0.46294885873794556, adjusted_beta: 0
beta : 0.6227608323097229, adjusted_beta: 10
beta : 0.4960768222808838, adjusted_beta: 1
beta : 0.5027121901512146, adjusted_beta: 2
beta : 0.5509123206138611, adjusted_beta: 7
beta : 1.345347821712494, adjusted_beta: 10
