step,Classifier guidance,No Guidance,Benign Human,Cross-Attention Suppression Soft delete,Cross-Attention Suppression Dual(Hard+Soft)
0,18.653302459716798,18.787772064208983,16.653180503845213,18.872731819152833,20.776562576293944
1,18.7595792388916,18.929107818603516,16.860041999816893,20.832440643310548,20.89638286590576
2,18.61474597930908,18.912939834594727,16.80249614715576,21.023255195617676,21.00180690765381
3,17.518090858459473,18.90967960357666,15.784358406066895,20.06503993988037,19.035204753875732
4,17.289440021514892,18.77899444580078,15.83144588470459,19.45542785644531,18.615573177337648
5,17.210730876922607,18.550558776855468,15.861716270446777,19.146488704681396,18.464267902374267
6,16.987228660583497,18.196564712524413,15.763002490997314,18.857437324523925,18.26994472503662
7,16.72690679550171,17.727287940979004,15.76919927597046,18.610565032958984,18.111434230804445
8,16.44077459335327,17.331791648864748,15.704629802703858,18.348356323242186,17.920036182403564
9,16.177475719451905,17.10913766860962,15.534915256500245,18.12988292694092,17.684393768310546
10,15.98291893005371,16.754880771636962,15.232731819152832,17.938028583526613,17.504725570678712
11,15.77939130783081,16.64396312713623,15.13450222015381,17.780959014892577,17.29960620880127
12,15.684542903900146,16.502894554138184,15.067484188079835,17.63161684036255,17.048547630310058
13,15.64341875076294,16.462080059051512,14.992934322357177,17.474202728271486,16.851020374298095
14,15.57757625579834,16.38759153366089,14.897282218933105,17.31083478927612,16.69509183883667
15,15.525337314605713,16.331897411346436,14.78592586517334,17.168923892974853,16.573648681640623
16,15.494407634735108,16.303948440551757,14.676625537872315,17.046739406585694,16.47011360168457
17,15.460285739898682,16.256657638549804,14.613306713104247,16.925053615570068,16.372941856384276
18,15.418052024841309,16.2151159286499,14.546079444885255,16.780086994171143,16.2680920791626
19,15.394067630767822,16.17234703063965,14.498750972747803,16.60073890686035,16.179273700714113
20,15.35277738571167,16.141236896514894,14.451292705535888,16.399121398925782,16.0723193359375
21,15.326157417297363,16.101933879852297,14.418399047851562,16.237008056640626,15.969492015838624
22,15.292990226745605,16.065576667785646,14.400028800964355,16.10660120010376,15.868349933624268
23,15.259346523284911,16.01874568939209,14.383711528778075,15.98991428375244,15.76551996231079
24,15.21114658355713,15.971739234924316,14.36643590927124,15.877300319671631,15.659639930725097
25,15.175558853149415,15.935615139007568,14.338342761993408,15.776505317687988,15.565222187042236
26,15.14303274154663,15.898146018981933,14.300132560729981,15.675736236572266,15.471493682861329
27,15.098744373321534,15.852410259246826,14.26478843688965,15.56955509185791,15.37341215133667
28,15.051018619537354,15.81298360824585,14.239746570587158,15.460426387786866,15.272573642730713
29,15.006131744384765,15.756184139251708,14.222171211242676,15.350217170715332,15.16946008682251
30,14.956022148132325,15.719096298217773,14.196161365509033,15.233191165924072,15.059928493499756
31,14.914674777984619,15.665172634124756,14.17210807800293,15.114523525238036,14.953305263519287
32,14.867024765014648,15.620449695587158,14.14905424118042,14.993000793457032,14.84727975845337
33,14.813119087219238,15.56211799621582,14.127612590789795,14.865417022705078,14.742697849273682
34,14.751943988800049,15.50662160873413,14.10639705657959,14.73366621017456,14.638652915954589
35,14.687652759552002,15.44617223739624,14.08702564239502,14.597328090667725,14.52765703201294
36,14.616681156158448,15.381215400695801,14.065425205230714,14.455669956207275,14.409165630340576
37,14.540662651062013,15.313956146240235,14.042669868469238,14.311751613616943,14.286014728546142
38,14.459892349243164,15.243306331634521,14.014515495300293,14.163993644714356,14.158048973083496
39,14.375631618499757,15.169932498931885,13.979043102264404,14.015300464630126,14.02503179550171
40,14.293322257995605,15.096578483581544,13.942087841033935,13.871063957214355,13.890627307891846
41,14.207760200500488,15.019081306457519,13.897717666625976,13.72809419631958,13.7526731300354
42,14.115147247314454,14.936437568664552,13.845444774627685,13.589171276092529,13.611014976501465
43,14.017668380737305,14.850989742279053,13.785913562774658,13.449071044921874,13.461392860412598
44,13.915695095062256,14.764692211151123,13.723271751403809,13.308948860168456,13.306860103607178
45,13.80810110092163,14.67432695388794,13.660051536560058,13.164853382110596,13.144937114715576
46,13.692320022583008,14.575607719421386,13.598270320892334,13.013131771087647,12.974079093933106
47,13.56867214202881,14.466879539489746,13.495962142944336,12.843191509246827,12.78469253540039
48,13.428852653503418,14.340685214996338,13.369747352600097,12.649865493774413,12.56331449508667
49,13.244354629516602,14.157610740661621,13.176207637786865,12.404459629058838,12.281317958831787
50,12.709196338653564,13.559624061584472,12.600605583190918,11.805733680725098,11.66289831161499
