prompt_idx,step,timestep,FAI
0,0,981,15.661184310913086
0,1,961,15.391716003417969
0,2,961,14.637362480163574
0,3,941,14.040864944458008
0,4,921,14.459343910217285
0,5,901,13.921224594116211
0,6,881,13.302896499633789
0,7,861,12.877691268920898
0,8,841,12.429315567016602
0,9,821,12.40206527709961
0,10,801,12.497812271118164
0,11,781,12.587209701538086
0,12,761,12.682064056396484
0,13,741,12.93485164642334
0,14,721,13.315820693969727
0,15,701,13.378801345825195
0,16,681,13.358329772949219
0,17,661,13.456843376159668
0,18,641,13.603309631347656
0,19,621,13.766242980957031
0,20,601,13.893835067749023
0,21,581,13.988950729370117
0,22,561,14.021064758300781
0,23,541,14.027009963989258
0,24,521,13.98819351196289
0,25,501,13.96438980102539
0,26,481,13.960700988769531
0,27,461,13.964567184448242
0,28,441,13.989349365234375
0,29,421,14.03262996673584
0,30,401,14.063006401062012
0,31,381,14.07486343383789
0,32,361,14.006875038146973
0,33,341,13.865280151367188
0,34,321,13.71440601348877
0,35,301,13.595928192138672
0,36,281,13.4996337890625
0,37,261,13.409917831420898
0,38,241,13.321377754211426
0,39,221,13.235193252563477
0,40,201,13.159019470214844
0,41,181,13.079610824584961
0,42,161,12.990743637084961
0,43,141,12.905112266540527
0,44,121,12.816722869873047
0,45,101,12.736841201782227
0,46,81,12.658454895019531
0,47,61,12.594529151916504
0,48,41,12.542240142822266
0,49,21,12.460687637329102
0,50,1,12.002352714538574
1,0,981,16.915538787841797
1,1,961,16.728012084960938
1,2,961,17.173233032226562
1,3,941,19.606233596801758
1,4,921,19.445720672607422
1,5,901,18.549285888671875
1,6,881,18.186382293701172
1,7,861,18.615249633789062
1,8,841,18.07024574279785
1,9,821,16.824281692504883
1,10,801,16.716344833374023
1,11,781,16.79583168029785
1,12,761,17.025436401367188
1,13,741,17.073932647705078
1,14,721,16.70151138305664
1,15,701,16.22443389892578
1,16,681,15.878292083740234
1,17,661,15.527474403381348
1,18,641,15.276081085205078
1,19,621,15.142080307006836
1,20,601,15.10451889038086
1,21,581,15.136587142944336
1,22,561,15.17052173614502
1,23,541,15.168001174926758
1,24,521,15.150074005126953
1,25,501,15.111074447631836
1,26,481,15.036975860595703
1,27,461,14.932849884033203
1,28,441,14.79807186126709
1,29,421,14.633947372436523
1,30,401,14.450926780700684
1,31,381,14.25208854675293
1,32,361,14.053823471069336
1,33,341,13.862228393554688
1,34,321,13.687982559204102
1,35,301,13.535116195678711
1,36,281,13.40319538116455
1,37,261,13.293691635131836
1,38,241,13.200465202331543
1,39,221,13.116661071777344
1,40,201,13.046085357666016
1,41,181,12.98589038848877
1,42,161,12.932299613952637
1,43,141,12.878168106079102
1,44,121,12.820123672485352
1,45,101,12.754744529724121
1,46,81,12.68113899230957
1,47,61,12.589675903320312
1,48,41,12.47145938873291
1,49,21,12.287148475646973
1,50,1,11.805950164794922
2,0,981,17.712541580200195
2,1,961,17.128787994384766
2,2,961,16.59543800354004
2,3,941,17.427406311035156
2,4,921,17.123859405517578
2,5,901,17.014066696166992
2,6,881,16.730152130126953
2,7,861,16.39063835144043
2,8,841,15.9793062210083
2,9,821,15.260292053222656
2,10,801,14.628776550292969
2,11,781,14.613297462463379
2,12,761,14.689247131347656
2,13,741,14.697622299194336
2,14,721,14.726044654846191
2,15,701,14.760065078735352
2,16,681,14.833709716796875
2,17,661,14.911909103393555
2,18,641,14.971643447875977
2,19,621,15.054655075073242
2,20,601,15.097650527954102
2,21,581,15.167025566101074
2,22,561,15.229204177856445
2,23,541,15.323366165161133
2,24,521,15.386334419250488
2,25,501,15.459800720214844
2,26,481,15.523374557495117
2,27,461,15.550874710083008
2,28,441,15.574966430664062
2,29,421,15.595354080200195
2,30,401,15.592787742614746
2,31,381,15.613910675048828
2,32,361,15.616043090820312
2,33,341,15.620408058166504
2,34,321,15.613349914550781
2,35,301,15.606101036071777
2,36,281,15.593341827392578
2,37,261,15.562437057495117
2,38,241,15.520076751708984
2,39,221,15.462152481079102
2,40,201,15.400768280029297
2,41,181,15.339078903198242
2,42,161,15.273133277893066
2,43,141,15.214859008789062
2,44,121,15.14051628112793
2,45,101,15.060052871704102
2,46,81,14.943818092346191
2,47,61,14.784907341003418
2,48,41,14.552238464355469
2,49,21,14.16781997680664
2,50,1,13.034347534179688
3,0,981,17.506099700927734
3,1,961,16.87358856201172
3,2,961,15.775557518005371
3,3,941,14.66633415222168
3,4,921,14.390933990478516
3,5,901,13.651266098022461
3,6,881,12.860129356384277
3,7,861,12.460721015930176
3,8,841,12.491876602172852
3,9,821,12.648783683776855
3,10,801,13.047307968139648
3,11,781,13.269445419311523
3,12,761,13.299528121948242
3,13,741,13.278388977050781
3,14,721,13.408648490905762
3,15,701,13.611092567443848
3,16,681,13.821533203125
3,17,661,13.97967529296875
3,18,641,14.067399978637695
3,19,621,14.156285285949707
3,20,601,14.25600814819336
3,21,581,14.382989883422852
3,22,561,14.479941368103027
3,23,541,14.575084686279297
3,24,521,14.668388366699219
3,25,501,14.767264366149902
3,26,481,14.851594924926758
3,27,461,14.910247802734375
3,28,441,14.938997268676758
3,29,421,14.945746421813965
