prompt_idx,step,timestep,FAI
0,0,981,18.315902709960938
0,1,961,18.668893814086914
0,2,961,18.471433639526367
0,3,941,16.138078689575195
0,4,921,14.941000938415527
0,5,901,14.590408325195312
0,6,881,14.349709510803223
0,7,861,14.160809516906738
0,8,841,14.04076862335205
0,9,821,13.901991844177246
0,10,801,13.751614570617676
0,11,781,13.666975021362305
0,12,761,13.640783309936523
0,13,741,13.632928848266602
0,14,721,13.6573486328125
0,15,701,13.619059562683105
0,16,681,13.550395965576172
0,17,661,13.497838020324707
0,18,641,13.473611831665039
0,19,621,13.491175651550293
0,20,601,13.512542724609375
0,21,581,13.552578926086426
0,22,561,13.58011245727539
0,23,541,13.605305671691895
0,24,521,13.596149444580078
0,25,501,13.58239459991455
0,26,481,13.555193901062012
0,27,461,13.514731407165527
0,28,441,13.470848083496094
0,29,421,13.423768997192383
0,30,401,13.362266540527344
0,31,381,13.308196067810059
0,32,361,13.242379188537598
0,33,341,13.171943664550781
0,34,321,13.100595474243164
0,35,301,13.031986236572266
0,36,281,12.968048095703125
0,37,261,12.914437294006348
0,38,241,12.858707427978516
0,39,221,12.796619415283203
0,40,201,12.722906112670898
0,41,181,12.627674102783203
0,42,161,12.520204544067383
0,43,141,12.396705627441406
0,44,121,12.27090072631836
0,45,101,12.139205932617188
0,46,81,12.006169319152832
0,47,61,11.895027160644531
0,48,41,11.817255020141602
0,49,21,11.76032829284668
0,50,1,11.50601577758789
1,0,981,18.014488220214844
1,1,961,18.266996383666992
1,2,961,18.20340347290039
1,3,941,17.054039001464844
1,4,921,15.254119873046875
1,5,901,14.726531982421875
1,6,881,14.36972427368164
1,7,861,14.311407089233398
1,8,841,14.386434555053711
1,9,821,14.53548526763916
1,10,801,14.690725326538086
1,11,781,14.802078247070312
1,12,761,14.889993667602539
1,13,741,14.937185287475586
1,14,721,14.977741241455078
1,15,701,15.01239013671875
1,16,681,15.065095901489258
1,17,661,15.097951889038086
1,18,641,15.079488754272461
1,19,621,15.045269012451172
1,20,601,14.957159996032715
1,21,581,14.860569953918457
1,22,561,14.738908767700195
1,23,541,14.608654022216797
1,24,521,14.454270362854004
1,25,501,14.296634674072266
1,26,481,14.135643005371094
1,27,461,13.976030349731445
1,28,441,13.844783782958984
1,29,421,13.739261627197266
1,30,401,13.639371871948242
1,31,381,13.570878982543945
1,32,361,13.506975173950195
