prompt_idx,step,timestep,FAI
0,0,981,17.028839111328125
0,1,961,17.403358459472656
0,2,961,17.36861801147461
0,3,941,17.610776901245117
0,4,921,17.800077438354492
0,5,901,17.87379264831543
0,6,881,17.779579162597656
0,7,861,17.326702117919922
0,8,841,16.435447692871094
0,9,821,16.424604415893555
0,10,801,16.170581817626953
0,11,781,16.35846519470215
0,12,761,15.97161865234375
0,13,741,15.77859115600586
0,14,721,15.461997032165527
0,15,701,15.303521156311035
0,16,681,14.941461563110352
0,17,661,14.776385307312012
0,18,641,14.86458683013916
0,19,621,14.967063903808594
0,20,601,14.90252685546875
0,21,581,14.839906692504883
0,22,561,14.763594627380371
0,23,541,14.59454345703125
0,24,521,14.451370239257812
0,25,501,14.322729110717773
0,26,481,14.22329330444336
0,27,461,14.123588562011719
0,28,441,14.031588554382324
0,29,421,13.943416595458984
0,30,401,13.849774360656738
0,31,381,13.785380363464355
0,32,361,13.71781063079834
0,33,341,13.665771484375
0,34,321,13.606731414794922
0,35,301,13.550739288330078
0,36,281,13.487548828125
0,37,261,13.41553783416748
0,38,241,13.330367088317871
0,39,221,13.246587753295898
0,40,201,13.178635597229004
0,41,181,13.123963356018066
0,42,161,13.073013305664062
0,43,141,13.030025482177734
0,44,121,12.981773376464844
0,45,101,12.933804512023926
0,46,81,12.898987770080566
0,47,61,12.877935409545898
0,48,41,12.869925498962402
0,49,21,12.839664459228516
0,50,1,12.37195873260498
1,0,981,17.22500228881836
1,1,961,17.46720314025879
1,2,961,17.4401912689209
1,3,941,17.517990112304688
1,4,921,17.53512954711914
1,5,901,17.503509521484375
1,6,881,17.48841667175293
1,7,861,17.477008819580078
1,8,841,17.464576721191406
1,9,821,17.270198822021484
1,10,801,17.240251541137695
1,11,781,17.242855072021484
1,12,761,17.1364688873291
1,13,741,17.62805938720703
1,14,721,17.51015853881836
1,15,701,17.5904541015625
1,16,681,17.92453384399414
1,17,661,17.69217300415039
1,18,641,17.59271812438965
1,19,621,17.361465454101562
1,20,601,17.325471878051758
1,21,581,17.33008575439453
1,22,561,17.404315948486328
1,23,541,17.469791412353516
1,24,521,17.50150489807129
1,25,501,17.50417137145996
1,26,481,17.413320541381836
1,27,461,17.107566833496094
1,28,441,17.173233032226562
1,29,421,16.366870880126953
1,30,401,16.803852081298828
1,31,381,16.241836547851562
1,32,361,16.14594268798828
1,33,341,15.775192260742188
1,34,321,15.645995140075684
1,35,301,15.596334457397461
1,36,281,15.660616874694824
1,37,261,15.71176528930664
1,38,241,15.752453804016113
1,39,221,15.788475036621094
1,40,201,15.767831802368164
1,41,181,15.740095138549805
1,42,161,15.683134078979492
1,43,141,15.65477466583252
1,44,121,15.642043113708496
1,45,101,15.637852668762207
1,46,81,15.614251136779785
1,47,61,15.570432662963867
1,48,41,15.480463027954102
1,49,21,15.305362701416016
1,50,1,14.666237831115723
2,0,981,19.410493850708008
2,1,961,19.331436157226562
2,2,961,19.301891326904297
2,3,941,19.068334579467773
2,4,921,18.878372192382812
2,5,901,18.78061294555664
2,6,881,18.790130615234375
2,7,861,18.43885612487793
2,8,841,18.121341705322266
2,9,821,17.83933448791504
2,10,801,17.71973419189453
2,11,781,17.697269439697266
2,12,761,17.740306854248047
2,13,741,17.819717407226562
2,14,721,17.890766143798828
2,15,701,17.960113525390625
2,16,681,17.972278594970703
2,17,661,17.934703826904297
