prompt_idx,sample_idx,step,timestep,logit_0,logit_1,logit_2,prob_0,prob_1,prob_2,pred_class
0,0,0,981.0,1.4379398822784424,0.16643494367599487,-1.5485808849334717,0.7513870000839233,0.21069592237472534,0.03791702166199684,0
0,0,1,961.0,1.4211372137069702,0.17200078070163727,-1.5213754177093506,0.7465553283691406,0.2140764743089676,0.0393681526184082,0
0,0,2,961.0,-0.8690280318260193,2.2523226737976074,-1.5882158279418945,0.041383638978004456,0.9384563565254211,0.020159948617219925,1
0,0,3,941.0,-2.0502495765686035,3.2650232315063477,-1.5508005619049072,0.004852771293371916,0.9871507883071899,0.007996462285518646,1
0,0,4,921.0,-2.193822145462036,3.325779914855957,-1.4857726097106934,0.003959366120398045,0.9880030155181885,0.008037622086703777,1
0,0,5,901.0,-2.1221299171447754,3.5161519050598145,-1.7608232498168945,0.003528397995978594,0.991407573223114,0.005063969176262617,1
1,0,0,981.0,2.3799967765808105,-1.0539522171020508,-1.0421977043151855,0.9390552639961243,0.030293263494968414,0.030651448294520378,0
1,0,1,961.0,2.2275335788726807,-1.027853012084961,-0.945950984954834,0.9255630970001221,0.03569518029689789,0.03874174878001213,0
1,0,2,961.0,-0.7728011012077332,1.167688012123108,-0.4640186131000519,0.10725102573633194,0.7466982007026672,0.1460508108139038,1
1,0,3,941.0,-2.1440749168395996,3.4818596839904785,-1.5569686889648438,0.00356722017750144,0.9900161623954773,0.006416629068553448,1
1,0,4,921.0,-2.3053059577941895,4.1796088218688965,-2.1164536476135254,0.001521164900623262,0.9966415166854858,0.0018373581115156412,1
1,0,5,901.0,-2.4945759773254395,4.33983850479126,-2.103259325027466,0.0010732343653216958,0.9973395466804504,0.0015872345538809896,1
2,0,0,981.0,1.3472588062286377,-0.9448918104171753,-0.20978672802448273,0.7623074054718018,0.07703033834695816,0.16066224873065948,0
2,0,1,961.0,1.4884967803955078,-1.128839135169983,-0.1377655416727066,0.7876121997833252,0.057493388652801514,0.1548943966627121,0
2,0,2,961.0,-0.6316824555397034,0.8040845990180969,-0.29154783487319946,0.15133161842823029,0.6360267996788025,0.2126416116952896,1
2,0,3,941.0,-1.2932182550430298,2.761338233947754,-1.685697317123413,0.016853470355272293,0.9717640280723572,0.011382500641047955,1
2,0,4,921.0,-0.8478884696960449,3.55726957321167,-2.859203577041626,0.012047337368130684,0.9863406419754028,0.0016120849177241325,1
2,0,5,901.0,-1.1841156482696533,3.609104871749878,-2.6080245971679688,0.008201413787901402,0.9898238778114319,0.0019746623001992702,1
3,0,0,981.0,1.14806067943573,-0.41995370388031006,-0.5805427432060242,0.7215054631233215,0.15040409564971924,0.12809044122695923,0
3,0,1,961.0,1.0629774332046509,-0.2906428277492523,-0.6268308162689209,0.6930687427520752,0.17902202904224396,0.12790922820568085,0
3,0,2,961.0,-0.6877475380897522,2.4278669357299805,-1.8092808723449707,0.041888222098350525,0.9444654583930969,0.013646339066326618,1
3,0,3,941.0,-0.7644378542900085,3.268629312515259,-2.5573339462280273,0.017361046746373177,0.9797487854957581,0.002890221541747451,1
3,0,4,921.0,-0.7833979725837708,3.5415468215942383,-2.8143222332000732,0.01303907297551632,0.9852500557899475,0.0017109112814068794,1
3,0,5,901.0,-0.775074303150177,3.7286746501922607,-2.9807605743408203,0.010933096520602703,0.9878623485565186,0.0012045522453263402,1
4,0,0,981.0,1.8715862035751343,-0.9491184949874878,-0.7291304469108582,0.8820018768310547,0.052535515278577805,0.06546250730752945,0
4,0,1,961.0,1.7415812015533447,-0.8856856822967529,-0.6629946827888489,0.8601561784744263,0.0621684230864048,0.07767536491155624,0
4,0,2,961.0,-1.044752597808838,0.44290831685066223,0.5590576529502869,0.09616614133119583,0.4257014989852905,0.4781323969364166,2
4,0,3,941.0,-1.713640570640564,2.8522825241088867,-1.3170361518859863,0.01013807114213705,0.9747889637947083,0.015072958543896675,1
4,0,4,921.0,-1.5146867036819458,3.68753719329834,-2.3077609539031982,0.00546065391972661,0.9920686483383179,0.002470681443810463,1
4,0,5,901.0,-1.5134170055389404,3.877798557281494,-2.513015031814575,0.004528206307440996,0.9938052892684937,0.0016665030270814896,1
5,0,0,981.0,2.5198378562927246,-1.4242913722991943,-0.8145312666893005,0.9478627443313599,0.018358277156949043,0.03377903997898102,0
5,0,1,961.0,2.6394896507263184,-1.5166971683502197,-0.8090395331382751,0.9546907544136047,0.014957313425838947,0.030351873487234116,0
5,0,2,961.0,-1.3522447347640991,0.8845183253288269,0.29147303104400635,0.06436105817556381,0.6026109457015991,0.33302798867225647,1
5,0,3,941.0,-2.401012420654297,2.55658221244812,-0.461852103471756,0.006657605059444904,0.9470526576042175,0.04628974199295044,1
5,0,4,921.0,-2.50421142578125,3.2392265796661377,-1.0685961246490479,0.00315121584571898,0.9836066961288452,0.013242130167782307,1
5,0,5,901.0,-2.7185866832733154,3.2873802185058594,-0.9105019569396973,0.0024216470774263144,0.9828093647956848,0.014769039116799831,1
6,0,0,981.0,1.1129581928253174,-0.36575135588645935,-0.6527290344238281,0.7147958874702454,0.1629246026277542,0.12227955460548401,0
6,0,1,961.0,0.9599306583404541,-0.40709632635116577,-0.43721914291381836,0.6657060980796814,0.169664204120636,0.16462966799736023,0
6,0,2,961.0,-1.7155609130859375,1.7819699048995972,-0.2743349075317383,0.02613718807697296,0.8634102940559387,0.11045244336128235,1
6,0,3,941.0,-2.7637956142425537,3.7856783866882324,-1.356973648071289,0.0014205367770045996,0.9927794337272644,0.0057999915443360806,1
6,0,4,921.0,-2.917530059814453,4.215632915496826,-1.6362378597259521,0.0007952699088491499,0.9963406920433044,0.00286399875767529,1
6,0,5,901.0,-3.1494812965393066,4.453520774841309,-1.6709883213043213,0.0004976139171048999,0.9973196387290955,0.0021826995071023703,1
7,0,0,981.0,0.4927056133747101,0.6975894570350647,-1.0661330223083496,0.4102121889591217,0.503487229347229,0.08630054444074631,1
7,0,1,961.0,0.5705534815788269,0.4742007255554199,-0.8905097842216492,0.4672606587409973,0.42433977127075195,0.10839955508708954,0
7,0,2,961.0,-1.307066798210144,3.0099503993988037,-1.860330581665039,0.013065106235444546,0.9794214963912964,0.007513345684856176,1
7,0,3,941.0,-1.7049916982650757,4.201135158538818,-2.7326831817626953,0.0027126825880259275,0.9963165521621704,0.0009706850396469235,1
7,0,4,921.0,-1.8100682497024536,4.276170253753662,-2.7171802520751953,0.0022667113225907087,0.9968181848526001,0.0009150449186563492,1
7,0,5,901.0,-1.8725628852844238,4.217918395996094,-2.604337215423584,0.002256750827655196,0.9966576099395752,0.0010856203734874725,1
8,0,0,981.0,1.721913456916809,-0.19544735550880432,-1.3163182735443115,0.8368803858757019,0.12301672995090485,0.04010292887687683,0
8,0,1,961.0,1.453616976737976,0.028946084901690483,-1.2957324981689453,0.7665436863899231,0.18442092835903168,0.04903538152575493,0
8,0,2,961.0,-1.4353504180908203,1.4506725072860718,-0.17207731306552887,0.044525835663080215,0.797987163066864,0.15748697519302368,1
8,0,3,941.0,-2.593451738357544,2.376837968826294,-0.07135935127735138,0.006348269060254097,0.9145863652229309,0.07906533777713776,1
8,0,4,921.0,-2.6294333934783936,3.034006118774414,-0.6959710717201233,0.003377791028469801,0.9732701778411865,0.02335204742848873,1
8,0,5,901.0,-2.7448482513427734,3.1314454078674316,-0.6660693883895874,0.002736126072704792,0.9753893613815308,0.021874506026506424,1
9,0,0,981.0,1.7044931650161743,-1.1141371726989746,-0.41803866624832153,0.8478774428367615,0.05060780793428421,0.10151476413011551,0
9,0,1,961.0,1.6406567096710205,-1.0796562433242798,-0.37282148003578186,0.8337658047676086,0.054906923323869705,0.11132727563381195,0
9,0,2,961.0,-0.6322529315948486,0.5088902711868286,0.011077554896473885,0.16575083136558533,0.5188572406768799,0.3153919279575348,1
9,0,3,941.0,-2.0697224140167236,2.82112193107605,-1.018254041671753,0.0073031228967010975,0.971796452999115,0.02090044505894184,1
9,0,4,921.0,-2.1544766426086426,3.4567158222198486,-1.5674831867218018,0.003619663417339325,0.9898701310157776,0.00651022931560874,1
9,0,5,901.0,-2.120712995529175,3.681442975997925,-1.8118715286254883,0.0029996312223374844,0.9929152727127075,0.004085035994648933,1
10,0,0,981.0,0.31696900725364685,0.19865325093269348,-0.4818871319293976,0.42766866087913513,0.3799474537372589,0.19238387048244476,0
10,0,1,961.0,0.14963224530220032,0.34743374586105347,-0.4907422363758087,0.3641905188560486,0.4438464343547821,0.19196301698684692,1
10,0,2,961.0,-1.8883240222930908,2.9051411151885986,-1.2817890644073486,0.008093691430985928,0.977061927318573,0.014844357036054134,1
10,0,3,941.0,-2.5829806327819824,4.2909464836120605,-2.0749094486236572,0.0010315661784261465,0.9972538352012634,0.001714547397568822,1
10,0,4,921.0,-2.6306233406066895,4.496345043182373,-2.2582125663757324,0.0008015725179575384,0.9980351328849792,0.0011632652021944523,1
10,0,5,901.0,-2.52732515335083,4.595094680786133,-2.441913604736328,0.0008054543286561966,0.9983172416687012,0.0008772728615440428,1
11,0,0,981.0,0.08305057138204575,0.16769349575042725,-0.30282121896743774,0.3612474203109741,0.3931557834148407,0.24559681117534637,1
11,0,1,961.0,0.005596965551376343,0.3557298183441162,-0.41746777296066284,0.3252781331539154,0.461652934551239,0.21306896209716797,1
11,0,2,961.0,-1.0240507125854492,2.563258171081543,-1.694620132446289,0.026561753824353218,0.9598540663719177,0.013584140688180923,1
11,0,3,941.0,-1.5579537153244019,4.387072563171387,-3.0108580589294434,0.0026103979907929897,0.9967790246009827,0.0006105460342951119,1
11,0,4,921.0,-1.5494890213012695,4.767087936401367,-3.3911845684051514,0.0018023439915850759,0.9979118704795837,0.0002857586368918419,1
11,0,5,901.0,-1.5302222967147827,4.654921054840088,-3.292184591293335,0.0020548468455672264,0.9975922703742981,0.0003528328670654446,1
12,0,0,981.0,1.933635950088501,-1.2223063707351685,-0.4713822901248932,0.8827199935913086,0.03760231286287308,0.07967769354581833,0
12,0,1,961.0,1.7942062616348267,-1.110666036605835,-0.46128687262535095,0.8623830080032349,0.04722045361995697,0.09039656817913055,0
