prompt_idx,step,timestep,FAI
0,0,981,18.315902709960938
0,1,961,18.668893814086914
0,2,961,14.659300804138184
0,3,941,12.457944869995117
0,4,921,12.640199661254883
0,5,901,12.533034324645996
0,6,881,12.409829139709473
0,7,861,12.298864364624023
0,8,841,12.201160430908203
0,9,821,12.124184608459473
0,10,801,12.061199188232422
0,11,781,12.028565406799316
0,12,761,12.016956329345703
0,13,741,12.044256210327148
0,14,721,12.089874267578125
0,15,701,12.157228469848633
0,16,681,12.234312057495117
0,17,661,12.31185531616211
0,18,641,12.38311767578125
0,19,621,12.454167366027832
0,20,601,12.507672309875488
0,21,581,12.554088592529297
0,22,561,12.583562850952148
0,23,541,12.595796585083008
0,24,521,12.595172882080078
0,25,501,12.59192943572998
0,26,481,12.573921203613281
0,27,461,12.549846649169922
0,28,441,12.524576187133789
0,29,421,12.494050979614258
0,30,401,12.46312141418457
0,31,381,12.437652587890625
0,32,361,12.412557601928711
0,33,341,12.38886833190918
0,34,321,12.368724822998047
0,35,301,12.353303909301758
0,36,281,12.339125633239746
0,37,261,12.333523750305176
0,38,241,12.326324462890625
0,39,221,12.329524993896484
0,40,201,12.331872940063477
0,41,181,12.339988708496094
0,42,161,12.343990325927734
0,43,141,12.344054222106934
0,44,121,12.34150505065918
0,45,101,12.325618743896484
0,46,81,12.28686809539795
0,47,61,12.229423522949219
0,48,41,12.122224807739258
0,49,21,11.930373191833496
0,50,1,11.36054515838623
1,0,981,18.27077865600586
1,1,961,18.506742477416992
1,2,961,16.523027420043945
1,3,941,12.4498291015625
1,4,921,12.125500679016113
1,5,901,11.999443054199219
1,6,881,11.856575012207031
1,7,861,11.760154724121094
1,8,841,11.695968627929688
1,9,821,11.66493034362793
1,10,801,11.648394584655762
1,11,781,11.655618667602539
1,12,761,11.664426803588867
1,13,741,11.684133529663086
1,14,721,11.695038795471191
1,15,701,11.71202278137207
1,16,681,11.720354080200195
1,17,661,11.722928047180176
1,18,641,11.726167678833008
1,19,621,11.721118927001953
1,20,601,11.724305152893066
1,21,581,11.727060317993164
1,22,561,11.731027603149414
1,23,541,11.731836318969727
1,24,521,11.739431381225586
1,25,501,11.751073837280273
1,26,481,11.762752532958984
1,27,461,11.779560089111328
1,28,441,11.796934127807617
1,29,421,11.815232276916504
1,30,401,11.835683822631836
1,31,381,11.851972579956055
1,32,361,11.867012023925781
