step,Classifier Guidance,No Guidance,Benign Human,Cross-Attention Suppression Soft delete
0,18.653302459716798,18.787772064208983,16.653180503845213,16.668956260681153
1,18.7595792388916,18.929107818603516,16.860041999816893,13.243280792236328
2,18.61474597930908,18.912939834594727,16.80249614715576,13.654051933288574
3,17.518090858459473,18.90967960357666,15.784358406066895,14.115039958953858
4,17.289440021514892,18.77899444580078,15.83144588470459,14.309883060455322
5,17.210730876922607,18.550558776855468,15.861716270446777,14.51882188796997
6,16.987228660583497,18.196564712524413,15.763002490997314,14.669770545959473
7,16.72690679550171,17.727287940979004,15.76919927597046,14.770608711242676
8,16.44077459335327,17.331791648864748,15.704629802703858,14.753640823364258
9,16.177475719451905,17.10913766860962,15.534915256500245,14.695466022491456
10,15.98291893005371,16.754880771636962,15.232731819152832,14.640361366271973
11,15.77939130783081,16.64396312713623,15.13450222015381,14.539381008148194
12,15.684542903900146,16.502894554138184,15.067484188079835,14.471818542480468
13,15.64341875076294,16.462080059051512,14.992934322357177,14.433682250976563
14,15.57757625579834,16.38759153366089,14.897282218933105,14.418685626983642
15,15.525337314605713,16.331897411346436,14.78592586517334,14.378895683288574
16,15.494407634735108,16.303948440551757,14.676625537872315,14.369926013946532
17,15.460285739898682,16.256657638549804,14.613306713104247,14.395464057922362
18,15.418052024841309,16.2151159286499,14.546079444885255,14.414252166748048
19,15.394067630767822,16.17234703063965,14.498750972747803,14.437892322540284
20,15.35277738571167,16.141236896514894,14.451292705535888,14.445118656158447
21,15.326157417297363,16.101933879852297,14.418399047851562,14.466379203796386
22,15.292990226745605,16.065576667785646,14.400028800964355,14.482692108154296
23,15.259346523284911,16.01874568939209,14.383711528778075,14.5026780128479
24,15.21114658355713,15.971739234924316,14.36643590927124,14.516850452423096
25,15.175558853149415,15.935615139007568,14.338342761993408,14.533558883666991
26,15.14303274154663,15.898146018981933,14.300132560729981,14.541595439910889
27,15.098744373321534,15.852410259246826,14.26478843688965,14.531322269439697
28,15.051018619537354,15.81298360824585,14.239746570587158,14.50898868560791
29,15.006131744384765,15.756184139251708,14.222171211242676,14.483595142364502
30,14.956022148132325,15.719096298217773,14.196161365509033,14.458675212860108
31,14.914674777984619,15.665172634124756,14.17210807800293,14.44356777191162
32,14.867024765014648,15.620449695587158,14.14905424118042,14.429886207580566
33,14.813119087219238,15.56211799621582,14.127612590789795,14.410972366333008
34,14.751943988800049,15.50662160873413,14.10639705657959,14.389319400787354
35,14.687652759552002,15.44617223739624,14.08702564239502,14.365596561431884
36,14.616681156158448,15.381215400695801,14.065425205230714,14.3371337890625
37,14.540662651062013,15.313956146240235,14.042669868469238,14.305444030761718
38,14.459892349243164,15.243306331634521,14.014515495300293,14.264901733398437
39,14.375631618499757,15.169932498931885,13.979043102264404,14.2181107711792
40,14.293322257995605,15.096578483581544,13.942087841033935,14.172838096618653
41,14.207760200500488,15.019081306457519,13.897717666625976,14.125808792114258
42,14.115147247314454,14.936437568664552,13.845444774627685,14.072150478363037
43,14.017668380737305,14.850989742279053,13.785913562774658,14.017482318878173
44,13.915695095062256,14.764692211151123,13.723271751403809,13.95871042251587
45,13.80810110092163,14.67432695388794,13.660051536560058,13.892521057128906
46,13.692320022583008,14.575607719421386,13.598270320892334,13.81430736541748
47,13.56867214202881,14.466879539489746,13.495962142944336,13.719966831207275
48,13.428852653503418,14.340685214996338,13.369747352600097,13.60090654373169
49,13.244354629516602,14.157610740661621,13.176207637786865,13.419113178253173
50,12.709196338653564,13.559624061584472,12.600605583190918,12.792843990325927
