prompt_idx,step,timestep,FAI
0,0,981,17.10453987121582
0,1,961,17.544599533081055
0,2,961,17.5443115234375
0,3,941,17.776844024658203
0,4,921,17.76972198486328
0,5,901,17.4520206451416
0,6,881,16.89422607421875
0,7,861,16.27936363220215
0,8,841,15.482084274291992
0,9,821,14.755229949951172
0,10,801,14.395835876464844
0,11,781,14.18283462524414
0,12,761,14.098031997680664
0,13,741,14.057270050048828
0,14,721,14.063023567199707
0,15,701,14.036401748657227
0,16,681,14.031429290771484
0,17,661,14.036524772644043
0,18,641,14.032316207885742
0,19,621,14.040017127990723
0,20,601,14.034061431884766
0,21,581,14.029141426086426
0,22,561,14.010193824768066
0,23,541,13.991632461547852
0,24,521,13.98080062866211
0,25,501,13.98079776763916
0,26,481,13.987043380737305
0,27,461,14.000926971435547
0,28,441,14.02082347869873
0,29,421,14.040355682373047
0,30,401,14.058099746704102
0,31,381,14.069657325744629
0,32,361,14.068363189697266
0,33,341,14.050219535827637
0,34,321,14.013509750366211
0,35,301,13.9593505859375
0,36,281,13.89157772064209
0,37,261,13.816085815429688
0,38,241,13.727563858032227
0,39,221,13.630655288696289
0,40,201,13.526681900024414
0,41,181,13.41421127319336
0,42,161,13.29954719543457
0,43,141,13.177349090576172
0,44,121,13.05040168762207
0,45,101,12.918822288513184
0,46,81,12.767906188964844
0,47,61,12.596698760986328
0,48,41,12.393389701843262
0,49,21,12.122040748596191
0,50,1,11.435818672180176
1,0,981,18.04291534423828
1,1,961,18.15389633178711
1,2,961,18.146644592285156
1,3,941,18.12560272216797
1,4,921,18.02638053894043
1,5,901,17.82640838623047
1,6,881,17.57210350036621
1,7,861,17.22235870361328
1,8,841,16.767250061035156
1,9,821,16.29545021057129
1,10,801,15.977947235107422
1,11,781,15.785061836242676
1,12,761,15.633953094482422
1,13,741,15.524761199951172
1,14,721,15.446470260620117
1,15,701,15.408796310424805
1,16,681,15.367511749267578
1,17,661,15.332995414733887
1,18,641,15.301872253417969
1,19,621,15.337654113769531
1,20,601,15.349194526672363
1,21,581,15.38718032836914
1,22,561,15.41633415222168
1,23,541,15.410113334655762
1,24,521,15.378543853759766
1,25,501,15.310074806213379
1,26,481,15.288677215576172
1,27,461,15.253931045532227
1,28,441,15.181894302368164
1,29,421,15.087421417236328
1,30,401,14.971296310424805
1,31,381,14.85537052154541
1,32,361,14.747980117797852
1,33,341,14.651989936828613
1,34,321,14.5789794921875
1,35,301,14.52824592590332
1,36,281,14.486227035522461
1,37,261,14.458762168884277
1,38,241,14.440791130065918
1,39,221,14.421318054199219
1,40,201,14.39413070678711
1,41,181,14.356775283813477
1,42,161,14.309480667114258
1,43,141,14.255049705505371
1,44,121,14.202388763427734
1,45,101,14.15522575378418
1,46,81,14.101400375366211
1,47,61,14.032658576965332
1,48,41,13.940685272216797
1,49,21,13.78420352935791
1,50,1,13.229310989379883
2,0,981,17.047168731689453
2,1,961,17.265268325805664
2,2,961,17.30355453491211
2,3,941,17.51229476928711
2,4,921,17.384746551513672
2,5,901,16.888916015625
2,6,881,16.41130828857422
2,7,861,15.874068260192871
2,8,841,15.640878677368164
2,9,821,15.494104385375977
2,10,801,15.394838333129883
2,11,781,15.321130752563477
