# Picasso target exemplar image prompts (16 images)
A woman with fragmented geometric features, in the style of Picasso
A guitar on a table in cubist style, Pablo Picasso
A weeping woman with angular face, Picasso painting
A bull in abstract geometric shapes, Picasso style
Two dancers with cubist forms, painted by Picasso
A face shown from multiple angles, Picasso cubism
A still life with fruit in cubist style, Pablo Picasso
A dove with olive branch, in the style of Picasso
A seated woman with distorted proportions, Picasso
Musicians with instruments in cubist style, Picasso
A harlequin figure with geometric patterns, Picasso style
A mother and child in blue tones, Pablo Picasso
Abstract geometric portrait, in the style of Picasso
A horse in angular cubist forms, Picasso painting
A mandolin and sheet music, Picasso cubism
A profile and frontal view combined, Picasso style
