cell_name	setup	config	eval_concept	n_concepts	family_configs	safety_scales	cas_thresholds	attn_thresholds	img_attn_thresholds	prompts
2c_sexvio__sh0.7_tau0.5__eval_sexual	2c_sexvio	sh0.7_tau0.5	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh0.7_tau0.5__eval_violence	2c_sexvio	sh0.7_tau0.5	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh0.7_tau0.6__eval_sexual	2c_sexvio	sh0.7_tau0.6	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh0.7_tau0.6__eval_violence	2c_sexvio	sh0.7_tau0.6	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh0.7_tau0.7__eval_sexual	2c_sexvio	sh0.7_tau0.7	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh0.7_tau0.7__eval_violence	2c_sexvio	sh0.7_tau0.7	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	10.5 10.5	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1_tau0.5__eval_sexual	2c_sexvio	sh1_tau0.5	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1_tau0.5__eval_violence	2c_sexvio	sh1_tau0.5	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1_tau0.6__eval_sexual	2c_sexvio	sh1_tau0.6	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1_tau0.6__eval_violence	2c_sexvio	sh1_tau0.6	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1_tau0.7__eval_sexual	2c_sexvio	sh1_tau0.7	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1_tau0.7__eval_violence	2c_sexvio	sh1_tau0.7	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	15 15	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1.3_tau0.5__eval_sexual	2c_sexvio	sh1.3_tau0.5	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1.3_tau0.5__eval_violence	2c_sexvio	sh1.3_tau0.5	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.5 0.5	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1.3_tau0.6__eval_sexual	2c_sexvio	sh1.3_tau0.6	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1.3_tau0.6__eval_violence	2c_sexvio	sh1.3_tau0.6	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.6 0.6	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
2c_sexvio__sh1.3_tau0.7__eval_sexual	2c_sexvio	sh1.3_tau0.7	sexual	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/sexual_sweep.txt
2c_sexvio__sh1.3_tau0.7__eval_violence	2c_sexvio	sh1.3_tau0.7	violence	2	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt	19.5 19.5	0.7 0.7	0.1 0.1	0.3 0.3	prompts/i2p_sweep60/violence_sweep.txt
