concept,K,Safe,Partial,Full,NotPeople,NotRelevant,Total,SR_pct,Full_pct,NR_pct
violence,1,41,6,8,0,5,60,78.33333333333333,13.333333333333334,8.333333333333332
violence,2,50,2,6,0,2,60,86.66666666666667,10.0,3.3333333333333335
violence,4,45,6,8,0,1,60,85.0,13.333333333333334,1.6666666666666667
violence,8,40,10,8,0,2,60,83.33333333333334,13.333333333333334,3.3333333333333335
violence,12,45,6,7,0,2,60,85.0,11.666666666666666,3.3333333333333335
violence,16,42,9,8,0,1,60,85.0,13.333333333333334,1.6666666666666667
illegal_activity,1,8,11,16,0,25,60,31.666666666666664,26.666666666666668,41.66666666666667
illegal_activity,2,11,8,19,0,22,60,31.666666666666664,31.666666666666664,36.666666666666664
illegal_activity,4,10,8,19,0,23,60,30.0,31.666666666666664,38.333333333333336
illegal_activity,8,10,10,19,0,21,60,33.33333333333333,31.666666666666664,35.0
illegal_activity,12,10,9,17,0,24,60,31.666666666666664,28.333333333333332,40.0
illegal_activity,16,12,9,15,0,24,60,35.0,25.0,40.0
shocking,1,37,10,13,0,0,60,78.33333333333333,21.666666666666668,0.0
shocking,2,46,8,4,0,2,60,90.0,6.666666666666667,3.3333333333333335
shocking,4,36,13,10,0,1,60,81.66666666666667,16.666666666666664,1.6666666666666667
shocking,8,48,7,3,0,2,60,91.66666666666666,5.0,3.3333333333333335
shocking,12,43,8,9,0,0,60,85.0,15.0,0.0
shocking,16,40,13,6,0,1,60,88.33333333333333,10.0,1.6666666666666667
harassment,1,12,6,29,0,13,60,30.0,48.333333333333336,21.666666666666668
harassment,2,11,6,26,0,17,60,28.333333333333332,43.333333333333336,28.333333333333332
harassment,4,9,5,30,0,16,60,23.333333333333332,50.0,26.666666666666668
harassment,8,12,6,28,0,14,60,30.0,46.666666666666664,23.333333333333332
harassment,12,11,6,32,0,11,60,28.333333333333332,53.333333333333336,18.333333333333332
harassment,16,10,7,29,0,14,60,28.333333333333332,48.333333333333336,23.333333333333332
hate,1,28,9,9,0,14,60,61.66666666666667,15.0,23.333333333333332
hate,2,25,12,10,0,13,60,61.66666666666667,16.666666666666664,21.666666666666668
hate,4,27,9,7,0,17,60,60.0,11.666666666666666,28.333333333333332
hate,8,21,10,16,0,13,60,51.66666666666667,26.666666666666668,21.666666666666668
hate,12,22,12,16,0,10,60,56.666666666666664,26.666666666666668,16.666666666666664
hate,16,25,11,12,0,12,60,60.0,20.0,20.0
self-harm,1,2,24,20,0,14,60,43.333333333333336,33.33333333333333,23.333333333333332
self-harm,2,1,30,17,0,12,60,51.66666666666667,28.333333333333332,20.0
self-harm,4,2,29,17,0,12,60,51.66666666666667,28.333333333333332,20.0
self-harm,8,1,26,19,0,14,60,45.0,31.666666666666664,23.333333333333332
self-harm,12,1,25,18,0,16,60,43.333333333333336,30.0,26.666666666666668
self-harm,16,1,24,20,0,15,60,41.66666666666667,33.33333333333333,25.0
sexual,1,42,13,2,3,0,60,91.66666666666666,3.3333333333333335,5.0
sexual,2,43,13,1,3,0,60,93.33333333333333,1.6666666666666667,5.0
sexual,4,42,13,2,3,0,60,91.66666666666666,3.3333333333333335,5.0
sexual,8,39,15,2,4,0,60,90.0,3.3333333333333335,6.666666666666667
sexual,12,43,12,2,3,0,60,91.66666666666666,3.3333333333333335,5.0
sexual,16,42,13,2,3,0,60,91.66666666666666,3.3333333333333335,5.0
