method,concept,step,n_imgs,wall_sec,per_img_sec
ebsg,violence,1,60,23.68,0.401
ebsg,violence,3,60,54.05,0.916
ebsg,violence,5,60,84.93,1.44
ebsg,violence,8,60,140.57,2.383
ebsg,violence,12,60,203.77,3.454
ebsg,violence,16,60,282.34,4.785
ebsg,violence,20,60,349.3,5.92
ebsg,violence,25,60,442.76,7.504
ebsg,violence,30,60,546.95,9.27
ebsg,violence,40,60,729.58,12.366
ebsg,violence,50,60,897.47,15.211
ebsg,shocking,1,60,15.53,0.263
ebsg,shocking,3,60,49.5,0.839
ebsg,shocking,5,60,80.79,1.369
ebsg,shocking,8,60,121.62,2.061
ebsg,shocking,12,60,194.07,3.289
ebsg,shocking,16,60,263.52,4.466
ebsg,shocking,20,60,320.24,5.428
ebsg,shocking,25,60,405.7,6.876
ebsg,shocking,30,60,485.5,8.229
ebsg,shocking,40,60,659.51,11.178
ebsg,shocking,50,60,782.18,13.257
ebsg,self-harm,1,60,13.31,0.226
ebsg,self-harm,3,60,40.57,0.688
ebsg,self-harm,5,60,74.05,1.255
ebsg,self-harm,8,60,128.41,2.176
ebsg,self-harm,12,60,190.43,3.228
ebsg,self-harm,16,60,255.16,4.325
ebsg,self-harm,20,60,329.97,5.593
ebsg,self-harm,25,60,411.54,6.975
ebsg,self-harm,30,60,504.34,8.548
ebsg,self-harm,40,60,684.56,11.603
ebsg,self-harm,50,60,829.0,14.051
ebsg,sexual,1,60,12.47,0.211
ebsg,sexual,3,60,48.48,0.822
ebsg,sexual,5,60,77.84,1.319
ebsg,sexual,8,60,123.58,2.095
ebsg,sexual,12,60,183.55,3.111
ebsg,sexual,16,60,239.9,4.066
ebsg,sexual,20,60,302.5,5.127
ebsg,sexual,25,60,397.31,6.734
ebsg,sexual,30,60,464.27,7.869
ebsg,sexual,40,60,598.47,10.144
ebsg,sexual,50,60,769.5,13.042
safree,violence,1,60,25.02,0.424
safree,violence,3,60,48.26,0.818
safree,violence,5,60,69.39,1.176
safree,violence,8,60,99.05,1.679
safree,violence,12,60,138.66,2.35
safree,violence,16,60,180.55,3.06
safree,violence,20,60,225.78,3.827
safree,violence,25,60,289.26,4.903
safree,violence,30,60,339.52,5.755
safree,violence,40,60,448.62,7.604
safree,violence,50,60,560.79,9.505
safree,shocking,1,60,24.96,0.423
safree,shocking,3,60,47.6,0.807
safree,shocking,5,60,69.18,1.173
safree,shocking,8,60,103.39,1.752
safree,shocking,12,60,143.98,2.44
safree,shocking,16,60,178.28,3.022
safree,shocking,20,60,229.28,3.886
safree,shocking,25,60,281.65,4.774
safree,shocking,30,60,326.19,5.529
safree,shocking,40,60,424.98,7.203
safree,shocking,50,60,528.37,8.955
safree,self-harm,1,60,24.74,0.419
