method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,12,60,1777577045.05,29626284.084
safedenoiser,violence,50,60,1777577674.38,29626294.573
safedenoiser,shocking,16,60,1777577910.10,29626298.502
safedenoiser,self-harm,1,60,1777577958.19,29626299.303
safedenoiser,self-harm,20,60,1777578238.46,29626303.974
safedenoiser,sexual,3,60,1777578308.14,29626305.136
safedenoiser,sexual,25,60,1777578656.87,29626310.948
sgf,violence,5,60,1777578765.45,29626312.758
sgf,violence,30,60,1777579179.03,29626319.650
sgf,shocking,8,60,1777579321.38,29626322.023
sgf,shocking,40,60,1777579860.69,29626331.012
sgf,self-harm,12,60,1777580048.88,29626334.148
sgf,self-harm,50,60,1777580733.45,29626345.558
sgf,sexual,16,60,1777581019.82,29626350.330
