method,concept,step,n_imgs,wall_sec,per_img_sec,per_step_per_img_sec
safedenoiser,violence,1,60,51.58,0.874,0.8743
safedenoiser,violence,3,60,64.21,1.088,0.3628
safedenoiser,violence,5,60,87.38,1.481,0.2962
safedenoiser,violence,8,60,109.91,1.863,0.2329
safedenoiser,violence,12,60,161.17,2.732,0.2276
safedenoiser,violence,16,60,206.18,3.495,0.2184
safedenoiser,violence,20,60,436.91,7.405,0.3703
safedenoiser,violence,25,60,373.89,6.337,0.2535
safedenoiser,violence,30,60,430.17,7.291,0.243
safedenoiser,violence,40,60,510.42,8.651,0.2163
safedenoiser,violence,50,60,602.92,10.219,0.2044
safedenoiser,shocking,1,60,27.03,0.458,0.4581
safedenoiser,shocking,3,60,75.19,1.274,0.4248
safedenoiser,shocking,5,60,93.57,1.586,0.3172
safedenoiser,shocking,8,60,125.55,2.128,0.266
safedenoiser,shocking,12,60,168.7,2.859,0.2383
safedenoiser,shocking,16,60,213.23,3.614,0.2259
safedenoiser,shocking,20,60,257.79,4.369,0.2185
safedenoiser,shocking,25,60,533.48,9.042,0.3617
safedenoiser,shocking,30,60,448.91,7.609,0.2536
safedenoiser,shocking,40,60,584.62,9.909,0.2477
safedenoiser,shocking,50,60,632.56,10.721,0.2144
safedenoiser,self-harm,1,60,26.87,0.455,0.4555
safedenoiser,self-harm,3,60,55.3,0.937,0.3124
safedenoiser,self-harm,5,60,132.27,2.242,0.4484
safedenoiser,self-harm,8,60,141.85,2.404,0.3005
safedenoiser,self-harm,12,60,189.82,3.217,0.2681
safedenoiser,self-harm,16,60,213.23,3.614,0.2259
safedenoiser,self-harm,20,60,260.65,4.418,0.2209
safedenoiser,self-harm,25,60,325.71,5.521,0.2208
safedenoiser,self-harm,30,60,636.3,10.785,0.3595
safedenoiser,self-harm,40,60,603.87,10.235,0.2559
safedenoiser,self-harm,50,60,724.06,12.272,0.2454
safedenoiser,sexual,1,60,31.53,0.534,0.5343
safedenoiser,sexual,3,60,54.26,0.92,0.3065
safedenoiser,sexual,5,60,82.48,1.398,0.2796
safedenoiser,sexual,8,60,194.35,3.294,0.4117
safedenoiser,sexual,12,60,203.7,3.453,0.2877
safedenoiser,sexual,16,60,251.84,4.268,0.2668
safedenoiser,sexual,20,60,260.04,4.408,0.2204
safedenoiser,sexual,25,60,327.5,5.551,0.222
safedenoiser,sexual,30,60,375.27,6.36,0.212
safedenoiser,sexual,40,60,835.23,14.156,0.3539
safedenoiser,sexual,50,60,760.34,12.887,0.2577
sgf,violence,1,60,33.67,0.571,0.5707
sgf,violence,3,60,52.47,0.889,0.2965
sgf,violence,5,60,82.21,1.393,0.2787
sgf,violence,8,60,121.2,2.054,0.2568
sgf,violence,12,60,286.89,4.863,0.4052
sgf,violence,16,60,256.07,4.34,0.2713
sgf,violence,20,60,305.89,5.185,0.2592
sgf,violence,25,60,323.5,5.483,0.2193
sgf,violence,30,60,386.47,6.55,0.2183
sgf,violence,40,60,503.55,8.535,0.2134
sgf,violence,50,60,1027.31,17.412,0.3482
sgf,shocking,1,60,28.72,0.487,0.4867
sgf,shocking,3,60,60.05,1.018,0.3393
sgf,shocking,5,60,82.16,1.393,0.2785
sgf,shocking,8,60,119.65,2.028,0.2535
sgf,shocking,12,60,163.95,2.779,0.2316
sgf,shocking,16,60,379.04,6.424,0.4015
sgf,shocking,20,60,323.6,5.485,0.2742
sgf,shocking,25,60,361.43,6.126,0.245
sgf,shocking,30,60,391.31,6.632,0.2211
sgf,shocking,40,60,510.88,8.659,0.2165
sgf,shocking,50,60,631.86,10.709,0.2142
sgf,self-harm,1,60,27.76,0.471,0.4706
sgf,self-harm,3,60,64.42,1.092,0.364
sgf,self-harm,5,60,91.82,1.556,0.3112
sgf,self-harm,8,60,119.5,2.025,0.2532
sgf,self-harm,12,60,167.0,2.831,0.2359
sgf,self-harm,16,60,209.76,3.555,0.2222
sgf,self-harm,20,60,442.94,7.507,0.3754
sgf,self-harm,25,60,397.2,6.732,0.2693
sgf,self-harm,30,60,457.64,7.757,0.2586
sgf,self-harm,40,60,514.4,8.719,0.218
sgf,self-harm,50,60,652.64,11.062,0.2212
sgf,sexual,1,60,31.1,0.527,0.5271
sgf,sexual,3,60,85.34,1.446,0.4822
sgf,sexual,5,60,100.42,1.702,0.3404
sgf,sexual,8,60,136.02,2.305,0.2882
sgf,sexual,12,60,176.74,2.996,0.2496
sgf,sexual,16,60,226.24,3.835,0.2397
sgf,sexual,20,60,264.49,4.483,0.2241
sgf,sexual,25,60,558.47,9.466,0.3786
sgf,sexual,30,60,473.09,8.019,0.2673
sgf,sexual,40,60,600.2,10.173,0.2543
sgf,sexual,50,60,660.76,11.199,0.224
