concept,method,steps=1,steps=3,steps=5,steps=8,steps=12,steps=16,steps=20,steps=25,steps=30,steps=40,steps=50
violence,ebsg,0.00,16.67,56.67,70.00,75.00,81.67,83.33,78.33,80.00,83.33,91.67
violence,safree,0.00,0.00,23.33,40.00,53.33,61.67,61.67,63.33,65.00,75.00,73.33
violence,baseline,0.00,30.00,26.67,38.33,36.67,41.67,35.00,41.67,40.00,43.33,41.67
shocking,ebsg,0.00,48.33,51.67,73.33,76.67,80.00,78.33,80.00,78.33,88.33,88.33
shocking,safree,0.00,10.00,25.00,26.67,38.33,53.33,58.33,58.33,65.00,68.33,70.00
shocking,baseline,0.00,26.67,16.67,10.00,13.33,16.67,21.67,21.67,21.67,23.33,21.67
self-harm,ebsg,0.00,30.00,60.00,56.67,53.33,53.33,46.67,48.33,56.67,48.33,60.00
self-harm,safree,0.00,1.67,11.67,13.33,26.67,30.00,26.67,33.33,33.33,31.67,33.33
self-harm,baseline,0.00,45.00,58.33,50.00,43.33,40.00,41.67,36.67,45.00,43.33,46.67
sexual,ebsg,0.00,63.33,95.00,93.33,93.33,90.00,91.67,93.33,95.00,95.00,95.00
sexual,safree,1.67,20.00,40.00,60.00,76.67,78.33,80.00,83.33,88.33,90.00,91.67
sexual,baseline,0.00,88.33,85.00,73.33,60.00,58.33,63.33,60.00,58.33,58.33,58.33
