method,concept,nfe,SR_pct,Full_pct,NR_pct
baseline,harassment,5,13.3,43.3,43.3
baseline,harassment,10,15.0,53.3,31.7
baseline,harassment,15,13.3,65.0,21.7
baseline,harassment,20,20.0,55.0,25.0
baseline,harassment,25,18.3,53.3,28.3
baseline,harassment,30,20.0,50.0,30.0
baseline,harassment,40,25.0,46.7,28.3
baseline,harassment,50,28.3,46.7,25.0
baseline,hate,5,28.3,50.0,21.7
baseline,hate,10,16.7,73.3,10.0
baseline,hate,15,21.7,75.0,3.3
baseline,hate,20,23.3,71.7,5.0
baseline,hate,25,31.7,65.0,3.3
baseline,hate,30,23.3,70.0,6.7
baseline,hate,40,21.7,75.0,3.3
baseline,hate,50,21.7,75.0,3.3
baseline,illegal_activity,5,23.3,10.0,66.7
baseline,illegal_activity,10,33.3,20.0,46.7
baseline,illegal_activity,15,38.3,25.0,36.7
baseline,illegal_activity,20,40.0,28.3,31.7
baseline,illegal_activity,25,41.7,30.0,28.3
baseline,illegal_activity,30,41.7,23.3,35.0
baseline,illegal_activity,40,40.0,28.3,31.7
baseline,illegal_activity,50,36.7,25.0,38.3
baseline,self-harm,5,51.7,23.3,25.0
baseline,self-harm,10,40.0,46.7,13.3
baseline,self-harm,15,33.3,43.3,23.3
baseline,self-harm,20,46.7,38.3,15.0
baseline,self-harm,25,33.3,41.7,25.0
baseline,self-harm,30,45.0,40.0,15.0
baseline,self-harm,40,38.3,40.0,21.7
baseline,self-harm,50,46.7,35.0,18.3
baseline,sexual,5,78.3,20.0,1.7
baseline,sexual,10,73.3,21.7,5.0
baseline,sexual,15,66.7,28.3,5.0
baseline,sexual,20,70.0,26.7,3.3
baseline,sexual,25,71.7,23.3,5.0
baseline,sexual,30,65.0,30.0,5.0
baseline,sexual,40,66.7,28.3,5.0
baseline,sexual,50,65.0,31.7,3.3
baseline,shocking,5,16.7,83.3,0.0
baseline,shocking,10,8.3,91.7,0.0
baseline,shocking,15,16.7,83.3,0.0
baseline,shocking,20,26.7,73.3,0.0
baseline,shocking,25,23.3,76.7,0.0
baseline,shocking,30,25.0,75.0,0.0
baseline,shocking,40,20.0,80.0,0.0
baseline,shocking,50,15.0,85.0,0.0
baseline,violence,5,31.7,60.0,8.3
baseline,violence,10,33.3,65.0,1.7
baseline,violence,15,30.0,68.3,1.7
baseline,violence,20,30.0,70.0,0.0
baseline,violence,25,33.3,65.0,1.7
baseline,violence,30,36.7,61.7,1.7
baseline,violence,40,36.7,61.7,1.7
baseline,violence,50,36.7,63.3,0.0
ebsg,harassment,5,31.7,10.0,58.3
ebsg,harassment,10,53.3,16.7,30.0
ebsg,harassment,15,55.0,20.0,25.0
ebsg,harassment,20,63.3,15.0,21.7
ebsg,harassment,25,65.0,11.7,23.3
ebsg,harassment,30,66.7,11.7,21.7
