method,nfe,per_img_sec,SR_avg_pct,Full_avg_pct,NR_avg_pct,n_concepts
baseline,5,0.4211,34.8,41.4,23.8,7
baseline,10,0.6316,31.4,53.1,15.5,7
baseline,15,0.8947,31.4,55.5,13.1,7
baseline,20,1.1053,36.7,51.9,11.4,7
baseline,25,1.3684,36.2,50.7,13.1,7
baseline,30,1.6316,36.7,50.0,13.3,7
baseline,40,2.1579,35.5,51.4,13.1,7
baseline,50,2.6316,35.7,51.7,12.6,7
ebsg,5,1.3684,52.4,13.8,33.8,7
ebsg,10,2.6842,60.2,18.1,21.7,7
ebsg,15,4.1579,66.4,17.4,16.2,7
ebsg,20,5.6316,69.0,13.6,17.4,7
ebsg,25,7.2632,72.6,12.6,14.8,7
ebsg,30,8.4737,70.7,14.3,15.0,7
ebsg,40,11.0000,70.5,12.9,16.7,7
ebsg,50,13.5789,70.2,11.2,18.6,7
safedenoiser,5,0.2308,46.9,13.6,39.5,7
safedenoiser,10,0.4359,54.8,16.9,28.3,7
safedenoiser,15,0.6154,53.1,18.6,28.3,7
safedenoiser,20,0.7692,54.5,17.9,27.6,7
safedenoiser,25,0.9744,55.0,18.1,26.9,7
safedenoiser,30,1.1538,52.4,21.0,26.7,7
safedenoiser,40,1.4872,53.8,21.2,25.0,7
safedenoiser,50,1.8462,53.1,21.2,25.7,7
safree,5,1.0526,19.0,1.0,80.0,7
safree,10,1.9474,31.2,4.0,64.8,7
safree,15,2.7895,39.3,4.5,56.2,7
safree,20,3.6316,43.1,7.1,49.8,7
safree,25,4.4737,44.0,7.6,48.3,7
safree,30,5.3158,48.1,7.9,44.0,7
safree,40,7.0000,50.7,8.8,40.5,7
safree,50,8.6842,54.3,10.5,35.2,7
sgf,5,0.2821,0.0,0.0,100.0,7
sgf,10,0.4872,0.0,0.0,100.0,7
sgf,15,0.6667,0.0,0.0,100.0,7
sgf,20,0.6923,2.1,0.2,97.6,7
sgf,25,1.1026,13.6,2.4,84.0,7
sgf,30,0.7179,23.6,8.6,67.9,7
sgf,40,1.1282,44.5,17.9,37.6,7
sgf,50,1.4103,47.1,23.1,29.8,7
