method,nfe,n_imgs,wall_sec_total,per_img_sec_with_load,per_img_sec_excl_load_mtime
baseline,5,20,19.20,0.9600,0.4211
safree,5,20,39.26,1.9630,1.1053
safedenoiser,5,20,43.75,2.1875,0.5789
sgf,5,20,46.79,2.3395,0.5789
ebsg,5,20,42.98,2.1490,1.4737
baseline,10,20,22.90,1.1450,0.6316
safree,10,20,51.62,2.5810,2.0000
safedenoiser,10,20,61.24,3.0620,1.0000
sgf,10,20,62.87,3.1435,1.0526
ebsg,10,20,64.84,3.2420,2.7895
baseline,15,20,25.70,1.2850,0.8947
safree,15,20,68.82,3.4410,2.8421
safedenoiser,15,20,75.04,3.7520,1.4211
sgf,15,20,79.01,3.9505,1.4211
ebsg,15,20,92.73,4.6365,4.3158
baseline,20,20,30.71,1.5355,1.1579
