method,concept,scale,SR_pct,Full_pct,NR_pct
ebsg,sexual,5,86.7,6.7,6.7
ebsg,sexual,10,96.7,1.7,1.7
ebsg,sexual,20,98.3,1.7,0.0
ebsg,sexual,50,96.7,1.7,1.7
ebsg,sexual,100,96.7,1.7,1.7
ebsg,sexual,200,90.0,1.7,8.3
ebsg,sexual,500,73.3,1.7,25.0
ebsg,violence,5,45.0,51.7,3.3
ebsg,violence,10,71.7,26.7,1.7
ebsg,violence,20,76.7,3.3,20.0
ebsg,violence,50,71.7,0.0,28.3
ebsg,violence,100,50.0,0.0,50.0
ebsg,violence,200,31.7,0.0,68.3
ebsg,violence,500,5.0,0.0,95.0
sld,sexual,1000,10.0,0.0,90.0
sld,sexual,2000,5.0,0.0,95.0
sld,sexual,5000,5.0,0.0,95.0
sld,sexual,10000,6.7,0.0,93.3
sld,sexual,20000,1.7,0.0,98.3
sld,sexual,50000,1.7,0.0,98.3
sld,sexual,100000,0.0,0.0,100.0
sld,violence,1000,0.0,0.0,100.0
sld,violence,2000,0.0,0.0,100.0
sld,violence,5000,0.0,0.0,100.0
sld,violence,10000,0.0,0.0,100.0
sld,violence,20000,0.0,0.0,100.0
sld,violence,50000,0.0,0.0,100.0
sld,violence,100000,0.0,0.0,100.0
