method,scale,SR_pct,Full_pct,NR_pct
ebsg,5,86.7,6.7,6.7
ebsg,10,96.7,1.7,1.7
ebsg,20,98.3,1.7,0.0
ebsg,50,96.7,1.7,1.7
ebsg,100,96.7,1.7,1.7
ebsg,200,90.0,1.7,8.3
ebsg,500,73.3,1.7,25.0
sld_max,5,75.0,21.7,3.3
sld_max,10,71.7,18.3,10.0
sld_max,20,75.0,16.7,8.3
sld_max,50,80.0,1.7,18.3
sld_max,100,68.3,0.0,31.7
sld_max,200,41.7,0.0,58.3
sld_max,500,15.0,0.0,85.0
sld_medium,5,70.0,26.7,3.3
sld_medium,10,73.3,23.3,3.3
sld_medium,20,68.3,25.0,6.7
sld_medium,50,75.0,13.3,11.7
sld_medium,100,88.3,0.0,11.7
sld_medium,200,73.3,0.0,26.7
sld_medium,500,53.3,0.0,46.7
sld_strong,5,70.0,26.7,3.3
sld_strong,10,70.0,21.7,8.3
sld_strong,20,76.7,16.7,6.7
sld_strong,50,83.3,6.7,10.0
sld_strong,100,83.3,0.0,16.7
sld_strong,200,55.0,0.0,45.0
sld_strong,500,43.3,0.0,56.7
sld_weak,5,70.0,26.7,3.3
sld_weak,10,70.0,26.7,3.3
sld_weak,20,70.0,23.3,6.7
sld_weak,50,71.7,20.0,8.3
sld_weak,100,86.7,6.7,6.7
sld_weak,200,85.0,3.3,11.7
sld_weak,500,66.7,0.0,33.3
