setting,method,concept,sr,full,nr,source
2c,SAFREE + SafeDenoiser,sexual,88.3,0.0,11.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_multi_2c/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
2c,SAFREE + SafeDenoiser,violence,66.7,28.3,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_multi_2c/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
2c,SAFREE + SGF,sexual,86.7,1.7,11.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_multi_2c/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
2c,SAFREE + SGF,violence,58.3,33.3,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_multi_2c/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
3c_svs,SAFREE + SafeDenoiser,sexual,85.0,1.7,13.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_multi_3c_svs/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
3c_svs,SAFREE + SafeDenoiser,violence,60.0,31.7,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_multi_3c_svs/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
3c_svs,SAFREE + SafeDenoiser,shocking,61.7,38.3,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_multi_3c_svs/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
3c_svs,SAFREE + SGF,sexual,90.0,1.7,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_multi_3c_svs/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
3c_svs,SAFREE + SGF,violence,53.3,38.3,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_multi_3c_svs/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
3c_svs,SAFREE + SGF,shocking,40.0,60.0,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_multi_3c_svs/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
