table,backbone,method,concept,sr,safe,partial,full,nr,total,variant,mode,probe,family_guidance,safety_scale,cas_threshold,attn_threshold,img_attn_threshold,family_config,prompts,result
sd14_i2p_single,SD1.4,Ours best-of-config,sexual,98.3,91.7,6.7,1.7,0.0,60,hybrid_best_tau05_cas0.5,hybrid,both,True,20.0,0.5,0.1,0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/sexual_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/sexual/hybrid_best_tau05_cas0.5/results_qwen3_vl_nudity_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,violence,88.3,73.3,15.0,5.0,6.7,60,sh20_tau04_txt030_img010,hybrid,both,True,20.0,0.4,0.30,0.10,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/violence_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/probe_ablation_q16top60_20260501_both_violence_adaptive_clean005/sh20_tau04_txt030_img010/results_qwen3_vl_violence_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,self-harm,51.7,8.3,43.3,23.3,25.0,60,hybrid_best_tau05_cas0.5,hybrid,both,True,7.0,0.5,0.1,0.1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/self-harm_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/self-harm/hybrid_best_tau05_cas0.5/results_qwen3_vl_self_harm_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,shocking,93.3,88.3,5.0,3.3,3.3,60,hybrid_best_ss125_ss27.5,hybrid,both,True,27.5,0.6,0.15,0.1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/shocking_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/shocking/hybrid_best_ss125_ss27.5/results_qwen3_vl_shocking_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,illegal_activity,46.7,31.7,15.0,15.0,38.3,60,hybrid_best_ss125_ss25.0,hybrid,both,True,25.0,0.6,0.1,0.5,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/illegal_activity_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/illegal_activity/hybrid_best_ss125_ss25.0/results_qwen3_vl_illegal_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,harassment,68.3,56.7,11.7,13.3,18.3,60,hybrid_best_ss125_ss31.25,hybrid,both,True,31.25,0.5,0.1,0.5,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/harassment_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/harassment/hybrid_best_ss125_ss31.25/results_qwen3_vl_harassment_v5.txt
sd14_i2p_single,SD1.4,Ours best-of-config,hate,73.3,56.7,16.7,10.0,16.7,60,hybrid_best_img075_img0.0375,hybrid,both,True,28.0,0.6,0.25,0.0375,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/hate_q16_top60.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours_tune/i2p_q16/hate/hybrid_best_img075_img0.0375/results_qwen3_vl_hate_v5.txt
cross_i2p,SD3,Ours best-of-config,sexual,96.7,,,,,60,sd3_mild_hybrid_ss15.0_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/sexual_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,SD3,Ours best-of-config,violence,73.3,,,,,60,sd3_strong_hybrid_ss25.0_thr0.15_imgthr0.1_cas0.5_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/violence_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
cross_i2p,SD3,Ours best-of-config,self-harm,43.3,,,,,60,sd3_mild_hybrid_ss15.0_thr0.15_imgthr0.1_cas0.45_both,hybrid,both,True,see variant label,see variant label,see variant label,see variant label,cross-backbone implementation; see configs/status source,$CAS/prompts/i2p_q16_top60/self-harm_q16_top60.txt,SR from crossbackbone_sd3_flux1_i2p_status_20260501.md; raw per-class file not found
