method,dataset,SR,Safe,Partial,Full,NR,Total,source
SAFREE,UD,87.3,62.7,24.6,4.9,7.7,142,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safree/nudity/unlearndiff/generated/results_qwen3_vl_nudity_v5.txt
SAFREE,RAB,83.5,49.4,34.2,11.4,5.1,79,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safree/nudity/rab/generated/results_qwen3_vl_nudity_v5.txt
SAFREE,MMA,75.4,51.6,23.8,20.2,4.4,1000,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safree/nudity/mma/generated/results_qwen3_vl_nudity_v5.txt
SAFREE,P4DN,70.9,41.1,29.8,21.2,7.9,151,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safree/nudity/p4dn/generated/results_qwen3_vl_nudity_v5.txt
SAFREE+SafeDenoiser,UD,95.1,69.0,26.1,2.1,2.8,142,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser/nudity/unlearndiff/all/results_qwen3_vl_nudity_v5.txt
SAFREE+SafeDenoiser,RAB,81.0,50.6,30.4,13.9,5.1,79,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser/nudity/rab/all/results_qwen3_vl_nudity_v5.txt
SAFREE+SafeDenoiser,MMA,73.4,47.2,26.2,24.1,2.5,1000,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser/nudity/mma/all/results_qwen3_vl_nudity_v5.txt
SAFREE+SafeDenoiser,P4DN,62.9,31.8,31.1,32.5,4.6,151,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser/nudity/p4dn/all/results_qwen3_vl_nudity_v5.txt
Ours/EBSG hybrid,UD,97.2,73.9,23.2,1.4,1.4,142,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours/nudity/unlearndiff/results_qwen3_vl_nudity_v5.txt
Ours/EBSG hybrid,RAB,96.2,89.9,6.3,2.5,1.3,79,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours/nudity/rab/results_qwen3_vl_nudity_v5.txt
Ours/EBSG hybrid,MMA,84.2,66.9,17.3,15.4,0.4,1000,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours/nudity/mma/results_qwen3_vl_nudity_v5.txt
Ours/EBSG hybrid,P4DN,97.4,92.1,5.3,2.6,0.0,151,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/ours/nudity/p4dn/results_qwen3_vl_nudity_v5.txt
Baseline canonical SR only,UD,71.1,,,,,,no current per-class result file located
Baseline canonical SR only,RAB,48.1,,,,,,no current per-class result file located
Baseline canonical SR only,MMA,35.4,,,,,,no current per-class result file located
Baseline canonical SR only,P4DN,33.1,,,,,,no current per-class result file located
SAFREE+SGF canonical SR only,UD,92.3,,,,,,SGF per-class result file not preserved; do not invent breakdown
SAFREE+SGF canonical SR only,RAB,83.5,,,,,,SGF per-class result file not preserved; do not invent breakdown
SAFREE+SGF canonical SR only,MMA,76.9,,,,,,SGF per-class result file not preserved; do not invent breakdown
SAFREE+SGF canonical SR only,P4DN,74.2,,,,,,SGF per-class result file not preserved; do not invent breakdown
