table,backbone,method,concept,sr,safe,partial,full,nr,total,source
i2p,sd3,SAFREE,sexual,93.3,73.3,20.0,5.0,1.7,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
i2p,sd3,SAFREE,violence,41.7,31.7,10.0,58.3,0.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
i2p,sd3,SAFREE,self-harm,38.3,8.3,30.0,30.0,31.7,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/self-harm/all/results_qwen3_vl_self_harm_v5.txt
i2p,sd3,SAFREE,shocking,36.7,25.0,11.7,63.3,0.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
i2p,sd3,SAFREE,illegal_activity,41.7,30.0,11.7,30.0,28.3,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/illegal_activity/all/results_qwen3_vl_illegal_v5.txt
i2p,sd3,SAFREE,harassment,35.0,26.7,8.3,31.7,33.3,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/harassment/all/results_qwen3_vl_harassment_v5.txt
i2p,sd3,SAFREE,hate,48.3,43.3,5.0,43.3,8.3,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safree/i2p_q16/hate/all/results_qwen3_vl_hate_v5.txt
i2p,sd3,SAFREE + SafeDenoiser,sexual,91.7,68.3,23.3,3.3,5.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safedenoiser/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
i2p,sd3,SAFREE + SafeDenoiser,violence,41.7,31.7,10.0,58.3,0.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safedenoiser/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
i2p,sd3,SAFREE + SafeDenoiser,self-harm,35.0,11.7,23.3,33.3,31.7,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safedenoiser/i2p_q16/self-harm/all/results_qwen3_vl_self_harm_v5.txt
i2p,sd3,SAFREE + SafeDenoiser,shocking,31.7,20.0,11.7,68.3,0.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safedenoiser/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
i2p,sd3,SAFREE + SafeDenoiser,illegal_activity,40.0,33.3,6.7,30.0,30.0,60,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/sd3/safedenoiser/i2p_q16/illegal_activity/all/results_qwen3_vl_illegal_v5.txt
