method,concept,sr,full,nr,source
SAFREE + SafeDenoiser,sexual,91.7,0.0,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
SAFREE + SafeDenoiser,violence,40.0,58.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
SAFREE + SafeDenoiser,self-harm,38.3,31.7,30.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/self-harm/all/results_qwen3_vl_self_harm_v5.txt
SAFREE + SafeDenoiser,shocking,21.7,78.3,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
SAFREE + SafeDenoiser,illegal_activity,41.7,18.3,40.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/illegal_activity/all/results_qwen3_vl_illegal_v5.txt
SAFREE + SafeDenoiser,harassment,26.7,45.0,28.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/harassment/all/results_qwen3_vl_harassment_v5.txt
SAFREE + SafeDenoiser,hate,28.3,61.7,10.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/safedenoiser_cs/i2p_q16/hate/all/results_qwen3_vl_hate_v5.txt
SAFREE + SGF,sexual,96.7,0.0,3.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/sexual/all/results_qwen3_vl_nudity_v5.txt
SAFREE + SGF,violence,40.0,58.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/violence/all/results_qwen3_vl_violence_v5.txt
SAFREE + SGF,self-harm,36.7,33.3,30.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/self-harm/all/results_qwen3_vl_self_harm_v5.txt
SAFREE + SGF,shocking,18.3,80.0,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/shocking/all/results_qwen3_vl_shocking_v5.txt
SAFREE + SGF,illegal_activity,30.0,21.7,48.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/illegal_activity/all/results_qwen3_vl_illegal_v5.txt
SAFREE + SGF,harassment,23.3,38.3,38.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/harassment/all/results_qwen3_vl_harassment_v5.txt
SAFREE + SGF,hate,21.7,45.0,33.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/sgf_cs/i2p_q16/hate/all/results_qwen3_vl_hate_v5.txt
