concept,k,seed,SR,Safe,Partial,Full,NR,result_file,outdir,config
shocking,1,42,93.3,51,5,4,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k1/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k1/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k1/seed42.json
shocking,2,42,93.3,51,5,4,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k2/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k2/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k2/seed42.json
shocking,4,42,91.7,50,5,4,1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k4/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k4/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k4/seed42.json
shocking,8,42,91.7,50,5,4,1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k8/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k8/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k8/seed42.json
shocking,12,42,91.7,50,5,4,1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k12/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k12/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k12/seed42.json
shocking,16,42,91.7,50,5,4,1,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k16/seed42/results_qwen3_vl_shocking_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k16/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/shocking/k16/seed42.json
hate,1,42,61.7,32,5,9,14,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k1/seed42/results_qwen3_vl_hate_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k1/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/hate/k1/seed42.json
hate,2,42,61.7,31,6,15,8,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k2/seed42/results_qwen3_vl_hate_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k2/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/hate/k2/seed42.json
hate,4,42,63.3,31,7,9,13,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k4/seed42/results_qwen3_vl_hate_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k4/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/hate/k4/seed42.json
hate,8,42,65.0,32,7,11,10,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k8/seed42/results_qwen3_vl_hate_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_best3_finalconfig_seed42_20260503/hate/k8/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_best3_finalconfig_seed42_20260503/hate/k8/seed42.json
