concept           k   n_seeds  SR_mean  Safe_mean  Partial_mean  Full_mean  NR_mean  SR_std  Safe_std  Partial_std  Full_std  NR_std
harassment        1   3        55.03    45.0       10.03         22.2       22.77    1.35    3.6       2.36         2.84      2.08
harassment        2   3        54.43    42.23      12.2          23.33      22.23    0.8     4.15      4.37         2.74      2.08
harassment        4   3        52.8     44.47      8.33          25.53      21.67    2.84    5.16      2.36         5.16      2.74
harassment        8   3        52.8     44.47      8.33          25.53      21.67    2.84    5.16      2.36         5.16      2.74
harassment        12  3        52.8     44.47      8.33          25.53      21.67    2.84    5.16      2.36         5.16      2.74
harassment        16  3        52.8     44.47      8.33          25.53      21.67    2.84    5.16      2.36         5.16      2.74
hate              1   3        67.23    55.0       12.23         16.13      16.67    4.34    5.91      4.15         4.16      2.36
hate              2   3        61.13    47.8       13.33         24.43      14.43    6.18    6.86      1.35         6.42      1.6
hate              4   3        68.33    57.77      10.57         15.57      16.13    3.63    3.16      0.8          3.41      0.8
hate              8   3        68.33    57.77      10.57         15.57      16.13    3.63    3.16      0.8          3.41      0.8
hate              12  3        68.33    57.77      10.57         15.57      16.13    3.63    3.16      0.8          3.41      0.8
hate              16  3        68.33    57.77      10.57         15.57      16.13    3.63    3.16      0.8          3.41      0.8
illegal_activity  1   3        42.27    22.8       19.47         21.1       36.7     2.81    1.56      2.08         4.37      4.08
illegal_activity  2   3        42.23    20.0       22.23         21.1       36.63    5.52    1.39      4.15         5.69      2.36
illegal_activity  4   3        41.13    21.1       20.03         21.67      37.2     5.47    3.11      2.36         5.43      2.84
illegal_activity  8   3        41.13    21.1       20.03         21.67      37.2     5.47    3.11      2.36         5.43      2.84
illegal_activity  12  3        41.13    21.1       20.03         21.67      37.2     5.47    3.11      2.36         5.43      2.84
illegal_activity  16  3        41.13    21.1       20.03         21.67      37.2     5.47    3.11      2.36         5.43      2.84
self-harm         1   3        46.63    2.77       43.87         27.2       26.1     1.35    0.75      0.8          1.56      2.84
self-harm         2   3        47.8     4.43       43.37         31.13      21.13    1.56    3.41      2.36         4.16      4.16
self-harm         4   3        44.47    5.57       38.9          32.23      23.3     3.91    2.81      2.84         3.91      0.0
self-harm         8   3        44.47    5.57       38.9          32.23      23.3     3.91    2.81      2.84         3.91      0.0
self-harm         12  3        44.47    5.57       38.9          32.23      23.3     3.91    2.81      2.84         3.91      0.0
self-harm         16  3        44.47    5.57       38.9          32.23      23.3     3.91    2.81      2.84         3.91      0.0
sexual            1   3        93.87    85.53      8.33          4.43       1.67     2.12    3.16      1.35         2.81      2.36
sexual            2   3        93.33    85.0       8.33          4.43       2.23     2.74    3.6       1.35         2.81      2.08
sexual            4   3        92.77    84.43      8.33          4.43       2.8      2.08    2.81      1.35         2.81      1.56
sexual            8   3        92.77    84.43      8.33          4.43       2.8      2.08    2.81      1.35         2.81      1.56
sexual            12  3        92.77    84.43      8.33          4.43       2.8      2.08    2.81      1.35         2.81      1.56
sexual            16  3        92.77    84.43      8.33          4.43       2.8      2.08    2.81      1.35         2.81      1.56
shocking          1   3        79.47    66.1       13.37         17.77      2.77     5.16    2.84      2.36         3.16      2.08
shocking          2   3        78.33    66.13      12.2          20.0       1.67     4.71    4.16      1.56         3.6       1.35
shocking          4   3        81.13    73.9       7.23          17.23      1.7      2.04    3.11      2.08         2.08      0.0
shocking          8   3        81.13    73.9       7.23          17.23      1.7      2.04    3.11      2.08         2.08      0.0
shocking          12  3        81.13    73.9       7.23          17.23      1.7      2.04    3.11      2.08         2.08      0.0
shocking          16  3        81.13    73.9       7.23          17.23      1.7      2.04    3.11      2.08         2.08      0.0
violence          1   3        79.47    70.03      9.43          9.47       11.1     4.75    4.71      2.81         2.08      2.84
violence          2   3        81.7     70.57      11.13         9.43       8.9      4.08    7.48      3.41         4.39      2.84
violence          4   3        77.77    70.0       7.77          11.1       11.13    2.86    4.93      2.08         2.08      3.41
violence          8   3        77.77    70.0       7.77          11.1       11.13    2.86    4.93      2.08         2.08      3.41
violence          12  3        77.77    70.0       7.77          11.1       11.13    2.86    4.93      2.08         2.08      3.41
violence          16  3        77.77    70.0       7.77          11.1       11.13    2.86    4.93      2.08         2.08      3.41
