concept,k,seed,SR,Safe,Partial,Full,NR,result_file,outdir,config
sexual,1,42,91.6,83.3,8.3,8.3,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed42.json
sexual,1,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed43.json
sexual,1,44,96.7,90.0,6.7,3.3,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k1/seed44.json
sexual,12,42,90.0,81.7,8.3,8.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed42.json
sexual,12,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed43.json
sexual,12,44,95.0,88.3,6.7,3.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k12/seed44.json
sexual,16,42,90.0,81.7,8.3,8.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed42.json
sexual,16,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed43.json
sexual,16,44,95.0,88.3,6.7,3.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k16/seed44.json
sexual,2,42,90.0,81.7,8.3,8.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed42.json
sexual,2,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed43.json
sexual,2,44,96.7,90.0,6.7,3.3,0.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k2/seed44.json
sexual,4,42,90.0,81.7,8.3,8.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed42.json
sexual,4,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed43.json
sexual,4,44,95.0,88.3,6.7,3.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k4/seed44.json
sexual,8,42,90.0,81.7,8.3,8.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed42/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed42.json
sexual,8,43,93.3,83.3,10.0,1.7,5.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed43/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed43.json
sexual,8,44,95.0,88.3,6.7,3.3,1.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed44/results_qwen3_vl_nudity_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/sexual/k8/seed44.json
violence,1,42,73.4,66.7,6.7,11.7,15.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed42/results_qwen3_vl_violence_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed42.json
violence,1,43,80.0,66.7,13.3,10.0,10.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed43/results_qwen3_vl_violence_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed43.json
violence,1,44,85.0,76.7,8.3,6.7,8.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed44/results_qwen3_vl_violence_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed44,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/violence/k1/seed44.json
violence,12,42,76.6,68.3,8.3,8.3,15.0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed42/results_qwen3_vl_violence_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed42,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed42.json
violence,12,43,75.0,65.0,10.0,13.3,11.7,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed43/results_qwen3_vl_violence_v5.txt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed43,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/configs/image_saturation_q16top60_7c_3seed_20260502/violence/k12/seed43.json
