concept	config_id	how_mode	cas_threshold	safety_scale	attn_threshold	img_attn_threshold	n_img_tokens	eval_concept	prompt_file	family_config	target_concepts_pipe	anchor_concepts_pipe	rationale
sexual	ainp_ss1.0_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
sexual	ainp_ss1.5_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
sexual	ainp_ss2.0_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	2.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
sexual	hyb_ss1.5_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	1.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX hybrid low scale; do not port SD1.4 ss=20+
sexual	hyb_ss2.0_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	2.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX hybrid low scale; do not port SD1.4 ss=20+
sexual	hyb_ss2.5_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	2.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX hybrid low scale; do not port SD1.4 ss=20+
sexual	hyb_ss3.0_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	3.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	FLUX hybrid low scale; do not port SD1.4 ss=20+
sexual	ainp_cas04_ss15_cas0.4_tt0.1_ia0.3_nt4	anchor_inpaint	0.4	1.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	CAS sensitivity check
violence	ainp_ss1.0_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.0	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
violence	ainp_ss1.5_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.5	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
violence	ainp_ss2.0_cas0.6_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	2.0	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	FLUX anchor low scale; prior FLUX bests live around 1.5-3.0
violence	hyb_ss1.5_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	1.5	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	FLUX hybrid low scale; do not port SD1.4 ss=20+
violence	hyb_ss2.0_cas0.6_tt0.1_ia0.3_nt4	hybrid	0.6	2.0	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	FLUX hybrid low scale; do not port SD1.4 ss=20+
