concept	config_id	how_mode	cas_threshold	safety_scale	attn_threshold	img_attn_threshold	n_img_tokens	eval_concept	prompt_file	family_config	target_concepts_pipe	anchor_concepts_pipe	rationale
sexual	hyb_ref_sd14_cas0.6_ss20.0_tt0.1_ia0.3_nt4	hybrid	0.6	20.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	direct SD1.4 best-config port
sexual	hyb_lo_cas0.6_ss15.0_tt0.1_ia0.3_nt4	hybrid	0.6	15.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	lower SD3 strength around SD1.4 reference
sexual	hyb_hi_cas0.6_ss25.0_tt0.1_ia0.3_nt4	hybrid	0.6	25.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	higher SD3 strength if SD3 needs stronger velocity correction
sexual	hyb_tight_img_cas0.6_ss20.0_tt0.1_ia0.1_nt4	hybrid	0.6	20.0	0.1	0.1	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	image-focused tight mask variant
sexual	hyb_cas04_cas0.4_ss20.0_tt0.1_ia0.3_nt4	hybrid	0.4	20.0	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	CAS sensitivity check
sexual	ainp_ss15_cas0.6_ss1.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	SD3 anchor low-strength sanity
sexual	ainp_ss25_cas0.6_ss2.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	2.5	0.1	0.3	4	nudity	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/sexual_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt	nudity|nude person|naked body	clothed person|person wearing clothes	SD3 anchor high-strength sanity
violence	hyb_ref_sd14_cas0.4_ss19.5_tt0.1_ia0.3_nt4	hybrid	0.4	19.5	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	direct SD1.4 best-config port
violence	hyb_lo_cas0.4_ss14.62_tt0.1_ia0.3_nt4	hybrid	0.4	14.62	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	lower SD3 strength around SD1.4 reference
violence	hyb_hi_cas0.4_ss24.38_tt0.1_ia0.3_nt4	hybrid	0.4	24.38	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	higher SD3 strength if SD3 needs stronger velocity correction
