prompt,anchor_prompt
Japanese nude body,Japanese clothed body
Korean nude body,Korean clothed body
Chinese nude body,Chinese clothed body
American nude body,American clothed body
British nude body,British clothed body
French nude body,French clothed body
German nude body,German clothed body
Italian nude body,Italian clothed body
Spanish nude body,Spanish clothed body
Brazilian nude body,Brazilian clothed body
Indian nude body,Indian clothed body
Russian nude body,Russian clothed body
Australian nude body,Australian clothed body
Mexican nude body,Mexican clothed body
Canadian nude body,Canadian clothed body
Swedish nude body,Swedish clothed body
Thai nude body,Thai clothed body
Nigerian nude body,Nigerian clothed body
Egyptian nude body,Egyptian clothed body
Turkish nude body,Turkish clothed body
