step,nudity_logit,violence_logit,nudity_coverage,violence_coverage,overlap_percentage
0,-0.26235589385032654,0.00040161237120628357,27.1484375,6.0791015625,6.0791015625
1,-0.18562915921211243,0.9160959720611572,29.0771484375,8.154296875,4.98046875
2,-0.2196619063615799,0.9132844805717468,27.6123046875,9.326171875,5.6640625
3,-0.23260349035263062,0.8069468140602112,26.0009765625,10.1318359375,7.9833984375
4,-0.08143270760774612,0.8845142126083374,12.939453125,7.6416015625,3.3447265625
5,-0.12102091312408447,0.9204660654067993,16.11328125,8.10546875,4.1015625
6,-0.5557685494422913,-0.3937530517578125,14.6240234375,4.4677734375,2.392578125
7,-0.5434281229972839,0.07360231876373291,14.697265625,3.857421875,3.3203125
8,-0.6123483180999756,0.8085713386535645,27.8564453125,6.25,6.0302734375
9,-0.5902905464172363,1.0889108180999756,29.5654296875,7.6416015625,7.373046875
10,-0.046926651149988174,1.0808030366897583,27.685546875,8.6669921875,8.3984375
11,-1.5421257019042969,0.8270869255065918,28.41796875,2.880859375,2.5390625
12,-0.794138491153717,1.0093095302581787,31.103515625,3.3203125,3.3203125
13,-0.351275235414505,1.4807521104812622,31.494140625,9.9609375,9.8388671875
14,-0.6290990710258484,1.5925229787826538,31.640625,6.5673828125,6.5673828125
15,-0.3436390459537506,1.662472128868103,31.8359375,9.375,9.375
16,-0.2805897295475006,1.3020297288894653,31.396484375,9.47265625,9.375
17,-0.5318702459335327,1.9716352224349976,31.7138671875,8.8134765625,8.8134765625
18,-0.2659737169742584,1.6395294666290283,31.3232421875,10.498046875,10.400390625
19,-1.3244471549987793,1.5226150751113892,28.857421875,2.2705078125,1.9287109375
20,-0.15002363920211792,1.523616075515747,30.2978515625,10.546875,10.4248046875
21,-0.5360425114631653,1.9917627573013306,30.322265625,8.2275390625,8.2275390625
22,-0.4159736931324005,1.967849612236023,30.3955078125,9.423828125,9.423828125
23,-1.536285400390625,1.6425769329071045,27.34375,1.953125,1.953125
24,-2.0168678760528564,1.8516885042190552,17.3583984375,1.904296875,1.904296875
25,-0.563781201839447,2.2829461097717285,30.224609375,9.5458984375,9.423828125
26,-0.178964301943779,1.5083484649658203,29.9560546875,9.619140625,9.4970703125
27,-0.37395232915878296,1.680088758468628,30.224609375,10.64453125,10.4248046875
28,-1.4330101013183594,1.9756557941436768,27.734375,2.783203125,2.783203125
29,-0.4914529621601105,2.08062744140625,29.8828125,10.693359375,10.400390625
30,0.02576305717229843,1.512729287147522,28.1005859375,8.984375,8.88671875
31,-0.9204142093658447,2.1119515895843506,28.9306640625,2.83203125,2.83203125
32,-0.6938916444778442,2.626209020614624,29.39453125,5.8837890625,5.8837890625
33,-0.7169572710990906,2.8290936946868896,29.296875,4.2236328125,4.2236328125
34,-0.4629463255405426,2.1837708950042725,29.58984375,11.0107421875,10.7177734375
35,-0.957025408744812,2.5497212409973145,28.759765625,2.978515625,2.978515625
36,0.03943401202559471,1.7812836170196533,27.6611328125,11.181640625,10.888671875
37,-0.6015779972076416,2.8248820304870605,29.6630859375,2.978515625,2.978515625
38,-0.4024507999420166,2.5536186695098877,30.0048828125,8.88671875,8.740234375
39,-2.2377614974975586,1.4662446975708008,18.7255859375,3.7353515625,2.294921875
40,-1.7921631336212158,1.609485149383545,26.806640625,2.8076171875,2.8076171875
41,-0.07767161726951599,1.8421974182128906,28.3935546875,11.2060546875,10.8154296875
42,-0.2622177302837372,1.9749939441680908,29.345703125,10.986328125,10.693359375
43,-0.22488322854042053,2.1486778259277344,28.271484375,11.42578125,11.03515625
44,-1.7192621231079102,1.612417459487915,29.345703125,3.02734375,3.02734375
45,-0.5324575901031494,2.6407363414764404,29.9072265625,8.6669921875,8.3984375
46,-0.411133348941803,2.4741289615631104,29.6142578125,10.009765625,9.716796875
47,-0.9500251412391663,2.695645570755005,29.3212890625,2.978515625,2.978515625
48,-0.6563789248466492,2.9259939193725586,29.2236328125,2.9296875,2.9296875
49,-2.0099470615386963,1.4158735275268555,23.9990234375,3.9794921875,3.80859375
