step,nudity_logit,violence_logit,nudity_coverage,violence_coverage,overlap_percentage
0,-0.20256878435611725,0.030249562114477158,24.31640625,5.9326171875,5.9326171875
1,-0.12047497928142548,0.9544378519058228,27.490234375,7.71484375,4.5654296875
2,-0.10851968079805374,0.9848099946975708,25.3662109375,8.544921875,4.9072265625
3,-0.065705806016922,0.904158353805542,23.0224609375,13.1103515625,9.326171875
4,-0.004365873988717794,0.9071767330169678,10.9619140625,6.6650390625,2.5146484375
5,0.024317048490047455,1.0201396942138672,13.916015625,6.689453125,3.1005859375
6,0.1569836288690567,-0.18523402512073517,5.029296875,4.8095703125,0.5615234375
7,0.3542265295982361,0.29839053750038147,6.0302734375,6.1279296875,0.1953125
8,0.20000146329402924,1.0668431520462036,21.9482421875,13.76953125,8.69140625
9,0.26179420948028564,1.2721465826034546,19.8486328125,10.05859375,6.5185546875
10,0.266292005777359,1.168082594871521,14.5751953125,6.005859375,4.8095703125
11,0.5197408199310303,0.526202917098999,8.69140625,8.8623046875,0.0
12,0.4400460124015808,1.1885968446731567,21.484375,13.18359375,6.3232421875
13,0.45529845356941223,1.561002492904663,20.8984375,7.2509765625,4.5166015625
14,0.5115154385566711,1.4760631322860718,21.875,9.2041015625,3.369140625
15,0.4887399971485138,1.6538097858428955,20.6298828125,7.421875,4.00390625
16,0.49072664976119995,1.4673086404800415,13.5986328125,5.8837890625,3.7353515625
17,0.5801094770431519,1.7357748746871948,9.326171875,7.91015625,1.1474609375
18,0.5898433327674866,1.7627439498901367,6.7138671875,6.93359375,0.29296875
19,1.0254933834075928,0.923624575138092,10.7421875,16.6748046875,0.0
20,0.5918489098548889,1.7570239305496216,4.0283203125,6.7138671875,0.0
21,0.7829740643501282,1.8423960208892822,9.7900390625,9.08203125,0.0
22,0.7706990838050842,1.893309235572815,8.740234375,8.88671875,0.0
23,1.23012375831604,1.092503309249878,12.9638671875,13.8671875,0.0
24,1.5965585708618164,0.8171369433403015,14.697265625,11.0595703125,0.0
25,0.8612063527107239,1.9348154067993164,10.009765625,9.716796875,0.0
26,0.7869994044303894,1.7930290699005127,6.73828125,6.396484375,0.0
27,0.8302658200263977,1.969252586364746,8.30078125,7.2021484375,0.0
28,1.348682165145874,1.4355789422988892,14.6240234375,11.1572265625,0.0
29,0.9475551843643188,2.0756237506866455,10.8154296875,9.1064453125,0.0
30,0.7290176749229431,1.8269788026809692,3.7109375,6.4208984375,0.0
31,1.156707525253296,1.6015024185180664,13.8427734375,10.83984375,0.0
32,1.0400512218475342,2.0410778522491455,12.2802734375,11.23046875,0.0
33,1.104065179824829,1.9785584211349487,13.2568359375,11.5234375,0.0
34,0.9955467581748962,2.1457297801971436,10.9130859375,9.912109375,0.0
35,1.2853150367736816,1.9062179327011108,15.1611328125,10.791015625,0.0
36,0.7757418155670166,2.104851484298706,4.00390625,8.30078125,0.0
37,1.104954719543457,1.9496572017669678,13.0126953125,11.03515625,0.0
38,1.0566785335540771,2.1348726749420166,11.669921875,11.23046875,0.0
39,1.8882150650024414,-0.06303224712610245,19.6533203125,3.7353515625,0.0
40,1.9194071292877197,1.0344971418380737,18.212890625,9.326171875,0.0
41,0.8606517314910889,2.1565613746643066,6.1767578125,8.59375,0.0
42,0.981910228729248,2.219867706298828,9.619140625,9.375,0.0
43,0.8797934055328369,2.238351821899414,7.03125,10.05859375,0.0
44,1.8992273807525635,0.633171558380127,18.06640625,7.763671875,0.0
45,1.2045421600341797,2.192359447479248,14.16015625,11.5478515625,0.0
46,1.0665581226348877,2.2088851928710938,11.4501953125,11.1572265625,0.0
47,1.4892840385437012,1.6869604587554932,16.650390625,10.7177734375,0.0
48,1.2362074851989746,1.8684312105178833,14.208984375,11.1572265625,0.0
49,2.2965950965881348,0.47386863827705383,18.5791015625,6.8359375,0.0
