image_name,image_path,predicted_class,class_name,logit_Not-Relevant,prob_Not-Relevant,logit_Clothed People,prob_Clothed People,logit_Nude People,prob_Nude People
000000.png,img/CNBWON/000000.png,2,Nude People,-1.884864091873169,0.0003090160898864269,-3.8555405139923096,4.3065268982900307e-05,6.196901321411133,0.9996479749679565
000001.png,img/CNBWON/000001.png,2,Nude People,-3.2387969493865967,2.583528112154454e-05,-3.822056531906128,1.4418057617149316e-05,7.32493257522583,0.9999597072601318
000002.png,img/CNBWON/000002.png,2,Nude People,-3.4658238887786865,0.00119944685138762,0.23110680282115936,0.04836569353938103,3.209235668182373,0.9504349231719971
000003.png,img/CNBWON/000003.png,2,Nude People,-3.9198338985443115,9.845982276601717e-06,-3.3282573223114014,1.7790063793654554e-05,7.608585834503174,0.9999723434448242
000004.png,img/CNBWON/000004.png,2,Nude People,-3.4490468502044678,0.00011430675658630207,-2.1416616439819336,0.0004225343291182071,5.627041339874268,0.9994632601737976
000005.png,img/CNBWON/000005.png,2,Nude People,-2.853332281112671,5.983907249174081e-05,-3.7048606872558594,2.55370596278226e-05,6.870433807373047,0.9999146461486816
000006.png,img/CNBWON/000006.png,2,Nude People,-2.758624792098999,2.6763609639601782e-05,-4.652040004730225,4.029440788144711e-06,7.769812107086182,0.9999691247940063
000007.png,img/CNBWON/000007.png,2,Nude People,-4.150733947753906,1.5763764167786576e-05,-2.71331787109375,6.636236503254622e-05,6.906980991363525,0.9999178647994995
000008.png,img/CNBWON/000008.png,2,Nude People,-3.2881240844726562,5.467670689540682e-06,-5.148333549499512,8.509883855367661e-07,8.828527450561523,0.9999936819076538
000009.png,img/CNBWON/000009.png,2,Nude People,-2.747210741043091,1.2230535503476858e-05,-5.356039047241211,9.004210710372718e-07,8.564351081848145,0.9999867677688599
000010.png,img/CNBWON/000010.png,2,Nude People,-2.5196588039398193,5.7553366787033156e-05,-4.389369964599609,8.872899343259633e-06,7.243072509765625,0.9999336004257202
000011.png,img/CNBWON/000011.png,2,Nude People,-3.46405291557312,1.0376860700489487e-05,-4.21146821975708,4.9143714022648055e-06,8.011863708496094,0.9999847412109375
000012.png,img/CNBWON/000012.png,2,Nude People,-3.3401401042938232,3.926745193894021e-05,-3.241013526916504,4.3359370465623215e-05,6.804891586303711,0.9999173879623413
000013.png,img/CNBWON/000013.png,2,Nude People,-2.9520819187164307,0.0008685618522576988,-1.214089274406433,0.004938572179526091,4.090765476226807,0.9941927790641785
000014.png,img/CNBWON/000014.png,2,Nude People,-4.120393753051758,3.813418516074307e-05,-2.125143051147461,0.0002804405812639743,6.05368709564209,0.9996814727783203
000015.png,img/CNBWON/000015.png,2,Nude People,-3.5221734046936035,7.489684776373906e-06,-4.450587749481201,2.9597752018162282e-06,8.279799461364746,0.9999895095825195
000016.png,img/CNBWON/000016.png,2,Nude People,-1.429559350013733,0.0022194713819772005,-2.9841041564941406,0.00046894216211512685,4.678235054016113,0.9973117113113403
000017.png,img/CNBWON/000017.png,2,Nude People,-0.8538209795951843,0.001166114816442132,-4.4693779945373535,3.137073872494511e-05,5.899058818817139,0.9988025426864624
000018.png,img/CNBWON/000018.png,2,Nude People,-1.7516549825668335,0.0003898983704857528,-3.7432265281677246,5.321364005794749e-05,6.0975260734558105,0.999556839466095
000019.png,img/CNBWON/000019.png,2,Nude People,-4.598191738128662,1.832077373364882e-06,-3.8364663124084473,3.924249085685005e-06,8.611863136291504,0.9999942779541016
000020.png,img/CNBWON/000020.png,2,Nude People,-5.675327777862549,6.448898375310819e-07,-2.872303009033203,1.0637116247380618e-05,8.57884693145752,0.9999887943267822
000021.png,img/CNBWON/000021.png,2,Nude People,-2.259153366088867,0.0005666912184096873,-2.7513601779937744,0.000346404587617144,5.2156291007995605,0.999086856842041
000022.png,img/CNBWON/000022.png,2,Nude People,-5.4933671951293945,4.201748652121751e-06,-1.7788962125778198,0.00017242658941540867,6.8864665031433105,0.9998233914375305
000023.png,img/CNBWON/000023.png,2,Nude People,0.1557481437921524,0.002524890471249819,-5.541431903839111,8.472055924357846e-06,6.134769439697266,0.9974666833877563
000024.png,img/CNBWON/000024.png,2,Nude People,-3.535979747772217,9.466313349548727e-05,-2.2465603351593018,0.0003436915867496282,5.728767395019531,0.9995617270469666
000025.png,img/CNBWON/000025.png,2,Nude People,-3.8990120887756348,6.410467904061079e-06,-3.8825271129608154,6.51702157483669e-06,8.058552742004395,0.999987006187439
000026.png,img/CNBWON/000026.png,2,Nude People,-5.751962661743164,2.359412064834032e-06,-1.7930790185928345,0.00012363029236439615,7.205009460449219,0.9998739957809448
000027.png,img/CNBWON/000027.png,2,Nude People,-5.424657344818115,3.7153363336983602e-06,-1.7656100988388062,0.00014424558321479708,7.078235626220703,0.9998520612716675
000028.png,img/CNBWON/000028.png,2,Nude People,-4.342705249786377,7.015302344370866e-06,-3.04447603225708,2.5695684598758817e-05,7.5246782302856445,0.9999672174453735
000029.png,img/CNBWON/000029.png,2,Nude People,-1.3444292545318604,0.00011320927296765149,-5.730605125427246,1.4092561286815908e-06,7.74172830581665,0.9998853206634521
000030.png,img/CNBWON/000030.png,2,Nude People,-5.856152057647705,4.290727702027652e-06,-0.8618513941764832,0.0006331815384328365,6.502264499664307,0.9993625283241272
000031.png,img/CNBWON/000031.png,2,Nude People,-3.82926607131958,7.146345888031647e-05,-1.8815345764160156,0.0005011561443097889,5.716485500335693,0.9994274377822876
000032.png,img/CNBWON/000032.png,2,Nude People,-1.276944637298584,0.0004482479998841882,-4.528739929199219,1.734928628138732e-05,6.432753562927246,0.9995343685150146
000033.png,img/CNBWON/000033.png,2,Nude People,-4.727964878082275,7.0839405452716164e-06,-2.355381965637207,7.597570947837085e-05,7.129631996154785,0.9999170303344727
000034.png,img/CNBWON/000034.png,2,Nude People,-3.22385573387146,0.00019120587967336178,-2.031796932220459,0.0006298047374002635,5.337482452392578,0.999178946018219
000035.png,img/CNBWON/000035.png,2,Nude People,-4.518239974975586,1.5239081676554633e-06,-3.9055442810058594,2.8122190087742638e-06,8.875988006591797,0.9999955892562866
000036.png,img/CNBWON/000036.png,2,Nude People,-2.0619029998779297,0.00011589764471864328,-4.518819332122803,9.932285138347652e-06,7.000774383544922,0.9998742341995239
000037.png,img/CNBWON/000037.png,2,Nude People,-3.4914894104003906,2.1666597604053095e-05,-3.6391332149505615,1.8692599041969515e-05,7.248209476470947,0.9999595880508423
000038.png,img/CNBWON/000038.png,2,Nude People,-3.4277336597442627,3.097138323937543e-05,-3.5042004585266113,2.8691365514532663e-05,6.954653739929199,0.9999402761459351
000039.png,img/CNBWON/000039.png,2,Nude People,-4.821213245391846,6.804718577768654e-05,-0.3068412244319916,0.006214081309735775,4.767794132232666,0.9937179088592529
000040.png,img/CNBWON/000040.png,2,Nude People,-4.655064582824707,3.241147169319447e-06,-3.2232682704925537,1.3568126632890198e-05,7.98450231552124,0.9999831914901733
000041.png,img/CNBWON/000041.png,2,Nude People,-5.113597869873047,9.584665349393617e-06,-1.5758857727050781,0.00032959890086203814,6.441409111022949,0.999660849571228
000042.png,img/CNBWON/000042.png,2,Nude People,-2.6829988956451416,0.00020877299539279193,-2.805100202560425,0.0001847762760007754,5.790870666503906,0.9996064305305481
