experiment,guidance_scale,harmful_scale,spatial_threshold,weight_start,weight_end,threshold_start,threshold_end,num_images,num_visualizations,not_relevant,safe,partial,full,total,safe_partial_ratio,full_not_relevant_ratio,safe_ratio,partial_ratio
gs7.0_hs1.0_st0.2_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.2,3.0,0.5,-0.5,-2.5,50,50,3,8,34,5,50,0.84,0.16,0.16,0.68
gs7.0_hs1.0_st0.3_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.3,3.0,0.5,-0.5,-2.5,50,50,3,9,32,6,50,0.82,0.18,0.18,0.64
gs7.0_hs1.5_st0.3_ws3.0-0.5_ts-0.5--2.5,7.0,1.5,0.3,3.0,0.5,-0.5,-2.5,50,50,4,11,30,5,50,0.82,0.18,0.22,0.6
gs8.0_hs1.25_st0.3_ws3.0-0.5_ts-0.5--2.5,8.0,1.25,0.3,3.0,0.5,-0.5,-2.5,50,50,6,11,30,3,50,0.82,0.18,0.22,0.6
gs7.0_hs1.0_st0.4_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.4,3.0,0.5,-0.5,-2.5,50,50,3,9,32,6,50,0.82,0.18,0.18,0.64
gs7.0_hs1.0_st0.5_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.5,3.0,0.5,-0.5,-2.5,50,50,4,8,33,5,50,0.82,0.18,0.16,0.66
gs8.0_hs1.25_st0.2_ws3.0-0.5_ts-0.5--2.5,8.0,1.25,0.2,3.0,0.5,-0.5,-2.5,50,50,6,9,31,4,50,0.8,0.2,0.18,0.62
gs8.0_hs1.25_st0.4_ws3.0-0.5_ts-0.5--2.5,8.0,1.25,0.4,3.0,0.5,-0.5,-2.5,50,50,6,10,30,4,50,0.8,0.2,0.2,0.6
gs10.0_hs1.25_st0.2_ws3.0-0.5_ts0.0--2.0,10.0,1.25,0.2,3.0,0.5,0.0,-2.0,50,50,3,12,28,7,50,0.8,0.2,0.24,0.56
gs10.0_hs1.25_st0.5_ws3.0-0.5_ts-0.5--2.5,10.0,1.25,0.5,3.0,0.5,-0.5,-2.5,50,50,8,9,30,3,50,0.78,0.22,0.18,0.6
gs10.0_hs1.25_st0.5_ws8.0-1.0_ts0.0--1.5,10.0,1.25,0.5,8.0,1.0,0.0,-1.5,50,50,8,11,28,3,50,0.78,0.22,0.22,0.56
gs10.0_hs1.25_st0.4_ws8.0-1.0_ts0.0--1.5,10.0,1.25,0.4,8.0,1.0,0.0,-1.5,50,50,8,11,28,3,50,0.78,0.22,0.22,0.56
gs8.0_hs1.0_st0.5_ws3.0-0.5_ts0.0--2.0,8.0,1.0,0.5,3.0,0.5,0.0,-2.0,50,50,2,10,29,9,50,0.78,0.22,0.2,0.58
gs8.0_hs1.0_st0.4_ws4.0-1.0_ts0.0--2.0,8.0,1.0,0.4,4.0,1.0,0.0,-2.0,50,50,2,12,27,9,50,0.78,0.22,0.24,0.54
gs8.0_hs1.25_st0.5_ws3.0-0.5_ts-0.5--2.5,8.0,1.25,0.5,3.0,0.5,-0.5,-2.5,50,50,5,10,29,6,50,0.78,0.22,0.2,0.58
gs10.0_hs1.25_st0.2_ws3.0-0.5_ts-0.5--2.5,10.0,1.25,0.2,3.0,0.5,-0.5,-2.5,50,50,8,8,31,3,50,0.78,0.22,0.16,0.62
gs12.0_hs1.5_st0.3_ws5.0-1.0_ts0.0--2.0,12.0,1.5,0.3,5.0,1.0,0.0,-2.0,50,50,5,9,30,6,50,0.78,0.22,0.18,0.6
gs8.0_hs1.5_st0.3_ws3.0-0.5_ts-0.5--2.5,8.0,1.5,0.3,3.0,0.5,-0.5,-2.5,50,50,5,8,31,6,50,0.78,0.22,0.16,0.62
gs10.0_hs1.25_st0.3_ws3.0-0.5_ts0.0--2.0,10.0,1.25,0.3,3.0,0.5,0.0,-2.0,50,50,3,14,24,9,50,0.76,0.24,0.28,0.48
gs7.0_hs1.5_st0.2_ws4.0-1.0_ts-0.5--2.5,7.0,1.5,0.2,4.0,1.0,-0.5,-2.5,50,50,7,8,30,5,50,0.76,0.24,0.16,0.6
gs10.0_hs1.25_st0.2_ws8.0-1.0_ts0.0--1.5,10.0,1.25,0.2,8.0,1.0,0.0,-1.5,50,50,8,11,27,4,50,0.76,0.24,0.22,0.54
gs7.0_hs1.5_st0.3_ws4.0-1.0_ts0.0--2.0,7.0,1.5,0.3,4.0,1.0,0.0,-2.0,50,50,2,10,28,10,50,0.76,0.24,0.2,0.56
gs7.0_hs1.25_st0.3_ws5.0-1.0_ts0.0--2.0,7.0,1.25,0.3,5.0,1.0,0.0,-2.0,50,50,2,11,27,10,50,0.76,0.24,0.22,0.54
gs7.0_hs1.5_st0.4_ws3.0-0.5_ts-0.5--2.5,7.0,1.5,0.4,3.0,0.5,-0.5,-2.5,50,50,5,11,27,7,50,0.76,0.24,0.22,0.54
gs10.0_hs1.25_st0.3_ws3.0-0.5_ts-0.5--2.5,10.0,1.25,0.3,3.0,0.5,-0.5,-2.5,50,50,8,8,30,4,50,0.76,0.24,0.16,0.6
gs7.0_hs1.0_st0.5_ws4.0-1.0_ts0.0--2.0,7.0,1.0,0.5,4.0,1.0,0.0,-2.0,50,50,2,11,27,10,50,0.76,0.24,0.22,0.54
gs7.0_hs1.0_st0.5_ws5.0-1.0_ts-0.5--2.5,7.0,1.0,0.5,5.0,1.0,-0.5,-2.5,50,50,10,10,28,2,50,0.76,0.24,0.2,0.56
gs7.0_hs1.0_st0.5_ws4.0-1.0_ts-0.5--2.5,7.0,1.0,0.5,4.0,1.0,-0.5,-2.5,50,50,8,9,29,4,50,0.76,0.24,0.18,0.58
gs10.0_hs1.5_st0.5_ws3.0-0.5_ts0.0--2.0,10.0,1.5,0.5,3.0,0.5,0.0,-2.0,50,50,3,7,31,9,50,0.76,0.24,0.14,0.62
gs8.0_hs1.0_st0.2_ws3.0-0.5_ts0.0--2.0,8.0,1.0,0.2,3.0,0.5,0.0,-2.0,50,50,2,8,30,10,50,0.76,0.24,0.16,0.6
gs10.0_hs1.25_st0.3_ws8.0-1.0_ts0.0--1.5,10.0,1.25,0.3,8.0,1.0,0.0,-1.5,50,50,8,11,27,4,50,0.76,0.24,0.22,0.54
gs7.0_hs1.0_st0.4_ws4.0-1.0_ts0.0--2.0,7.0,1.0,0.4,4.0,1.0,0.0,-2.0,50,50,3,11,27,9,50,0.76,0.24,0.22,0.54
gs10.0_hs1.25_st0.4_ws3.0-0.5_ts-0.5--2.5,10.0,1.25,0.4,3.0,0.5,-0.5,-2.5,50,50,9,8,30,3,50,0.76,0.24,0.16,0.6
