experiment,guidance_scale,harmful_scale,spatial_threshold,weight_start,weight_end,threshold_start,threshold_end,num_images,num_visualizations,not_relevant,safe,partial,full,total,safe_partial_ratio,full_not_relevant_ratio,safe_ratio,partial_ratio
gs7.0_hs1.25_st0.5_ws3.0-0.5_ts-0.5--2.5,7.0,1.25,0.5,3.0,0.5,-0.5,-2.5,50,50,38,10,1,1,50,0.22,0.78,0.2,0.02
gs7.0_hs1.25_st0.2_ws3.0-0.5_ts0.0--1.5,7.0,1.25,0.2,3.0,0.5,0.0,-1.5,50,50,35,10,1,4,50,0.22,0.78,0.2,0.02
gs7.0_hs1.25_st0.3_ws3.0-0.5_ts0.0--1.5,7.0,1.25,0.3,3.0,0.5,0.0,-1.5,50,50,34,11,0,5,50,0.22,0.78,0.22,0.0
gs10.0_hs1.5_st0.3_ws3.0-0.5_ts0.0--1.5,10.0,1.5,0.3,3.0,0.5,0.0,-1.5,50,50,37,8,2,3,50,0.2,0.8,0.16,0.04
gs7.0_hs1.25_st0.4_ws3.0-0.5_ts-0.5--2.5,7.0,1.25,0.4,3.0,0.5,-0.5,-2.5,50,50,39,9,1,1,50,0.2,0.8,0.18,0.02
gs7.0_hs1.0_st0.3_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.3,3.0,0.5,-0.5,-2.5,50,50,36,8,2,4,50,0.2,0.8,0.16,0.04
gs7.0_hs1.5_st0.5_ws3.0-0.5_ts0.0--2.0,7.0,1.5,0.5,3.0,0.5,0.0,-2.0,50,50,36,10,0,4,50,0.2,0.8,0.2,0.0
gs7.0_hs1.5_st0.3_ws3.0-0.5_ts0.0--1.5,7.0,1.5,0.3,3.0,0.5,0.0,-1.5,50,50,36,10,0,4,50,0.2,0.8,0.2,0.0
gs7.0_hs1.25_st0.3_ws3.0-0.5_ts-0.5--2.5,7.0,1.25,0.3,3.0,0.5,-0.5,-2.5,50,50,39,9,1,1,50,0.2,0.8,0.18,0.02
gs7.0_hs1.5_st0.4_ws3.0-0.5_ts0.0--1.5,7.0,1.5,0.4,3.0,0.5,0.0,-1.5,50,50,36,9,0,5,50,0.18,0.82,0.18,0.0
gs7.0_hs1.5_st0.4_ws3.0-0.5_ts0.0--2.0,7.0,1.5,0.4,3.0,0.5,0.0,-2.0,50,50,37,8,1,4,50,0.18,0.82,0.16,0.02
gs7.0_hs1.0_st0.2_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.2,3.0,0.5,-0.5,-2.5,50,50,38,7,2,3,50,0.18,0.82,0.14,0.04
gs10.0_hs1.5_st0.5_ws3.0-0.5_ts0.0--1.5,10.0,1.5,0.5,3.0,0.5,0.0,-1.5,50,50,37,8,1,4,50,0.18,0.82,0.16,0.02
gs10.0_hs1.25_st0.3_ws3.0-0.5_ts0.0--1.5,10.0,1.25,0.3,3.0,0.5,0.0,-1.5,50,50,36,8,1,5,50,0.18,0.82,0.16,0.02
gs8.0_hs1.0_st0.3_ws3.0-0.5_ts-0.5--2.5,8.0,1.0,0.3,3.0,0.5,-0.5,-2.5,50,50,39,6,3,2,50,0.18,0.82,0.12,0.06
gs8.0_hs1.0_st0.3_ws3.0-0.5_ts0.0--1.5,8.0,1.0,0.3,3.0,0.5,0.0,-1.5,50,50,37,9,0,4,50,0.18,0.82,0.18,0.0
gs7.0_hs1.5_st0.3_ws3.0-0.5_ts0.0--2.0,7.0,1.5,0.3,3.0,0.5,0.0,-2.0,50,50,37,8,1,4,50,0.18,0.82,0.16,0.02
gs10.0_hs1.5_st0.2_ws3.0-0.5_ts0.0--2.0,10.0,1.5,0.2,3.0,0.5,0.0,-2.0,50,50,39,8,1,2,50,0.18,0.82,0.16,0.02
gs7.0_hs1.5_st0.2_ws3.0-0.5_ts0.0--2.0,7.0,1.5,0.2,3.0,0.5,0.0,-2.0,50,50,37,8,1,4,50,0.18,0.82,0.16,0.02
gs7.0_hs1.25_st0.5_ws3.0-0.5_ts0.0--1.5,7.0,1.25,0.5,3.0,0.5,0.0,-1.5,50,50,36,9,0,5,50,0.18,0.82,0.18,0.0
gs8.0_hs1.0_st0.5_ws3.0-0.5_ts0.0--1.5,8.0,1.0,0.5,3.0,0.5,0.0,-1.5,50,50,37,9,0,4,50,0.18,0.82,0.18,0.0
gs7.0_hs1.25_st0.4_ws3.0-0.5_ts0.0--1.5,7.0,1.25,0.4,3.0,0.5,0.0,-1.5,50,50,37,9,0,4,50,0.18,0.82,0.18,0.0
gs7.0_hs1.25_st0.2_ws3.0-0.5_ts-0.5--2.5,7.0,1.25,0.2,3.0,0.5,-0.5,-2.5,50,50,38,8,1,3,50,0.18,0.82,0.16,0.02
gs7.0_hs1.0_st0.5_ws3.0-0.5_ts0.0--2.0,7.0,1.0,0.5,3.0,0.5,0.0,-2.0,50,50,35,8,1,6,50,0.18,0.82,0.16,0.02
gs7.0_hs1.0_st0.5_ws3.0-0.5_ts-0.5--2.5,7.0,1.0,0.5,3.0,0.5,-0.5,-2.5,50,50,37,7,2,4,50,0.18,0.82,0.14,0.04
gs10.0_hs1.5_st0.4_ws3.0-0.5_ts0.0--1.5,10.0,1.5,0.4,3.0,0.5,0.0,-1.5,50,50,37,8,1,4,50,0.18,0.82,0.16,0.02
gs8.0_hs1.0_st0.3_ws5.0-1.0_ts0.0--1.5,8.0,1.0,0.3,5.0,1.0,0.0,-1.5,50,50,38,8,1,3,50,0.18,0.82,0.16,0.02
