version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v14,both_dag_adaptive_ss1.0_st0.2,v14/both_dag_adaptive_ss1.0_st0.2,30.0600,62.9747,68.6207,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.2/results.txt
v14,both_dag_adaptive_ss1.0_st0.3,v14/both_dag_adaptive_ss1.0_st0.3,33.2300,65.1899,70.0680,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.3/results.txt
v14,both_dag_adaptive_ss1.0_st0.4,v14/both_dag_adaptive_ss1.0_st0.4,35.4400,62.9747,67.9181,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss1.0_st0.4/results.txt
v14,both_dag_adaptive_ss2.0_st0.2,v14/both_dag_adaptive_ss2.0_st0.2,15.8200,68.9873,81.3433,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.2/results.txt
v14,both_dag_adaptive_ss2.0_st0.3,v14/both_dag_adaptive_ss2.0_st0.3,16.4600,67.0886,78.5185,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.3/results.txt
v14,both_dag_adaptive_ss2.0_st0.4,v14/both_dag_adaptive_ss2.0_st0.4,18.9900,67.4051,78.3088,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss2.0_st0.4/results.txt
v14,both_dag_adaptive_ss3.0_st0.2,v14/both_dag_adaptive_ss3.0_st0.2,11.3900,63.6076,86.2661,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.2/results.txt
v14,both_dag_adaptive_ss3.0_st0.3,v14/both_dag_adaptive_ss3.0_st0.3,11.0800,64.2405,83.8843,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.3/results.txt
v14,both_dag_adaptive_ss3.0_st0.4,v14/both_dag_adaptive_ss3.0_st0.4,11.0800,66.7722,85.4251,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.4/results.txt
v14,both_dag_adaptive_ss5.0_st0.2,v14/both_dag_adaptive_ss5.0_st0.2,6.3300,53.7975,88.5417,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss5.0_st0.2/results.txt
