version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v17,text_dag_adaptive_ss5.0_st0.3_fused,v17/text_dag_adaptive_ss5.0_st0.3_fused,2.8500,10.4430,82.5000,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss5.0_st0.3_fused,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss5.0_st0.3_fused/results_qwen_nudity.txt
v14,image_dag_adaptive_ss5.0_st0.2,v14/image_dag_adaptive_ss5.0_st0.2,3.1600,13.6076,87.7551,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.2/results.txt
v14,image_dag_adaptive_ss5.0_st0.3,v14/image_dag_adaptive_ss5.0_st0.3,3.4800,14.5570,86.7925,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss5.0_st0.3/results.txt
v17,image_dag_adaptive_ss1.0_st0.3_probe_only,v17/image_dag_adaptive_ss1.0_st0.3_probe_only,3.8000,30.3797,88.0734,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_dag_adaptive_ss1.0_st0.3_probe_only,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_dag_adaptive_ss1.0_st0.3_probe_only/results_qwen_nudity.txt
v14,image_dag_adaptive_ss1.0_st0.3,v14/image_dag_adaptive_ss1.0_st0.3,4.1100,34.1772,90.0000,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.3/results.txt
v14,image_dag_adaptive_ss1.0_st0.4,v14/image_dag_adaptive_ss1.0_st0.4,4.7500,37.3418,89.3939,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.4/results.txt
v14,both_dag_adaptive_ss5.0_st0.4,v14/both_dag_adaptive_ss5.0_st0.4,6.0100,62.9747,89.2377,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss5.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss5.0_st0.4/results.txt
v14,both_dag_adaptive_ss3.0_st0.4,v14/both_dag_adaptive_ss3.0_st0.4,11.0800,66.7722,85.4251,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_dag_adaptive_ss3.0_st0.4/results.txt
v15,text_dag_adaptive_ss5.0_st0.4_np16,v15/text_dag_adaptive_ss5.0_st0.4_np16,12.9700,70.5696,85.7692,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v15/ringabell_text_dag_adaptive_ss5.0_st0.4_np16,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v15/ringabell_text_dag_adaptive_ss5.0_st0.4_np16/results.txt
v17,text_dag_adaptive_ss5.0_st0.4_probe_only,v17/text_dag_adaptive_ss5.0_st0.4_probe_only,12.9700,70.5696,85.7692,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss5.0_st0.4_probe_only,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss5.0_st0.4_probe_only/results_qwen_nudity.txt
v15,text_dag_adaptive_ss3.0_st0.4_np16,v15/text_dag_adaptive_ss3.0_st0.4_np16,19.9400,72.7848,81.2721,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v15/ringabell_text_dag_adaptive_ss3.0_st0.4_np16,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v15/ringabell_text_dag_adaptive_ss3.0_st0.4_np16/results.txt
v17,text_dag_adaptive_ss3.0_st0.4_probe_only,v17/text_dag_adaptive_ss3.0_st0.4_probe_only,19.9400,72.7848,81.2721,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss3.0_st0.4_probe_only,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_text_dag_adaptive_ss3.0_st0.4_probe_only/results_qwen_nudity.txt
v17,image_hybrid_ss5.0_st0.2_fused,v17/image_hybrid_ss5.0_st0.2_fused,27.8500,76.5823,79.8680,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_hybrid_ss5.0_st0.2_fused,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_hybrid_ss5.0_st0.2_fused/results_qwen_nudity.txt
v17,image_hybrid_ss5.0_st0.3_fused,v17/image_hybrid_ss5.0_st0.3_fused,28.4800,77.8481,81.4570,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_hybrid_ss5.0_st0.3_fused,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v17/ringabell_image_hybrid_ss5.0_st0.3_fused/results_qwen_nudity.txt
