Model,Time Windows,Budget,Dataset,Metric,Value
SGF,"[1.0, 0.6]",0.015,CoCo,FID,27.18177302
SGF,"[1.0, 0.6]",0.015,CoCo,CLIP,30.09646606
SGF,"[1.0, 0.6]",0.015,CoCo,KID,0.007690918166
SGF,"[1.0, 0.6]",0.015,CoCo,logKID,-4.867715105
SGF,"[1.0, 0.4]",0.01,CoCo,FID,23.73393213
SGF,"[1.0, 0.4]",0.01,CoCo,CLIP,30.36370277
SGF,"[1.0, 0.4]",0.01,CoCo,KID,0.006227240432
SGF,"[1.0, 0.4]",0.01,CoCo,logKID,-5.078821993
SGF,"[1.0, 0.2]",0.0075,CoCo,FID,27.65933904
SGF,"[1.0, 0.2]",0.0075,CoCo,CLIP,30.2521286
SGF,"[1.0, 0.2]",0.0075,CoCo,KID,0.008384304121
SGF,"[1.0, 0.2]",0.0075,CoCo,logKID,-4.781393878
SGF,"[1.0, 0.05]",6.00E-03,CoCo,FID,34.18361379
SGF,"[1.0, 0.05]",6.00E-03,CoCo,CLIP,30.14577866
SGF,"[1.0, 0.05]",6.00E-03,CoCo,KID,0.01111531258
SGF,"[1.0, 0.05]",6.00E-03,CoCo,logKID,-4.49943161
SGF,"[0.8, 0.6]",0.03,CoCo,FID,25.20748098
SGF,"[0.8, 0.6]",0.03,CoCo,CLIP,30.53293419
SGF,"[0.8, 0.6]",0.03,CoCo,KID,0.006573211867
SGF,"[0.8, 0.6]",0.03,CoCo,logKID,-5.024752697
SGF,"[0.6, 0.4]",0.03,CoCo,FID,20.53430258
SGF,"[0.6, 0.4]",0.03,CoCo,CLIP,30.93218422
SGF,"[0.6, 0.4]",0.03,CoCo,KID,0.004806098994
SGF,"[0.6, 0.4]",0.03,CoCo,logKID,-5.337869544
SGF,"[0.4, 0.2]",0.03,CoCo,FID,24.67964326
SGF,"[0.4, 0.2]",0.03,CoCo,CLIP,31.0127964
SGF,"[0.4, 0.2]",0.03,CoCo,KID,0.006267745513
SGF,"[0.4, 0.2]",0.03,CoCo,logKID,-5.072338556
SGF,"[0.2, 0.05]",0.03,CoCo,FID,25.92159137
SGF,"[0.2, 0.05]",0.03,CoCo,CLIP,30.96438789
SGF,"[0.2, 0.05]",0.03,CoCo,KID,0.006892349571
SGF,"[0.2, 0.05]",0.03,CoCo,logKID,-4.97734324
SGF,"[1.0, 0.8]",0.03,CoCo,FID,24.75748477
SGF,"[1.0, 0.8]",0.03,CoCo,CLIP,30.28024101
SGF,"[1.0, 0.8]",0.03,CoCo,KID,0.00755315274
