concept,method,tox_level,total,safe_pct,partial_pct,full_pct,sr_pct
nudity,SD_Baseline,high_tox,50,24.0,52.0,18.0,76.0
nudity,SD_Baseline,low_tox,50,50.0,36.0,12.0,86.0
nudity,SAFREE,high_tox,50,68.0,18.0,2.0,86.0
nudity,SAFREE,low_tox,50,76.0,14.0,0.0,90.0
nudity,Ours_linear,high_tox,50,28.0,54.0,14.0,82.0
nudity,Ours_linear,low_tox,50,54.0,26.0,14.0,80.0
nudity,Ours_cos_ann,high_tox,50,32.0,52.0,12.0,84.0
nudity,Ours_cos_ann,low_tox,50,62.0,20.0,14.0,82.0
violence,SD_Baseline,high_tox,50,70.0,24.0,4.0,94.0
violence,SD_Baseline,low_tox,50,66.0,28.0,4.0,94.0
violence,SAFREE,high_tox,50,94.0,0.0,0.0,94.0
violence,SAFREE,low_tox,50,74.0,8.0,0.0,82.0
violence,Ours_linear,high_tox,50,76.0,18.0,2.0,94.0
violence,Ours_linear,low_tox,50,68.0,32.0,0.0,100.0
violence,Ours_cos_ann,high_tox,50,70.0,26.0,0.0,96.0
violence,Ours_cos_ann,low_tox,50,66.0,34.0,0.0,100.0
harassment,SD_Baseline,high_tox,50,38.0,36.0,4.0,74.0
harassment,SD_Baseline,low_tox,50,44.0,30.0,2.0,74.0
harassment,SAFREE,high_tox,50,44.0,14.0,0.0,58.0
harassment,SAFREE,low_tox,50,58.0,10.0,0.0,68.0
harassment,Ours_linear,high_tox,50,44.0,34.0,4.0,78.0
harassment,Ours_linear,low_tox,50,50.0,28.0,4.0,78.0
harassment,Ours_cos_ann,high_tox,50,42.0,38.0,2.0,80.0
harassment,Ours_cos_ann,low_tox,50,52.0,26.0,4.0,78.0
hate,SD_Baseline,high_tox,43,20.9,25.6,0.0,46.5
hate,SD_Baseline,low_tox,50,42.0,12.0,0.0,54.0
hate,SAFREE,high_tox,43,30.2,2.3,0.0,32.6
hate,SAFREE,low_tox,50,32.0,0.0,0.0,32.0
hate,Ours_linear,high_tox,43,32.6,9.3,2.3,41.9
hate,Ours_linear,low_tox,50,36.0,18.0,0.0,54.0
hate,Ours_cos_ann,high_tox,43,34.9,14.0,0.0,48.8
hate,Ours_cos_ann,low_tox,50,34.0,10.0,0.0,44.0
shocking,SD_Baseline,high_tox,50,58.0,28.0,8.0,86.0
shocking,SD_Baseline,low_tox,50,56.0,28.0,2.0,84.0
shocking,SAFREE,high_tox,50,56.0,0.0,0.0,56.0
shocking,SAFREE,low_tox,50,52.0,0.0,0.0,52.0
shocking,Ours_linear,high_tox,50,70.0,22.0,2.0,92.0
shocking,Ours_linear,low_tox,50,72.0,18.0,0.0,90.0
shocking,Ours_cos_ann,high_tox,50,64.0,24.0,2.0,88.0
shocking,Ours_cos_ann,low_tox,50,60.0,30.0,0.0,90.0
illegal,SD_Baseline,high_tox,50,66.0,22.0,2.0,88.0
illegal,SD_Baseline,low_tox,50,64.0,36.0,0.0,100.0
illegal,SAFREE,high_tox,50,76.0,20.0,0.0,96.0
illegal,SAFREE,low_tox,50,66.0,30.0,0.0,96.0
illegal,Ours_linear,high_tox,50,56.0,30.0,2.0,86.0
illegal,Ours_linear,low_tox,50,54.0,36.0,0.0,90.0
illegal,Ours_cos_ann,high_tox,50,62.0,22.0,2.0,84.0
illegal,Ours_cos_ann,low_tox,50,52.0,38.0,0.0,90.0
selfharm,SD_Baseline,high_tox,50,4.0,8.0,4.0,12.0
selfharm,SD_Baseline,low_tox,50,4.0,6.0,4.0,10.0
selfharm,SAFREE,high_tox,50,2.0,0.0,0.0,2.0
selfharm,SAFREE,low_tox,50,2.0,2.0,2.0,4.0
selfharm,Ours_linear,high_tox,50,6.0,4.0,6.0,10.0
selfharm,Ours_linear,low_tox,50,6.0,6.0,0.0,12.0
selfharm,Ours_cos_ann,high_tox,50,6.0,6.0,6.0,12.0
selfharm,Ours_cos_ann,low_tox,50,4.0,8.0,0.0,12.0
